<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=15 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.80,?,256128.0,1048576.0,✓,✗,✗,✓,94.79 ± 0.59 / 97.37 ± 0.30,43.15 ± 0.64 / 31.04 ± 0.53,64.62 ± 1.39 / 82.15 ± 0.70,60.32 ± 0.94 / 29.23 ± 1.16,36.24 ± 0.15 / 40.08 ± 0.15,79.05 ± 0.69 / 84.26 ± 0.53,57.31 ± 2.64 / 78.98 ± 1.35,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.81,?,?,1047576.0,✓,✗,✗,✓,95.00 ± 1.20 / 97.49 ± 0.60,40.56 ± 0.88 / 31.96 ± 0.86,57.94 ± 2.33 / 78.79 ± 1.18,64.76 ± 1.41 / 33.25 ± 1.64,38.27 ± 0.40 / 41.60 ± 0.42,71.14 ± 1.83 / 78.36 ± 1.38,62.13 ± 5.26 / 81.72 ± 2.41,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.82,?,256128.0,1048576.0,✓,✗,✗,✓,96.72 ± 1.21 / 98.35 ± 0.60,43.29 ± 1.20 / 31.52 ± 0.93,60.68 ± 2.72 / 79.91 ± 1.42,62.88 ± 1.66 / 34.80 ± 2.06,36.20 ± 0.38 / 40.74 ± 0.38,80.38 ± 1.10 / 85.20 ± 0.85,56.36 ± 4.50 / 79.14 ± 1.91,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.83,?,100256.0,272000.0,✓,✗,✗,✓,98.51 ± 0.81 / 99.25 ± 0.40,40.25 ± 1.19 / 28.58 ± 0.94,45.66 ± 3.96 / 67.26 ± 2.05,63.10 ± 1.51 / 35.76 ± 1.57,36.09 ± 0.35 / 39.97 ± 0.37,85.76 ± 1.14 / 89.34 ± 0.85,69.64 ± 2.51 / 84.45 ± 1.30,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.83,?,?,400000.0,✓,✗,✗,✓,95.93 ± 0.60 / 97.96 ± 0.30,43.52 ± 0.56 / 35.18 ± 0.47,58.31 ± 1.31 / 76.00 ± 0.93,64.18 ± 0.73 / 35.38 ± 1.05,37.12 ± 0.17 / 40.13 ± 0.18,85.19 ± 0.77 / 88.91 ± 0.57,49.45 ± 1.66 / 73.12 ± 0.80,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.88,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,94.73 ± 1.56 / 97.33 ± 0.79,42.40 ± 1.45 / 39.33 ± 1.73,51.71 ± 4.27 / 74.83 ± 2.51,71.97 ± 1.86 / 48.23 ± 2.68,37.67 ± 0.22 / 40.47 ± 0.22,66.09 ± 1.80 / 74.26 ± 1.32,56.67 ± 5.68 / 79.14 ± 2.53,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.88,?,?,?,✓,✗,✗,✓,95.78 ± 1.10 / 97.88 ± 0.55,43.15 ± 1.09 / 31.78 ± 0.91,60.90 ± 2.45 / 79.94 ± 1.16,65.21 ± 1.37 / 31.75 ± 2.24,36.34 ± 0.35 / 40.44 ± 0.37,78.00 ± 1.26 / 83.44 ± 0.98,47.92 ± 5.36 / 73.44 ± 2.65,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.89,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,97.53 ± 0.32 / 98.76 ± 0.16,44.96 ± 1.08 / 37.38 ± 1.32,56.98 ± 1.69 / 78.40 ± 0.88,75.86 ± 1.04 / 54.39 ± 1.65,36.98 ± 0.12 / 39.50 ± 0.17,63.78 ± 1.19 / 72.69 ± 0.90,42.82 ± 1.51 / 71.24 ± 0.78,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.91,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,96.97 ± 0.99 / 98.46 ± 0.52,50.91 ± 2.00 / 47.05 ± 1.79,43.28 ± 1.85 / 70.65 ± 0.72,76.89 ± 1.05 / 55.85 ± 1.63,36.94 ± 0.25 / 39.22 ± 0.44,60.18 ± 1.10 / 69.97 ± 0.86,47.80 ± 1.57 / 73.87 ± 0.81,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.91,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,97.56 ± 0.41 / 98.78 ± 0.21,52.34 ± 2.18 / 48.35 ± 1.85,45.18 ± 2.23 / 71.70 ± 1.55,73.72 ± 1.03 / 49.96 ± 1.90,37.27 ± 0.20 / 39.49 ± 0.40,60.74 ± 1.22 / 70.49 ± 0.93,48.08 ± 2.20 / 73.98 ± 1.15,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.93,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,97.74 ± 0.34 / 98.87 ± 0.17,46.68 ± 1.61 / 42.20 ± 1.37,52.97 ± 1.88 / 76.21 ± 1.00,70.04 ± 1.09 / 47.07 ± 1.34,36.50 ± 0.18 / 38.86 ± 0.24,62.27 ± 0.93 / 71.65 ± 0.71,46.14 ± 1.91 / 73.09 ± 0.95,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.94,?,?,200000.0,✓,✗,✗,✓,97.60 ± 0.83 / 98.78 ± 0.42,39.97 ± 1.51 / 37.68 ± 1.46,37.64 ± 2.13 / 56.94 ± 1.69,66.73 ± 1.65 / 35.62 ± 2.16,36.74 ± 0.46 / 39.85 ± 0.49,67.86 ± 2.22 / 74.77 ± 1.78,71.44 ± 3.45 / 84.84 ± 1.84,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,1.96,?,?,400000.0,✓,✗,✗,✓,92.45 ± 0.83 / 96.20 ± 0.42,42.72 ± 0.77 / 30.99 ± 0.57,52.20 ± 1.94 / 72.30 ± 1.21,63.01 ± 0.66 / 32.43 ± 0.89,35.63 ± 0.21 / 40.04 ± 0.23,82.94 ± 0.93 / 87.15 ± 0.71,45.30 ± 1.67 / 72.58 ± 0.82,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,1.96,?,?,400000.0,✓,✗,✗,✓,93.56 ± 0.73 / 96.75 ± 0.37,44.45 ± 0.70 / 32.40 ± 0.54,50.45 ± 1.57 / 71.58 ± 1.01,62.24 ± 0.71 / 32.13 ± 0.94,35.72 ± 0.20 / 40.12 ± 0.22,87.97 ± 0.85 / 90.98 ± 0.64,42.89 ± 2.45 / 71.72 ± 1.22,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.96,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,96.27 ± 1.09 / 98.11 ± 0.57,49.78 ± 1.90 / 46.99 ± 1.80,40.76 ± 0.65 / 68.04 ± 0.95,74.16 ± 1.47 / 54.64 ± 1.79,36.29 ± 0.42 / 38.07 ± 0.62,60.92 ± 0.74 / 70.57 ± 0.57,49.26 ± 1.98 / 74.64 ± 1.01,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,2.01,?,100256.0,272000.0,✓,✗,✗,✓,95.71 ± 0.96 / 97.84 ± 0.48,43.48 ± 1.36 / 33.76 ± 1.44,41.99 ± 5.26 / 66.05 ± 2.61,64.30 ± 1.15 / 35.09 ± 2.06,34.37 ± 0.40 / 39.07 ± 0.42,86.80 ± 1.53 / 90.12 ± 1.15,44.00 ± 3.62 / 72.34 ± 1.77,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,2.02,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,95.77 ± 2.21 / 97.86 ± 1.12,45.91 ± 1.65 / 44.98 ± 1.71,47.36 ± 3.00 / 72.08 ± 2.32,76.12 ± 1.55 / 55.74 ± 2.01,32.23 ± 1.72 / 32.67 ± 2.01,62.92 ± 0.85 / 72.11 ± 0.63,45.43 ± 2.09 / 72.70 ± 1.03,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,2.03,?,?,400000.0,✓,✗,✗,✓,92.36 ± 0.78 / 96.12 ± 0.40,39.25 ± 0.95 / 27.60 ± 0.65,55.81 ± 1.23 / 76.37 ± 0.73,62.08 ± 0.58 / 29.46 ± 0.58,35.67 ± 0.17 / 40.12 ± 0.18,82.84 ± 0.38 / 87.11 ± 0.27,35.88 ± 2.70 / 68.20 ± 1.14,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,2.04,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,97.63 ± 0.35 / 98.81 ± 0.18,48.84 ± 1.68 / 47.85 ± 1.69,38.25 ± 1.73 / 67.50 ± 1.41,76.35 ± 1.36 / 56.76 ± 2.49,33.85 ± 1.67 / 35.10 ± 2.13,62.27 ± 1.20 / 71.67 ± 0.91,46.94 ± 1.12 / 73.36 ± 0.61,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,2.05,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,96.64 ± 0.62 / 98.31 ± 0.31,44.83 ± 0.75 / 41.18 ± 0.67,45.23 ± 1.68 / 69.15 ± 1.38,65.77 ± 0.80 / 34.28 ± 0.93,36.60 ± 0.19 / 39.28 ± 0.20,67.15 ± 1.14 / 75.39 ± 0.86,39.97 ± 3.00 / 70.94 ± 1.41,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,2.05,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,96.98 ± 0.25 / 98.48 ± 0.13,44.38 ± 1.10 / 37.08 ± 1.02,49.03 ± 1.43 / 72.78 ± 1.25,75.44 ± 0.85 / 54.08 ± 1.33,36.82 ± 0.16 / 39.31 ± 0.23,57.63 ± 0.92 / 68.14 ± 0.70,36.57 ± 2.02 / 67.91 ± 0.90,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,2.06,?,?,400000.0,✓,✗,✗,✓,97.22 ± 0.56 / 98.58 ± 0.29,40.62 ± 0.60 / 29.57 ± 0.47,54.42 ± 1.52 / 76.70 ± 0.87,68.03 ± 0.74 / 42.68 ± 1.10,36.67 ± 0.18 / 39.52 ± 0.18,66.91 ± 0.56 / 75.12 ± 0.39,29.57 ± 2.25 / 65.23 ± 1.11,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,2.06,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,94.02 ± 0.47 / 96.98 ± 0.24,45.92 ± 0.64 / 41.60 ± 0.53,31.78 ± 1.46 / 59.84 ± 1.30,68.32 ± 0.79 / 48.86 ± 1.09,35.66 ± 0.33 / 37.77 ± 0.50,66.75 ± 0.73 / 75.05 ± 0.56,51.89 ± 1.73 / 75.90 ± 0.85,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.16.1.dev0,16.14.0.dev0,16.14.0.dev0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,2.09,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,98.46 ± 0.13 / 99.23 ± 0.07,47.97 ± 1.45 / 41.72 ± 1.31,51.87 ± 2.56 / 75.22 ± 1.60,14.46 ± 0.72 / 0.04 ± 0.06,36.85 ± 0.22 / 38.79 ± 0.37,74.35 ± 0.91 / 80.72 ± 0.69,55.28 ± 1.96 / 77.63 ± 1.02,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,2.12,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,93.19 ± 1.16 / 96.51 ± 0.61,42.78 ± 0.73 / 32.00 ± 0.62,47.56 ± 1.20 / 72.95 ± 0.72,66.46 ± 0.84 / 42.60 ± 1.01,36.57 ± 0.29 / 39.92 ± 0.31,57.56 ± 1.23 / 68.01 ± 0.90,38.56 ± 2.12 / 69.38 ± 1.24,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/zai-org/GLM-4.7-Flash'>zai-org/GLM-4.7-Flash (val)</a>,🤔,2.12,31221485568.0,154880.0,202752.0,✓,✗,✗,✓,94.25 ± 0.96 / 97.10 ± 0.48,43.12 ± 0.83 / 34.58 ± 0.67,42.02 ± 1.81 / 69.24 ± 1.02,62.41 ± 0.45 / 37.19 ± 0.63,34.49 ± 0.21 / 36.46 ± 0.29,71.63 ± 1.35 / 78.52 ± 1.06,41.12 ± 3.43 / 72.81 ± 1.60,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,2.13,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,97.85 ± 0.31 / 98.92 ± 0.16,48.44 ± 1.17 / 39.35 ± 1.18,44.17 ± 2.20 / 71.88 ± 1.22,24.39 ± 0.57 / 0.04 ± 0.06,35.91 ± 0.30 / 37.85 ± 0.45,72.14 ± 0.53 / 79.08 ± 0.40,52.99 ± 1.75 / 76.50 ± 0.87,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,2.13,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,95.77 ± 0.70 / 97.84 ± 0.37,45.21 ± 2.00 / 42.77 ± 2.16,37.64 ± 4.47 / 68.39 ± 2.07,75.64 ± 1.93 / 56.26 ± 2.30,32.01 ± 0.98 / 32.80 ± 1.13,56.77 ± 1.15 / 67.50 ± 0.86,48.26 ± 2.18 / 74.08 ± 1.08,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.17.0.dev0,16.9.0.dev0,16.9.0.dev0
