<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.49,?,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,63.98 ± 1.08 / 75.30 ± 0.77,80.18 ± 1.21 / 60.36 ± 1.13,67.65 ± 1.36 / 83.57 ± 0.67,69.23 ± 0.90 / 52.88 ± 0.70,38.54 ± 0.28 / 41.95 ± 0.24,83.78 ± 1.20 / 87.81 ± 0.90,62.64 ± 1.11 / 71.72 ± 0.79,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.54,23.73,?,?,131072.0,✓,✗,✗,✓,66.10 ± 0.80 / 72.46 ± 0.71,70.34 ± 1.02 / 47.77 ± 0.79,61.32 ± 1.24 / 80.25 ± 0.65,72.11 ± 0.36 / 50.13 ± 0.71,38.04 ± 0.18 / 41.55 ± 0.18,86.88 ± 0.70 / 90.16 ± 0.54,65.42 ± 1.09 / 74.10 ± 0.82,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.54,25.39,?,?,400000.0,✓,✗,✗,✓,68.61 ± 1.25 / 76.68 ± 0.93,76.71 ± 1.10 / 49.26 ± 0.74,60.16 ± 1.78 / 78.99 ± 0.93,72.03 ± 0.42 / 46.68 ± 0.45,38.23 ± 0.17 / 42.25 ± 0.17,84.18 ± 0.74 / 88.05 ± 0.57,64.24 ± 0.99 / 73.12 ± 0.74,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.58,?,?,?,?,✓,✗,✗,✓,70.89 ± 1.41 / 77.85 ± 1.23,83.37 ± 1.31 / 57.00 ± 1.74,28.20 ± 2.05 / 51.35 ± 1.54,74.15 ± 1.15 / 48.90 ± 1.27,37.15 ± 0.39 / 41.67 ± 0.39,91.41 ± 0.55 / 93.55 ± 0.42,86.03 ± 2.02 / 89.49 ± 1.55,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.15.0.dev0,16.3.0.dev0,16.3.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.59,?,?,?,?,✓,✗,✗,✓,65.32 ± 1.85 / 75.92 ± 1.21,65.43 ± 2.03 / 42.67 ± 1.47,66.85 ± 2.44 / 83.09 ± 1.24,68.41 ± 1.03 / 34.55 ± 1.38,37.75 ± 0.37 / 42.42 ± 0.38,81.62 ± 1.46 / 86.25 ± 1.11,68.69 ± 1.29 / 76.45 ± 1.01,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.64,14.14,?,?,200000.0,✓,✗,✗,✓,71.36 ± 1.02 / 79.53 ± 0.78,79.40 ± 1.02 / 58.17 ± 1.58,25.57 ± 1.87 / 47.52 ± 1.91,75.10 ± 0.91 / 51.36 ± 1.14,37.96 ± 0.38 / 41.96 ± 0.38,80.78 ± 1.88 / 85.35 ± 1.44,91.54 ± 1.64 / 93.63 ± 1.25,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.15.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.64,22.0,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,67.72 ± 1.59 / 76.13 ± 1.34,84.91 ± 0.80 / 58.73 ± 2.34,31.09 ± 2.28 / 55.22 ± 2.85,73.47 ± 0.62 / 51.98 ± 1.73,37.85 ± 0.37 / 39.98 ± 0.54,78.02 ± 0.91 / 83.52 ± 0.68,82.10 ± 0.97 / 86.55 ± 0.73,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,16.15.0.dev0,15.8.1.dev0,15.8.1.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.66,?,24011361280.0,131072.0,?,✓,✗,(✓),✓,67.02 ± 1.11 / 76.70 ± 1.34,80.03 ± 1.90 / 67.16 ± 2.37,34.67 ± 3.50 / 61.01 ± 4.17,74.76 ± 1.50 / 53.11 ± 3.87,39.20 ± 0.21 / 41.53 ± 0.39,68.04 ± 0.97 / 76.04 ± 0.73,84.87 ± 0.89 / 88.64 ± 0.68,15.9.1.dev0,15.9.1.dev0,15.9.1.dev0,15.9.1.dev0,16.15.0.dev0,15.9.1.dev0,15.9.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.67,33.38,?,?,400000.0,✓,✗,✗,✓,65.67 ± 1.22 / 74.45 ± 0.98,66.98 ± 1.17 / 45.47 ± 0.81,55.57 ± 1.37 / 76.54 ± 0.75,72.53 ± 0.52 / 46.92 ± 0.62,38.07 ± 0.19 / 42.22 ± 0.18,81.29 ± 1.17 / 85.94 ± 0.89,62.94 ± 0.67 / 72.07 ± 0.54,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.69,?,24011361280.0,131072.0,?,✓,✗,(✓),✓,67.45 ± 1.66 / 76.94 ± 1.87,82.60 ± 0.94 / 65.85 ± 1.20,35.71 ± 5.08 / 65.72 ± 3.67,76.10 ± 1.08 / 57.63 ± 1.95,38.30 ± 0.49 / 40.43 ± 0.72,67.16 ± 1.23 / 75.34 ± 0.90,78.39 ± 0.98 / 83.74 ± 0.75,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,16.15.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.72,?,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,62.61 ± 1.53 / 74.64 ± 1.21,83.20 ± 0.80 / 69.28 ± 1.21,39.16 ± 4.57 / 66.05 ± 4.05,74.58 ± 1.85 / 56.65 ± 1.82,37.14 ± 0.77 / 38.52 ± 1.00,66.50 ± 1.37 / 74.85 ± 1.03,78.01 ± 0.80 / 83.48 ± 0.60,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.15.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.74,N/A,24011361280.0,131072.0,?,✓,✗,(✓),✓,62.81 ± 2.42 / 74.64 ± 1.87,80.89 ± 1.50 / 67.98 ± 1.67,55.69 ± 4.47 / 76.90 ± 2.40,74.25 ± 3.06 / 54.69 ± 3.45,34.80 ± 1.59 / 36.01 ± 1.94,67.14 ± 0.93 / 75.35 ± 0.68,60.28 ± 2.09 / 69.94 ± 1.63,16.5.0.dev0,15.9.1.dev0,16.5.0.dev0,15.9.1.dev0,16.15.0.dev0,16.5.0.dev0,16.5.0.dev0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.75,37.62,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,69.22 ± 1.38 / 78.17 ± 1.23,82.87 ± 0.84 / 59.80 ± 2.69,23.71 ± 1.95 / 54.79 ± 0.82,69.84 ± 0.88 / 43.27 ± 1.69,38.36 ± 0.22 / 40.22 ± 0.44,77.15 ± 0.99 / 82.82 ± 0.74,80.31 ± 0.88 / 85.17 ± 0.66,15.15.0,15.15.0,15.15.0,15.15.0,16.15.0.dev0,15.15.0,15.15.0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.75,92.35,?,?,400000.0,✓,✗,✗,✓,60.17 ± 1.14 / 69.95 ± 0.83,60.04 ± 0.98 / 35.31 ± 0.59,63.13 ± 1.01 / 81.49 ± 0.52,74.56 ± 0.48 / 49.63 ± 0.50,38.35 ± 0.20 / 42.08 ± 0.20,69.51 ± 1.09 / 77.27 ± 0.82,59.49 ± 1.22 / 69.57 ± 0.96,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,1.77,?,31577934400.0,131072.0,262144.0,✓,✗,✗,✓,63.35 ± 1.15 / 75.13 ± 0.73,79.53 ± 0.94 / 60.36 ± 0.99,57.37 ± 2.15 / 77.24 ± 1.20,69.18 ± 0.51 / 49.26 ± 0.62,35.98 ± 0.21 / 40.88 ± 0.19,74.54 ± 1.53 / 80.94 ± 1.16,47.77 ± 1.26 / 60.59 ± 0.89,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,1.79,?,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,58.68 ± 1.43 / 67.66 ± 1.39,87.46 ± 0.89 / 62.71 ± 2.17,45.88 ± 1.98 / 69.01 ± 1.51,67.79 ± 4.74 / 50.55 ± 3.41,37.45 ± 0.44 / 40.19 ± 0.82,72.95 ± 0.68 / 79.73 ± 0.51,54.75 ± 1.20 / 65.86 ± 0.93,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.16.1.dev0,16.14.0.dev0,16.14.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.79,N/A,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,65.73 ± 1.06 / 74.91 ± 1.14,82.88 ± 0.98 / 70.41 ± 1.11,64.33 ± 2.66 / 81.70 ± 1.50,74.66 ± 2.05 / 55.24 ± 3.71,32.23 ± 0.82 / 32.80 ± 0.93,63.09 ± 0.60 / 72.11 ± 0.45,53.02 ± 2.96 / 62.45 ± 2.65,16.5.0.dev0,15.9.1,16.5.0.dev0,15.9.1,16.17.0.dev0,16.5.0.dev0,16.5.0.dev0
<a href='https://hf.co/zai-org/GLM-4.7-Flash'>zai-org/GLM-4.7-Flash (val)</a>,🤔,1.80,?,31221485568.0,154880.0,202752.0,✓,✗,✗,✓,62.67 ± 1.43 / 72.48 ± 1.16,78.18 ± 0.62 / 52.39 ± 1.17,55.95 ± 1.99 / 76.86 ± 1.15,70.09 ± 0.76 / 43.10 ± 1.13,36.63 ± 0.23 / 38.56 ± 0.30,68.77 ± 1.50 / 76.29 ± 1.18,46.54 ± 1.65 / 59.18 ± 1.18,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,1.82,?,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,63.85 ± 1.27 / 74.65 ± 1.09,65.98 ± 1.30 / 56.73 ± 1.11,62.14 ± 2.06 / 80.96 ± 1.04,46.37 ± 1.08 / 34.37 ± 1.32,37.28 ± 0.58 / 39.25 ± 0.72,77.15 ± 1.15 / 82.77 ± 0.87,67.16 ± 1.90 / 74.77 ± 1.44,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,1.84,26.47,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,64.56 ± 1.19 / 75.33 ± 0.97,76.97 ± 1.62 / 54.77 ± 1.78,31.31 ± 3.17 / 56.32 ± 2.89,70.25 ± 0.74 / 47.73 ± 1.57,37.02 ± 0.39 / 38.87 ± 0.50,70.62 ± 1.14 / 77.99 ± 0.85,73.75 ± 1.02 / 80.26 ± 0.76,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,16.15.0.dev0,15.8.1.dev0,15.8.1.dev0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.84,8.12,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,66.14 ± 1.41 / 76.38 ± 1.29,68.93 ± 0.92 / 45.42 ± 2.56,29.33 ± 1.84 / 56.70 ± 1.65,74.59 ± 0.87 / 54.86 ± 2.41,38.35 ± 0.19 / 41.35 ± 0.22,70.12 ± 0.95 / 77.57 ± 0.72,75.57 ± 0.85 / 81.58 ± 0.63,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.15.0.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/nvidia/Nemotron-Cascade-2-30B-A3B'>nvidia/Nemotron-Cascade-2-30B-A3B (val)</a>,🤔,1.88,?,31577937344.0,131072.0,262144.0,✓,✗,(✓),✓,63.22 ± 1.16 / 73.07 ± 0.91,76.04 ± 1.24 / 58.53 ± 1.16,50.60 ± 2.09 / 72.88 ± 1.38,70.06 ± 0.60 / 49.32 ± 0.52,34.93 ± 0.35 / 40.14 ± 0.28,79.07 ± 1.23 / 84.34 ± 0.94,46.84 ± 1.31 / 59.77 ± 0.95,17.2.0.dev0,17.2.0.dev0,17.2.0.dev0,17.2.0.dev0,17.2.0.dev0,17.2.0.dev0,17.2.0.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,1.90,2.2,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,64.01 ± 1.53 / 74.22 ± 1.26,70.16 ± 1.96 / 49.27 ± 2.07,29.17 ± 2.00 / 58.51 ± 1.66,70.82 ± 0.62 / 49.81 ± 1.32,37.89 ± 0.16 / 41.73 ± 0.24,70.04 ± 1.31 / 77.51 ± 0.98,74.94 ± 0.68 / 81.16 ± 0.50,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,16.15.0.dev0,15.16.0.dev0,15.16.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.91,?,?,100256.0,272000.0,✓,✗,✗,✓,67.60 ± 2.27 / 75.91 ± 1.72,65.00 ± 1.46 / 38.79 ± 1.35,29.24 ± 1.52 / 50.51 ± 1.55,70.82 ± 1.39 / 47.10 ± 1.77,37.81 ± 0.35 / 42.31 ± 0.37,82.68 ± 1.60 / 86.95 ± 1.24,57.55 ± 2.36 / 68.12 ± 1.79,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,16.15.0.dev0,15.15.0.dev0,15.15.0.dev0
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,1.91,4.29,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,63.03 ± 1.80 / 74.81 ± 1.39,76.06 ± 1.23 / 55.04 ± 2.82,52.77 ± 1.43 / 74.72 ± 1.23,68.53 ± 1.07 / 44.21 ± 2.46,38.28 ± 0.17 / 41.65 ± 0.14,45.58 ± 0.89 / 59.00 ± 0.67,54.78 ± 1.07 / 65.86 ± 0.83,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.92,1.17,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,62.77 ± 1.77 / 74.78 ± 1.33,72.80 ± 1.32 / 51.00 ± 1.60,26.19 ± 1.63 / 54.27 ± 0.84,73.04 ± 0.83 / 54.04 ± 1.90,38.58 ± 0.19 / 41.73 ± 0.16,63.50 ± 1.39 / 72.61 ± 1.04,71.02 ± 0.90 / 78.14 ± 0.70,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.15.0.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.92,0.19,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,48.59 ± 1.01 / 49.20 ± 0.59,71.95 ± 2.88 / 50.19 ± 2.22,35.42 ± 3.09 / 63.44 ± 2.93,71.24 ± 1.02 / 46.90 ± 2.32,37.46 ± 0.14 / 41.41 ± 0.08,74.60 ± 0.85 / 80.90 ± 0.64,77.63 ± 0.88 / 83.16 ± 0.68,15.3.1,15.3.1,15.3.1,15.3.1,16.17.0.dev0,15.3.1,15.3.1
