<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=15 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.66,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,58.42 ± 1.98 / 62.07 ± 1.06,68.84 ± 3.00 / 68.84 ± 3.00,63.84 ± 2.32 / 81.75 ± 1.26,75.72 ± 0.68 / 49.87 ± 1.50,38.52 ± 0.21 / 42.38 ± 0.31,68.67 ± 0.87 / 76.48 ± 0.66,44.68 ± 2.07 / 72.21 ± 1.04,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.67,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,63.42 ± 1.51 / 59.98 ± 1.61,71.47 ± 1.12 / 71.47 ± 1.12,55.52 ± 1.83 / 76.39 ± 0.99,64.25 ± 0.97 / 42.53 ± 0.93,34.93 ± 0.26 / 39.87 ± 0.30,74.49 ± 1.53 / 80.74 ± 1.15,60.13 ± 1.73 / 81.25 ± 0.86,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.69,?,?,200000.0,✓,✗,✗,✓,68.14 ± 3.47 / 57.92 ± 2.08,64.14 ± 1.88 / 64.14 ± 1.88,45.13 ± 3.21 / 66.97 ± 2.44,70.49 ± 1.44 / 44.41 ± 1.76,34.81 ± 0.28 / 40.25 ± 0.30,78.12 ± 2.72 / 83.40 ± 2.11,65.98 ± 2.33 / 79.61 ± 1.65,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.70,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,68.19 ± 3.92 / 64.84 ± 3.81,73.72 ± 4.00 / 73.72 ± 4.00,55.30 ± 3.93 / 77.10 ± 2.08,74.78 ± 1.36 / 50.42 ± 2.80,35.57 ± 0.23 / 40.69 ± 0.25,68.59 ± 2.37 / 76.41 ± 1.82,38.20 ± 4.37 / 71.02 ± 2.24,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.70,?,?,1047576.0,✓,✗,✗,✓,72.36 ± 3.53 / 57.16 ± 1.89,62.06 ± 1.71 / 62.06 ± 1.71,62.88 ± 2.56 / 81.21 ± 1.24,65.79 ± 1.37 / 38.18 ± 2.26,35.26 ± 0.25 / 41.11 ± 0.28,69.55 ± 1.77 / 77.03 ± 1.36,49.61 ± 5.48 / 75.39 ± 2.79,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.75,?,100256.0,272000.0,✓,✗,✗,✓,73.82 ± 4.17 / 57.22 ± 1.91,63.07 ± 1.55 / 63.07 ± 1.55,36.09 ± 2.61 / 55.58 ± 2.02,68.96 ± 1.17 / 43.92 ± 2.13,33.20 ± 0.35 / 39.72 ± 0.38,80.59 ± 2.18 / 85.43 ± 1.63,61.19 ± 4.51 / 81.33 ± 2.30,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.76,?,256128.0,1048576.0,✓,✗,✗,✓,67.72 ± 1.64 / 57.90 ± 1.06,60.89 ± 1.06 / 60.89 ± 1.06,64.19 ± 1.31 / 81.75 ± 0.72,63.11 ± 0.77 / 32.88 ± 1.07,32.70 ± 0.13 / 38.91 ± 0.14,77.10 ± 1.41 / 82.81 ± 1.06,51.63 ± 2.63 / 76.88 ± 1.37,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.77,?,?,131072.0,✓,✗,✗,✓,67.85 ± 1.69 / 55.91 ± 0.96,62.88 ± 0.98 / 62.88 ± 0.98,42.49 ± 1.46 / 65.67 ± 0.95,70.79 ± 0.72 / 45.19 ± 1.09,33.51 ± 0.16 / 38.78 ± 0.16,80.35 ± 1.20 / 85.16 ± 0.92,56.57 ± 3.60 / 78.67 ± 1.94,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.81,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,72.75 ± 2.20 / 67.63 ± 2.29,71.60 ± 1.70 / 71.60 ± 1.70,16.46 ± 2.76 / 42.53 ± 1.43,67.25 ± 0.71 / 31.41 ± 1.28,35.96 ± 0.23 / 40.15 ± 0.29,73.10 ± 1.61 / 79.80 ± 1.21,60.12 ± 3.82 / 80.23 ± 1.85,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,1.82,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,77.18 ± 2.49 / 68.00 ± 3.30,67.70 ± 1.83 / 67.70 ± 1.83,43.05 ± 2.59 / 70.52 ± 1.48,39.64 ± 0.71 / 25.10 ± 0.75,34.16 ± 0.40 / 37.60 ± 0.52,77.67 ± 0.99 / 83.20 ± 0.75,56.89 ± 1.96 / 80.08 ± 1.02,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.82,?,?,400000.0,✓,✗,✗,✓,72.42 ± 1.80 / 56.38 ± 0.82,65.79 ± 0.91 / 65.79 ± 0.91,45.97 ± 1.39 / 69.35 ± 0.88,68.06 ± 0.73 / 41.87 ± 1.00,33.65 ± 0.18 / 39.09 ± 0.19,81.18 ± 0.90 / 85.90 ± 0.68,38.39 ± 2.26 / 68.91 ± 1.26,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.84,?,256128.0,1048576.0,✓,✗,✗,✓,68.58 ± 3.44 / 57.00 ± 1.89,57.65 ± 2.14 / 57.65 ± 2.14,57.82 ± 3.30 / 77.53 ± 1.78,65.44 ± 1.18 / 35.64 ± 1.83,33.09 ± 0.21 / 39.90 ± 0.24,77.23 ± 2.09 / 82.85 ± 1.57,47.76 ± 6.89 / 75.47 ± 3.55,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.86,?,?,?,✓,✗,✗,✓,67.18 ± 3.34 / 56.93 ± 1.89,58.75 ± 1.91 / 58.75 ± 1.91,71.59 ± 2.41 / 85.52 ± 1.20,67.79 ± 1.52 / 35.50 ± 1.82,33.00 ± 0.19 / 39.14 ± 0.20,78.59 ± 2.22 / 83.71 ± 1.73,31.31 ± 5.39 / 65.00 ± 2.68,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.86,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,56.30 ± 1.59 / 60.32 ± 1.20,67.36 ± 2.79 / 67.36 ± 2.79,54.60 ± 2.07 / 76.00 ± 1.69,76.65 ± 0.81 / 54.04 ± 1.56,38.64 ± 0.20 / 42.75 ± 0.28,60.51 ± 0.91 / 70.32 ± 0.69,37.47 ± 1.59 / 68.10 ± 0.90,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.87,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,58.85 ± 1.47 / 60.37 ± 1.45,68.59 ± 2.83 / 68.59 ± 2.83,58.73 ± 2.15 / 79.04 ± 1.30,25.44 ± 0.92 / 0.00 ± 0.00,39.26 ± 0.19 / 43.04 ± 0.35,76.28 ± 0.76 / 82.23 ± 0.57,54.59 ± 0.83 / 77.29 ± 0.43,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,1.89,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,63.55 ± 2.30 / 57.18 ± 1.53,64.24 ± 2.56 / 64.24 ± 2.56,34.20 ± 2.95 / 60.14 ± 3.26,71.62 ± 0.84 / 49.29 ± 1.55,37.90 ± 0.43 / 41.40 ± 0.72,71.21 ± 0.86 / 78.44 ± 0.66,46.27 ± 1.94 / 73.08 ± 0.98,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.16.1.dev0,16.14.0.dev0,16.14.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.89,?,?,400000.0,✓,✗,✗,✓,68.58 ± 1.85 / 56.22 ± 0.82,65.08 ± 1.26 / 65.08 ± 1.26,63.09 ± 1.53 / 81.48 ± 0.76,70.62 ± 0.75 / 45.98 ± 1.17,34.07 ± 0.14 / 39.16 ± 0.14,69.21 ± 0.74 / 76.84 ± 0.56,20.75 ± 2.83 / 58.44 ± 1.32,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/zai-org/GLM-4.7-Flash'>zai-org/GLM-4.7-Flash (val)</a>,🤔,1.92,31221485568.0,154880.0,202752.0,✓,✗,✗,✓,76.04 ± 1.40 / 64.54 ± 1.90,69.24 ± 1.18 / 69.24 ± 1.18,38.69 ± 2.10 / 66.70 ± 1.16,62.52 ± 0.43 / 34.10 ± 0.78,33.04 ± 0.28 / 36.16 ± 0.33,64.89 ± 1.42 / 73.28 ± 1.05,44.04 ± 3.90 / 74.53 ± 1.88,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://docs.x.ai/developers/models/grok-4.20-beta-0309-reasoning'>xai/grok-4.20-beta-0309-reasoning (zero-shot, val)</a>",📝,1.93,?,?,131072.0,✓,✗,✗,✓,64.18 ± 1.68 / 56.78 ± 0.95,62.23 ± 0.98 / 62.23 ± 0.98,47.57 ± 2.13 / 68.00 ± 1.22,23.64 ± 0.41 / 1.35 ± 0.17,33.17 ± 0.13 / 39.17 ± 0.14,84.78 ± 0.98 / 88.55 ± 0.74,70.28 ± 1.93 / 86.09 ± 0.93,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,1.96,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,73.60 ± 3.00 / 68.67 ± 2.70,73.71 ± 1.91 / 73.71 ± 1.91,38.60 ± 2.75 / 68.28 ± 1.21,73.70 ± 0.77 / 48.98 ± 0.98,35.82 ± 0.17 / 40.97 ± 0.16,39.60 ± 0.95 / 54.41 ± 0.75,29.21 ± 2.76 / 63.83 ± 1.38,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.96,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,55.85 ± 2.68 / 62.32 ± 1.14,64.23 ± 1.87 / 64.23 ± 1.87,58.66 ± 1.94 / 79.17 ± 1.12,25.17 ± 0.84 / 2.67 ± 0.80,38.90 ± 0.05 / 43.68 ± 0.05,71.62 ± 1.07 / 78.65 ± 0.80,53.61 ± 0.99 / 76.82 ± 0.50,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.17.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,2.01,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,60.03 ± 2.19 / 62.32 ± 1.28,74.29 ± 3.05 / 74.29 ± 3.05,0.00 ± 0.00 / 33.30 ± 0.27,77.99 ± 1.26 / 53.72 ± 2.77,38.88 ± 0.42 / 42.44 ± 0.70,64.38 ± 0.71 / 73.20 ± 0.53,50.15 ± 2.27 / 75.06 ± 1.13,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,2.02,?,?,200000.0,✓,✗,✗,✓,68.50 ± 3.86 / 56.98 ± 1.91,61.54 ± 2.32 / 61.54 ± 2.32,28.65 ± 3.04 / 52.47 ± 2.47,69.44 ± 1.42 / 40.16 ± 2.52,33.54 ± 0.28 / 39.85 ± 0.31,67.30 ± 2.70 / 75.43 ± 2.03,44.41 ± 4.88 / 73.59 ± 2.46,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,2.02,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,72.49 ± 1.92 / 65.92 ± 1.30,57.99 ± 1.51 / 57.99 ± 1.51,41.36 ± 2.83 / 69.29 ± 1.43,36.61 ± 1.32 / 24.49 ± 1.11,33.18 ± 0.53 / 36.69 ± 0.63,70.81 ± 1.05 / 78.01 ± 0.82,55.10 ± 2.98 / 78.91 ± 1.37,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,2.04,?,?,400000.0,✓,✗,✗,✓,69.33 ± 1.80 / 56.29 ± 0.98,61.54 ± 1.19 / 61.54 ± 1.19,34.52 ± 2.06 / 58.35 ± 1.15,62.07 ± 0.69 / 31.53 ± 0.99,31.90 ± 0.18 / 38.50 ± 0.19,71.69 ± 0.97 / 78.75 ± 0.72,44.49 ± 2.33 / 71.88 ± 1.13,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,2.04,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,57.97 ± 2.07 / 61.55 ± 1.26,70.50 ± 2.95 / 70.50 ± 2.95,0.00 ± 0.00 / 33.30 ± 0.27,75.96 ± 1.58 / 49.94 ± 3.28,39.98 ± 0.26 / 43.66 ± 0.51,65.17 ± 0.56 / 73.86 ± 0.43,49.78 ± 1.62 / 74.81 ± 0.86,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,2.05,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,55.18 ± 3.27 / 61.82 ± 1.62,72.79 ± 2.98 / 72.79 ± 2.98,0.00 ± 0.00 / 33.30 ± 0.27,79.54 ± 1.02 / 59.05 ± 2.18,37.85 ± 0.96 / 40.70 ± 1.39,65.55 ± 0.73 / 74.16 ± 0.54,50.53 ± 0.70 / 75.25 ± 0.36,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.05,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,55.76 ± 2.83 / 59.58 ± 2.01,68.08 ± 2.58 / 68.08 ± 2.58,40.63 ± 2.72 / 65.02 ± 2.68,74.17 ± 0.69 / 51.80 ± 1.11,38.65 ± 0.23 / 42.83 ± 0.33,53.04 ± 0.76 / 64.62 ± 0.57,24.54 ± 1.84 / 62.24 ± 0.88,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
