<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,1.63,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,95.27 ± 0.60 / 96.26 ± 0.47,59.61 ± 1.21 / 48.96 ± 1.42,52.43 ± 2.65 / 72.62 ± 1.89,59.03 ± 1.20 / 32.95 ± 0.78,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.64,?,100256.0,272000.0,✓,✗,✗,✓,82.95 ± 1.48 / 82.99 ± 1.65,77.08 ± 1.29 / 63.05 ± 1.63,59.80 ± 2.60 / 79.66 ± 1.38,45.29 ± 1.09 / 26.18 ± 1.48,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.65,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,91.79 ± 0.97 / 92.46 ± 0.90,70.61 ± 1.43 / 67.37 ± 1.63,55.07 ± 2.05 / 77.37 ± 1.01,47.97 ± 0.49 / 22.07 ± 0.77,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.65,?,?,?,✓,✗,✗,✓,81.47 ± 1.58 / 80.93 ± 1.72,74.13 ± 1.41 / 71.70 ± 1.44,56.90 ± 2.19 / 77.08 ± 1.07,47.48 ± 0.75 / 26.11 ± 1.33,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.66,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,89.61 ± 2.76 / 90.96 ± 2.72,55.63 ± 1.97 / 46.85 ± 2.29,60.36 ± 4.07 / 79.81 ± 2.16,57.20 ± 1.51 / 34.94 ± 1.85,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.67,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,94.61 ± 1.26 / 95.64 ± 1.04,56.58 ± 1.39 / 50.26 ± 2.25,51.56 ± 1.93 / 74.06 ± 1.41,61.94 ± 3.08 / 35.60 ± 2.69,16.5.0.dev0,16.2.2.dev0,16.5.0.dev0,16.2.2.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.69,?,256128.0,1048576.0,✓,✗,✗,✓,81.01 ± 1.59 / 80.46 ± 1.81,68.94 ± 1.76 / 52.21 ± 1.36,64.89 ± 3.70 / 80.68 ± 2.22,44.34 ± 1.01 / 20.08 ± 1.49,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.69,?,256128.0,1048576.0,✓,✗,✗,✓,83.65 ± 0.85 / 83.88 ± 0.78,67.37 ± 0.67 / 45.76 ± 0.61,67.21 ± 1.47 / 82.60 ± 0.93,44.54 ± 0.38 / 22.22 ± 0.63,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.73,?,256128.0,1048576.0,✓,✗,✗,✓,79.60 ± 1.94 / 78.38 ± 2.00,65.71 ± 1.48 / 53.72 ± 1.87,65.39 ± 2.31 / 82.54 ± 1.20,44.67 ± 0.81 / 27.59 ± 1.06,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.74,?,?,?,✓,✗,✗,✓,86.04 ± 0.80 / 86.73 ± 0.74,67.43 ± 0.71 / 59.68 ± 0.83,61.86 ± 1.80 / 79.17 ± 1.09,43.84 ± 0.53 / 22.35 ± 0.52,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.74,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,95.17 ± 0.46 / 95.95 ± 0.44,58.51 ± 0.90 / 49.93 ± 2.19,45.82 ± 1.44 / 72.58 ± 0.87,58.53 ± 3.39 / 33.88 ± 2.62,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.75,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,95.11 ± 0.92 / 95.86 ± 0.89,59.96 ± 0.92 / 53.05 ± 2.12,45.96 ± 0.74 / 72.84 ± 0.38,56.30 ± 2.13 / 32.46 ± 1.73,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.75,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,89.12 ± 0.95 / 89.71 ± 0.99,72.87 ± 0.91 / 60.61 ± 2.16,46.06 ± 2.13 / 69.95 ± 1.15,48.45 ± 1.20 / 25.84 ± 0.51,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.76,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,93.43 ± 0.69 / 94.38 ± 0.57,68.72 ± 1.17 / 63.84 ± 1.04,49.70 ± 1.88 / 74.02 ± 1.01,46.08 ± 0.56 / 26.19 ± 0.80,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.77,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,91.12 ± 0.55 / 92.20 ± 0.55,60.65 ± 1.05 / 47.77 ± 2.14,50.56 ± 0.84 / 74.86 ± 0.53,55.80 ± 1.03 / 27.73 ± 0.80,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.78,?,256128.0,1048576.0,✓,✗,✗,✓,84.71 ± 1.25 / 85.16 ± 1.29,66.29 ± 1.68 / 55.76 ± 1.84,59.32 ± 1.62 / 79.25 ± 0.98,44.39 ± 0.59 / 18.16 ± 1.11,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.78,?,?,?,✓,✗,✗,✓,86.27 ± 1.59 / 86.98 ± 1.36,60.34 ± 1.20 / 44.91 ± 1.37,61.36 ± 3.69 / 80.37 ± 1.94,46.52 ± 1.19 / 17.74 ± 1.45,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.80,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,94.91 ± 0.77 / 95.71 ± 0.73,57.98 ± 0.94 / 49.17 ± 2.16,46.98 ± 1.16 / 73.42 ± 0.59,56.25 ± 3.29 / 30.12 ± 2.54,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.81,?,?,?,✓,✗,✗,✓,88.89 ± 1.64 / 89.95 ± 1.62,65.55 ± 2.18 / 65.43 ± 1.75,50.74 ± 2.38 / 71.44 ± 1.51,47.81 ± 0.72 / 23.71 ± 1.12,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,1.81,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,97.11 ± 0.67 / 97.77 ± 0.52,59.63 ± 1.28 / 52.07 ± 0.70,36.62 ± 2.16 / 60.45 ± 1.75,60.37 ± 1.47 / 37.41 ± 1.47,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct</a>,📝,1.82,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,92.98 ± 0.82 / 94.05 ± 0.73,56.59 ± 0.84 / 44.81 ± 2.16,44.48 ± 1.25 / 71.17 ± 1.05,59.91 ± 1.85 / 31.96 ± 1.07,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.82,?,?,400000.0,✓,✗,✗,✓,82.23 ± 0.79 / 82.33 ± 0.77,54.09 ± 0.92 / 33.92 ± 0.77,64.24 ± 1.70 / 80.93 ± 0.98,49.48 ± 0.41 / 28.94 ± 0.73,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.84,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,94.46 ± 0.85 / 95.22 ± 0.82,63.04 ± 1.19 / 51.47 ± 2.60,45.46 ± 1.17 / 72.49 ± 0.68,49.03 ± 0.89 / 24.26 ± 0.52,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.84,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,94.56 ± 0.63 / 95.52 ± 0.53,56.80 ± 1.03 / 46.63 ± 2.38,44.08 ± 1.33 / 71.63 ± 0.75,57.45 ± 2.70 / 34.25 ± 2.18,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,1.84,559890946.0,250002.0,512.0,✓,✗,(✓),✗,96.30 ± 0.61 / 97.61 ± 0.40,72.50 ± 3.59 / 71.12 ± 1.99,28.45 ± 10.13 / 62.15 ± 5.52,53.26 ± 2.14 / 30.21 ± 2.71,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.85,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,90.09 ± 0.88 / 91.40 ± 0.85,52.14 ± 0.86 / 39.04 ± 1.95,50.47 ± 1.50 / 75.14 ± 0.81,60.13 ± 1.58 / 33.28 ± 1.09,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.86,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,90.92 ± 0.99 / 91.85 ± 1.06,58.27 ± 0.80 / 39.63 ± 1.80,52.02 ± 1.32 / 75.76 ± 0.71,50.27 ± 1.63 / 27.10 ± 1.04,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,1.86,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,91.92 ± 0.96 / 92.94 ± 0.92,54.90 ± 1.13 / 41.37 ± 1.34,39.83 ± 2.00 / 69.09 ± 1.03,57.94 ± 1.73 / 36.31 ± 1.05,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,1.86,561192082.0,250002.0,512.0,✓,✗,(✓),✓,96.50 ± 0.35 / 97.69 ± 0.21,75.70 ± 1.46 / 71.58 ± 1.38,19.09 ± 14.29 / 52.36 ± 10.88,56.12 ± 1.16 / 32.19 ± 1.14,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.87,?,?,131072.0,✓,✗,✗,✓,78.14 ± 0.88 / 76.11 ± 0.90,66.90 ± 0.80 / 60.53 ± 0.92,54.51 ± 1.67 / 77.11 ± 0.85,45.96 ± 0.48 / 27.04 ± 0.67,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.87,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,93.89 ± 0.71 / 94.81 ± 0.69,61.22 ± 1.07 / 50.00 ± 2.34,45.90 ± 1.45 / 72.43 ± 0.88,48.78 ± 1.11 / 24.11 ± 0.53,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B</a>,🤔,1.89,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,88.27 ± 0.63 / 89.21 ± 0.57,61.64 ± 1.26 / 49.79 ± 1.82,44.48 ± 1.27 / 71.29 ± 0.85,52.36 ± 0.74 / 29.11 ± 0.56,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.89,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,89.27 ± 0.89 / 90.67 ± 0.91,57.32 ± 1.42 / 42.97 ± 1.88,50.35 ± 1.61 / 75.14 ± 0.79,51.61 ± 1.01 / 23.36 ± 0.95,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.89,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,84.82 ± 2.98 / 83.39 ± 4.27,48.99 ± 1.28 / 36.01 ± 2.33,47.04 ± 3.18 / 71.55 ± 2.73,60.97 ± 3.33 / 38.45 ± 2.32,16.5.0.dev0,16.2.2.dev0,16.5.0.dev0,16.2.2.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.92,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,88.51 ± 0.90 / 89.92 ± 0.83,51.45 ± 0.94 / 40.08 ± 2.09,44.35 ± 2.17 / 70.16 ± 1.72,60.13 ± 1.84 / 35.41 ± 1.13,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,1.92,31577934400.0,131072.0,262144.0,✓,✗,✗,✓,89.24 ± 0.51 / 89.94 ± 0.45,68.86 ± 1.23 / 64.93 ± 1.16,43.55 ± 1.91 / 69.69 ± 1.10,41.98 ± 0.54 / 24.32 ± 0.64,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.93,?,100256.0,272000.0,✓,✗,✗,✓,78.28 ± 1.43 / 77.05 ± 1.27,62.91 ± 1.35 / 57.95 ± 1.53,54.80 ± 3.16 / 77.15 ± 1.59,44.59 ± 1.00 / 23.95 ± 1.45,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B</a>,🤔,1.94,30532122624.0,151936.0,40960.0,✓,✗,✗,✓,88.31 ± 0.87 / 89.14 ± 0.89,64.68 ± 1.08 / 49.60 ± 1.92,41.94 ± 1.55 / 70.17 ± 0.93,47.92 ± 0.70 / 25.32 ± 0.61,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/zai-org/GLM-4.7-Flash'>zai-org/GLM-4.7-Flash (val)</a>,🤔,1.95,31221485568.0,154880.0,202752.0,✓,✗,✗,✓,95.48 ± 0.54 / 96.20 ± 0.43,60.11 ± 1.59 / 44.99 ± 1.62,39.52 ± 1.80 / 68.44 ± 0.82,48.68 ± 0.52 / 24.86 ± 0.63,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,1.95,81324862720.0,151936.0,262144.0,✓,✗,✗,✓,86.02 ± 0.98 / 86.33 ± 1.17,58.09 ± 1.41 / 42.86 ± 2.31,48.06 ± 1.72 / 73.60 ± 0.89,49.86 ± 0.81 / 23.91 ± 0.58,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.96,?,256128.0,1048576.0,✓,✗,✗,✓,76.98 ± 1.22 / 74.90 ± 1.35,58.53 ± 2.35 / 45.11 ± 2.63,56.05 ± 2.04 / 77.79 ± 1.06,47.78 ± 0.85 / 25.48 ± 1.49,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,1.96,307531778.0,256000.0,8192.0,✓,✗,(✓),✓,93.30 ± 0.95 / 95.69 ± 0.63,62.50 ± 2.85 / 61.68 ± 1.62,46.94 ± 3.22 / 72.99 ± 1.65,40.57 ± 1.53 / 18.71 ± 0.80,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.96,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,93.31 ± 0.75 / 94.03 ± 0.76,64.89 ± 0.94 / 53.10 ± 2.66,45.05 ± 1.73 / 71.93 ± 1.18,40.87 ± 0.81 / 17.87 ± 0.65,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B#no-thinking</a>,📝,1.96,30532122624.0,151936.0,40960.0,✓,✗,✗,✓,92.12 ± 0.58 / 93.52 ± 0.50,53.46 ± 1.01 / 39.11 ± 1.72,45.94 ± 1.16 / 72.81 ± 0.53,50.86 ± 0.76 / 25.49 ± 0.51,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16 (val)</a>,🧠,1.97,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,98.13 ± 0.43 / 98.53 ± 0.33,47.12 ± 1.28 / 35.85 ± 1.50,34.71 ± 2.23 / 65.67 ± 1.44,61.57 ± 0.98 / 34.21 ± 0.98,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,1.98,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,92.34 ± 0.92 / 93.36 ± 0.88,52.66 ± 0.84 / 39.66 ± 1.81,46.00 ± 1.43 / 72.82 ± 0.74,49.35 ± 1.17 / 24.99 ± 0.49,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
