<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=14 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=16 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=17 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=18 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=20 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,,,
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.49,95.47,?,?,?,✓,✗,✗,✓,62.27 ± 0.94 / 72.33 ± 0.73,76.90 ± 0.71 / 65.36 ± 1.25,76.76 ± 1.29 / 67.56 ± 1.33,69.60 ± 1.33 / 84.29 ± 0.70,66.23 ± 2.22 / 82.42 ± 1.17,66.51 ± 0.39 / 34.31 ± 0.73,29.74 ± 0.13 / 34.51 ± 0.14,69.08 ± 0.85 / 77.15 ± 0.64,60.39 ± 0.77 / 70.04 ± 0.56,92.76 ± 1.39 / 94.22 ± 1.12,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.52,0.01,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,65.23 ± 1.17 / 75.60 ± 0.88,79.92 ± 0.74 / 75.35 ± 1.33,80.44 ± 0.91 / 74.80 ± 1.01,62.37 ± 2.14 / 80.59 ± 1.13,58.58 ± 1.08 / 78.47 ± 0.66,71.51 ± 0.40 / 45.23 ± 0.84,31.25 ± 0.22 / 34.57 ± 0.22,58.47 ± 1.29 / 69.26 ± 0.90,48.05 ± 1.77 / 61.02 ± 1.30,87.59 ± 1.07 / 90.16 ± 0.87,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.54,?,?,?,?,✓,✗,✗,✓,60.63 ± 2.09 / 72.71 ± 1.62,82.94 ± 0.94 / 74.82 ± 2.56,78.51 ± 1.64 / 73.26 ± 1.76,57.76 ± 2.51 / 76.30 ± 1.55,49.11 ± 3.15 / 71.80 ± 1.87,74.22 ± 0.94 / 47.79 ± 1.72,30.96 ± 0.28 / 35.17 ± 0.32,68.00 ± 2.51 / 76.60 ± 1.84,62.29 ± 3.67 / 71.56 ± 2.70,77.25 ± 3.72 / 81.41 ± 3.18,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.15.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.56,95.46,?,?,1047576.0,✓,✗,✗,✓,51.49 ± 3.39 / 66.60 ± 2.38,71.34 ± 2.36 / 52.59 ± 3.22,64.63 ± 3.07 / 40.68 ± 2.64,78.88 ± 1.70 / 89.09 ± 0.93,59.57 ± 2.03 / 76.98 ± 1.22,71.09 ± 1.00 / 38.22 ± 1.59,30.50 ± 0.27 / 34.84 ± 0.32,82.50 ± 1.17 / 87.15 ± 0.79,63.28 ± 2.30 / 72.38 ± 1.69,84.76 ± 1.93 / 87.66 ± 1.61,15.6.1.dev0,15.6.1.dev0,15.6.1.dev0,15.6.1.dev0,15.6.1.dev0,15.6.1.dev0,16.15.0.dev0,15.6.1.dev0,15.10.1.dev0,15.6.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.60,?,?,100256.0,272000.0,✓,✗,✗,✓,61.55 ± 2.21 / 71.45 ± 1.69,66.57 ± 2.66 / 48.27 ± 2.67,67.68 ± 3.28 / 52.10 ± 3.33,67.15 ± 1.49 / 81.99 ± 0.89,52.70 ± 2.60 / 73.95 ± 1.48,70.63 ± 0.52 / 42.37 ± 1.42,28.77 ± 0.28 / 33.30 ± 0.33,73.86 ± 0.90 / 80.74 ± 0.64,66.84 ± 2.26 / 75.00 ± 1.70,85.46 ± 1.93 / 88.28 ± 1.66,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,16.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.65,38.92,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,61.70 ± 0.93 / 73.44 ± 0.78,79.92 ± 0.88 / 65.27 ± 1.94,78.30 ± 1.06 / 65.46 ± 3.43,63.82 ± 1.48 / 81.65 ± 0.68,50.41 ± 1.60 / 74.77 ± 0.98,74.61 ± 1.32 / 47.98 ± 1.79,32.32 ± 0.23 / 35.26 ± 0.20,54.33 ± 0.92 / 66.19 ± 0.69,26.85 ± 0.80 / 45.14 ± 0.60,82.54 ± 1.17 / 85.99 ± 0.95,15.15.0,15.15.0,15.15.0,15.15.0,15.15.0,15.15.0,16.15.0.dev0,15.15.0,15.15.0,15.15.0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.66,78.45,?,?,400000.0,✓,✗,✗,✓,57.64 ± 3.63 / 70.18 ± 2.58,74.81 ± 1.61 / 62.37 ± 2.73,75.08 ± 2.71 / 58.20 ± 2.97,71.37 ± 3.40 / 85.65 ± 1.70,58.24 ± 2.75 / 79.04 ± 1.37,70.73 ± 1.01 / 39.47 ± 1.61,29.01 ± 0.25 / 33.60 ± 0.30,69.26 ± 3.34 / 77.46 ± 2.42,46.07 ± 2.26 / 59.65 ± 1.66,79.33 ± 1.85 / 83.12 ± 1.57,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.66,1.85,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,64.97 ± 0.95 / 76.70 ± 0.51,70.30 ± 1.73 / 60.24 ± 2.64,69.83 ± 1.85 / 60.63 ± 2.06,69.26 ± 1.34 / 84.47 ± 0.81,58.07 ± 1.84 / 78.95 ± 0.95,67.79 ± 0.89 / 37.28 ± 1.31,31.92 ± 0.19 / 35.51 ± 0.17,53.07 ± 0.55 / 65.18 ± 0.42,42.33 ± 0.87 / 56.24 ± 0.69,79.28 ± 0.48 / 83.36 ± 0.40,15.5.0,15.5.0,15.5.0,15.5.0,15.5.0,15.5.0,16.15.0.dev0,15.5.0,15.10.1.dev0,15.5.0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.66,16.79,?,?,131072.0,✓,✗,✗,✓,55.69 ± 1.32 / 66.72 ± 1.01,76.51 ± 0.84 / 74.61 ± 1.06,73.99 ± 1.28 / 68.05 ± 1.11,60.20 ± 1.26 / 79.23 ± 0.65,38.11 ± 1.41 / 65.85 ± 0.92,73.90 ± 0.27 / 47.40 ± 0.51,29.57 ± 0.12 / 33.56 ± 0.14,70.18 ± 1.15 / 78.01 ± 0.85,64.07 ± 1.32 / 72.93 ± 1.01,83.31 ± 0.72 / 86.72 ± 0.63,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.67,?,?,256128.0,1048576.0,✓,✗,✗,✓,58.83 ± 2.03 / 68.25 ± 1.68,69.46 ± 2.45 / 51.19 ± 3.26,69.12 ± 3.61 / 50.96 ± 3.38,71.27 ± 2.07 / 85.59 ± 1.03,44.41 ± 2.75 / 70.18 ± 1.61,69.68 ± 0.81 / 39.88 ± 1.19,28.44 ± 0.20 / 33.24 ± 0.22,73.50 ± 2.09 / 80.35 ± 1.52,56.31 ± 3.05 / 66.64 ± 2.35,88.70 ± 2.26 / 90.78 ± 1.96,15.13.0,15.13.0,15.13.0,15.13.0,15.13.0,15.13.0,16.15.0.dev0,15.13.0,15.13.0,15.13.0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.69,5.08,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,57.95 ± 3.02 / 69.00 ± 2.24,71.32 ± 1.57 / 62.40 ± 2.85,67.74 ± 2.83 / 58.26 ± 3.54,63.54 ± 2.16 / 80.43 ± 1.36,50.63 ± 2.36 / 71.48 ± 2.41,77.42 ± 1.70 / 50.54 ± 3.08,31.17 ± 0.20 / 34.74 ± 0.21,54.19 ± 3.82 / 66.25 ± 2.74,41.80 ± 3.45 / 56.21 ± 2.57,78.89 ± 2.69 / 82.97 ± 2.30,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.70,N/A,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,57.76 ± 2.49 / 70.13 ± 2.35,70.45 ± 1.97 / 62.30 ± 3.29,68.25 ± 2.09 / 61.63 ± 2.48,64.74 ± 1.80 / 82.18 ± 0.92,58.11 ± 1.73 / 78.62 ± 1.06,76.93 ± 3.33 / 52.07 ± 5.54,28.13 ± 0.74 / 28.44 ± 0.71,58.49 ± 0.84 / 69.07 ± 0.64,52.75 ± 1.64 / 64.47 ± 1.24,81.72 ± 0.95 / 85.31 ± 0.77,16.5.0.dev0,15.6.1,15.6.1,16.5.0.dev0,16.5.0.dev0,15.6.1,16.15.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.71,?,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,56.30 ± 1.57 / 68.83 ± 1.11,75.34 ± 0.95 / 66.30 ± 1.31,78.90 ± 1.27 / 67.44 ± 2.00,56.77 ± 2.42 / 78.17 ± 1.22,45.69 ± 1.49 / 71.97 ± 0.73,67.68 ± 0.54 / 40.52 ± 1.38,30.78 ± 0.21 / 34.35 ± 0.20,55.22 ± 2.37 / 66.84 ± 1.72,52.16 ± 1.96 / 63.95 ± 1.48,82.47 ± 3.03 / 85.94 ± 2.43,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.72,?,24011361280.0,131072.0,?,✓,✗,(✓),✓,61.44 ± 1.60 / 73.80 ± 1.40,76.70 ± 1.31 / 61.15 ± 2.52,75.13 ± 2.05 / 62.82 ± 2.14,60.10 ± 1.45 / 79.81 ± 0.70,46.19 ± 2.12 / 71.92 ± 1.64,76.10 ± 3.67 / 49.75 ± 5.44,31.90 ± 0.18 / 34.83 ± 0.21,50.72 ± 1.23 / 63.37 ± 0.90,27.56 ± 1.17 / 45.55 ± 0.92,79.46 ± 1.03 / 83.55 ± 0.82,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,16.15.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.72,?,24011361280.0,131072.0,?,✓,✗,(✓),✓,59.59 ± 1.37 / 71.31 ± 1.43,78.03 ± 1.09 / 72.48 ± 1.85,74.76 ± 2.39 / 69.65 ± 2.44,60.43 ± 1.28 / 79.99 ± 0.68,45.53 ± 2.72 / 71.48 ± 2.06,76.20 ± 3.43 / 50.33 ± 5.52,31.99 ± 0.18 / 34.76 ± 0.32,54.02 ± 1.20 / 65.86 ± 0.89,28.69 ± 1.10 / 46.33 ± 0.88,78.69 ± 1.00 / 82.93 ± 0.81,15.9.1.dev0,15.9.1.dev0,15.9.1.dev0,15.9.1.dev0,15.9.1.dev0,15.9.1.dev0,16.15.0.dev0,15.9.1.dev0,15.10.1.dev0,15.9.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.72,73.37,?,?,400000.0,✓,✗,✗,✓,54.25 ± 1.07 / 68.89 ± 0.83,61.84 ± 1.45 / 40.83 ± 1.29,69.96 ± 1.52 / 44.61 ± 1.24,63.24 ± 1.27 / 81.54 ± 0.62,62.47 ± 1.13 / 80.48 ± 0.66,73.10 ± 0.45 / 43.76 ± 0.97,30.05 ± 0.15 / 34.17 ± 0.19,64.36 ± 1.54 / 73.59 ± 1.13,42.72 ± 1.27 / 57.03 ± 0.96,85.48 ± 1.16 / 88.28 ± 0.97,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.76,N/A,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,63.88 ± 1.55 / 74.56 ± 1.57,80.07 ± 1.14 / 72.67 ± 2.45,78.10 ± 1.21 / 71.69 ± 3.03,58.81 ± 1.70 / 78.45 ± 1.12,47.36 ± 2.14 / 72.44 ± 1.49,78.48 ± 3.03 / 55.47 ± 5.15,27.49 ± 0.57 / 28.23 ± 0.63,55.92 ± 0.73 / 67.34 ± 0.53,28.42 ± 1.02 / 46.32 ± 0.76,77.40 ± 0.53 / 81.89 ± 0.44,16.5.0.dev0,15.7.2.dev0,15.7.2.dev0,16.5.0.dev0,16.5.0.dev0,15.7.2.dev0,16.17.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.78,?,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,58.19 ± 1.44 / 72.17 ± 1.11,78.26 ± 1.22 / 70.18 ± 1.91,75.05 ± 2.46 / 69.14 ± 2.08,58.72 ± 1.74 / 79.08 ± 0.97,43.88 ± 2.26 / 71.24 ± 1.65,73.31 ± 3.78 / 46.86 ± 4.73,31.07 ± 0.24 / 33.26 ± 0.51,52.56 ± 1.43 / 64.75 ± 1.04,27.42 ± 1.40 / 45.48 ± 1.07,79.41 ± 1.02 / 83.49 ± 0.82,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.15.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.79,70.75,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,59.07 ± 1.11 / 71.96 ± 0.84,80.98 ± 1.17 / 64.19 ± 2.03,79.17 ± 1.02 / 64.66 ± 3.75,58.19 ± 1.42 / 78.84 ± 0.76,43.16 ± 1.94 / 70.85 ± 1.20,74.95 ± 1.68 / 47.77 ± 2.48,31.11 ± 0.19 / 34.06 ± 0.19,45.70 ± 1.27 / 59.84 ± 0.90,25.15 ± 0.92 / 43.82 ± 0.75,77.94 ± 1.10 / 82.33 ± 0.89,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,16.15.0.dev0,15.8.1.dev0,15.10.1.dev0,15.8.1.dev0
