<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=18 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.30,31.27,?,?,400000.0,✓,✗,✗,✓,58.12 ± 1.18 / 70.26 ± 0.76,69.34 ± 0.84 / 57.20 ± 0.95,68.28 ± 0.44 / 82.70 ± 0.21,75.88 ± 0.55 / 60.34 ± 0.63,37.17 ± 0.21 / 41.42 ± 0.23,94.10 ± 0.88 / 95.62 ± 0.65,96.65 ± 0.71 / 97.78 ± 0.47,69.35 ± 1.14 / 76.99 ± 0.87,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.31,90.83,?,?,400000.0,✓,✗,✗,✓,58.52 ± 1.14 / 72.35 ± 0.70,67.72 ± 1.53 / 48.22 ± 1.58,71.48 ± 3.01 / 85.01 ± 1.60,74.42 ± 1.10 / 47.65 ± 1.58,36.49 ± 0.39 / 41.21 ± 0.44,87.77 ± 3.36 / 91.09 ± 2.42,98.83 ± 0.85 / 99.22 ± 0.57,71.22 ± 2.03 / 78.36 ± 1.56,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.33,91.39,?,?,1047576.0,✓,✗,✗,✓,56.86 ± 1.97 / 70.38 ± 1.40,64.35 ± 1.69 / 43.33 ± 2.20,65.91 ± 1.73 / 82.90 ± 0.87,76.62 ± 1.05 / 53.04 ± 1.63,37.45 ± 0.36 / 42.00 ± 0.42,91.43 ± 1.73 / 93.75 ± 1.37,96.69 ± 1.35 / 97.78 ± 0.92,74.83 ± 2.04 / 81.05 ± 1.57,15.6.1.dev0,15.6.1.dev0,15.6.1.dev0,16.3.0.dev0,16.15.0.dev0,15.6.1.dev0,15.6.1.dev0,15.6.1.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-FP8'>Qwen/Qwen3.5-35B-A3B-FP8 (val)</a>,🤔,1.35,?,34453061632.0,248044.0,8192.0,✓,✗,(✓),✓,60.55 ± 1.06 / 73.19 ± 0.75,61.12 ± 2.26 / 54.63 ± 2.12,61.50 ± 2.01 / 78.99 ± 1.10,69.79 ± 0.79 / 55.64 ± 0.89,38.49 ± 0.20 / 41.09 ± 0.20,86.03 ± 1.58 / 89.84 ± 1.17,96.03 ± 1.23 / 97.33 ± 0.83,80.14 ± 0.96 / 85.04 ± 0.73,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.35,90.6,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,58.78 ± 1.28 / 72.51 ± 0.82,68.75 ± 1.54 / 50.59 ± 2.85,52.44 ± 2.92 / 72.92 ± 2.46,77.42 ± 0.83 / 54.31 ± 1.42,37.99 ± 0.17 / 40.69 ± 0.26,83.72 ± 1.04 / 87.78 ± 0.80,93.04 ± 0.64 / 95.33 ± 0.42,79.31 ± 0.68 / 84.38 ± 0.50,15.15.0,15.15.0,15.15.0,16.3.0.dev0,16.15.0.dev0,15.15.0,15.15.0,15.15.0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.36,86.77,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,56.79 ± 2.34 / 70.13 ± 1.65,65.94 ± 1.53 / 54.41 ± 1.99,62.17 ± 4.57 / 80.70 ± 2.38,78.80 ± 1.10 / 64.67 ± 1.32,37.61 ± 0.18 / 41.26 ± 0.23,75.70 ± 1.95 / 82.19 ± 1.72,93.25 ± 2.82 / 95.44 ± 1.93,76.99 ± 1.51 / 82.62 ± 1.14,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.36,56.17,?,?,400000.0,✓,✗,✗,✓,53.93 ± 0.94 / 66.76 ± 0.61,68.70 ± 0.69 / 53.07 ± 0.87,67.37 ± 1.50 / 82.53 ± 0.90,78.57 ± 0.50 / 61.78 ± 0.65,37.13 ± 0.20 / 41.50 ± 0.23,90.85 ± 0.95 / 93.28 ± 0.66,96.69 ± 0.69 / 97.78 ± 0.47,64.83 ± 0.92 / 73.59 ± 0.71,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.36,?,24011361280.0,131072.0,?,✓,✗,(✓),✓,57.13 ± 1.49 / 71.12 ± 1.09,64.95 ± 1.63 / 52.57 ± 2.04,53.08 ± 2.30 / 75.38 ± 2.18,80.39 ± 1.57 / 62.26 ± 2.39,37.93 ± 0.24 / 40.72 ± 0.49,81.81 ± 1.22 / 86.37 ± 0.92,90.81 ± 0.92 / 93.83 ± 0.61,82.20 ± 0.98 / 86.62 ± 0.74,15.9.1.dev0,15.9.1.dev0,15.9.1.dev0,16.3.0.dev0,16.15.0.dev0,15.9.1.dev0,15.9.1.dev0,15.9.1.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.40,24.65,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,56.65 ± 0.74 / 70.10 ± 0.62,68.02 ± 1.00 / 61.54 ± 1.02,56.30 ± 1.22 / 77.02 ± 0.52,72.62 ± 0.80 / 47.94 ± 0.64,38.10 ± 0.21 / 41.62 ± 0.22,81.68 ± 1.31 / 86.88 ± 0.97,96.53 ± 0.74 / 97.67 ± 0.51,73.17 ± 1.73 / 79.84 ± 1.32,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.40,89.94,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,56.14 ± 1.16 / 70.25 ± 0.55,68.07 ± 1.02 / 47.18 ± 2.71,56.72 ± 1.45 / 77.47 ± 0.82,81.20 ± 0.80 / 64.01 ± 0.94,36.98 ± 0.17 / 39.81 ± 0.28,76.80 ± 1.35 / 82.59 ± 1.01,81.29 ± 1.52 / 87.52 ± 1.01,79.45 ± 0.50 / 84.48 ± 0.37,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,16.3.0.dev0,16.15.0.dev0,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.40,91.88,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,57.40 ± 1.48 / 71.71 ± 1.09,61.91 ± 1.26 / 50.60 ± 2.37,62.41 ± 1.38 / 81.00 ± 0.81,76.80 ± 1.40 / 56.99 ± 1.53,37.47 ± 0.19 / 40.86 ± 0.14,85.56 ± 1.39 / 89.15 ± 1.05,92.29 ± 0.91 / 94.80 ± 0.61,73.90 ± 0.99 / 80.23 ± 0.75,15.5.0,15.5.0,15.5.0,16.3.0.dev0,16.15.0.dev0,15.5.0,15.5.0,15.5.0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.41,?,24011361280.0,131072.0,?,✓,✗,(✓),✓,56.76 ± 1.40 / 71.10 ± 1.01,64.36 ± 2.09 / 47.80 ± 3.07,51.24 ± 3.45 / 73.49 ± 2.88,82.73 ± 1.33 / 66.46 ± 2.00,37.34 ± 0.33 / 40.06 ± 0.65,79.47 ± 1.29 / 84.60 ± 0.98,88.66 ± 1.17 / 92.30 ± 0.80,76.25 ± 1.02 / 82.05 ± 0.79,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,16.3.0.dev0,16.15.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.42,?,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,54.58 ± 1.87 / 69.17 ± 1.69,66.29 ± 2.33 / 51.60 ± 3.17,54.14 ± 1.44 / 76.44 ± 0.98,80.98 ± 1.39 / 64.23 ± 1.97,37.11 ± 0.46 / 39.46 ± 0.84,82.07 ± 0.89 / 86.55 ± 0.68,90.37 ± 1.43 / 93.52 ± 0.97,75.98 ± 0.97 / 81.88 ± 0.74,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.15.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.43,24.77,?,?,131072.0,✓,✗,✗,✓,54.14 ± 0.96 / 63.74 ± 0.78,64.41 ± 1.10 / 55.90 ± 1.04,60.59 ± 1.39 / 79.78 ± 0.73,76.01 ± 0.58 / 57.45 ± 0.69,36.32 ± 0.16 / 40.35 ± 0.18,90.14 ± 1.31 / 92.81 ± 0.97,93.69 ± 1.19 / 95.78 ± 0.81,72.95 ± 0.83 / 79.65 ± 0.65,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.46,65.31,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,54.65 ± 1.90 / 70.26 ± 1.36,61.32 ± 1.79 / 44.23 ± 2.45,59.50 ± 1.40 / 79.05 ± 0.93,81.70 ± 0.84 / 65.16 ± 1.30,37.06 ± 0.15 / 40.60 ± 0.14,80.40 ± 1.28 / 85.32 ± 0.96,81.25 ± 1.81 / 87.45 ± 1.19,73.30 ± 0.77 / 79.71 ± 0.61,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.4.0.dev0,16.15.0.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.47,65.09,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,56.11 ± 1.21 / 70.24 ± 0.80,65.68 ± 0.83 / 54.42 ± 1.28,56.68 ± 2.35 / 77.55 ± 1.17,76.14 ± 0.82 / 61.92 ± 0.94,37.63 ± 0.24 / 41.29 ± 0.24,76.59 ± 2.13 / 82.19 ± 1.70,95.51 ± 0.96 / 97.00 ± 0.64,65.60 ± 1.91 / 74.10 ± 1.47,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.47,86.45,?,?,400000.0,✓,✗,✗,✓,51.56 ± 1.16 / 66.41 ± 0.77,61.43 ± 0.73 / 35.31 ± 0.74,66.65 ± 1.23 / 83.14 ± 0.66,79.41 ± 0.52 / 63.39 ± 0.74,36.91 ± 0.19 / 41.18 ± 0.23,86.20 ± 0.90 / 89.69 ± 0.67,95.23 ± 0.45 / 96.78 ± 0.31,59.35 ± 1.11 / 69.30 ± 0.84,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.49,68.32,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,56.67 ± 1.45 / 71.25 ± 0.98,60.61 ± 1.76 / 39.25 ± 2.41,56.51 ± 1.91 / 77.61 ± 1.20,74.86 ± 0.95 / 54.31 ± 1.13,37.81 ± 0.18 / 41.05 ± 0.18,80.25 ± 1.37 / 85.17 ± 1.04,81.25 ± 1.98 / 87.45 ± 1.33,70.92 ± 1.21 / 78.15 ± 0.92,15.5.0,15.5.0,15.5.0,16.3.0.dev0,16.15.0.dev0,15.5.0,15.5.0,15.5.0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.51,?,?,100256.0,272000.0,✓,✗,✗,✓,52.74 ± 1.72 / 65.20 ± 1.62,58.51 ± 1.51 / 44.11 ± 1.40,63.20 ± 2.73 / 79.74 ± 1.58,75.45 ± 1.25 / 56.61 ± 1.60,36.02 ± 0.40 / 40.78 ± 0.45,83.44 ± 1.94 / 87.66 ± 1.48,93.34 ± 2.16 / 95.56 ± 1.45,68.71 ± 1.73 / 76.56 ± 1.33,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,16.3.0.dev0,16.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.52,91.09,?,?,200000.0,✓,✗,✗,✓,55.86 ± 1.55 / 68.73 ± 1.16,57.76 ± 1.98 / 44.22 ± 2.12,58.02 ± 3.36 / 76.96 ± 1.79,75.72 ± 1.09 / 52.27 ± 1.80,35.47 ± 0.32 / 40.05 ± 0.38,81.77 ± 2.27 / 86.72 ± 1.95,95.58 ± 1.86 / 97.00 ± 1.30,71.74 ± 1.33 / 78.67 ± 1.03,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.15.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.54,?,?,256128.0,1048576.0,✓,✗,✗,✓,53.19 ± 2.34 / 63.43 ± 1.83,59.47 ± 1.92 / 44.54 ± 2.25,74.06 ± 2.21 / 86.97 ± 1.12,74.46 ± 1.08 / 56.10 ± 1.55,35.49 ± 0.40 / 40.55 ± 0.43,80.23 ± 1.87 / 85.47 ± 1.52,92.58 ± 1.80 / 95.00 ± 1.27,55.38 ± 2.17 / 66.09 ± 1.75,15.13.0,15.13.0,15.13.0,16.3.0.dev0,16.15.0.dev0,15.13.0,15.13.0,15.13.0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.59,59.7,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,55.22 ± 1.49 / 70.54 ± 1.07,56.38 ± 2.24 / 39.31 ± 3.17,52.34 ± 1.67 / 74.01 ± 1.01,82.01 ± 0.95 / 65.02 ± 1.24,37.00 ± 0.20 / 40.85 ± 0.12,72.49 ± 1.48 / 79.34 ± 1.12,70.70 ± 2.43 / 80.40 ± 1.57,66.87 ± 0.86 / 74.93 ± 0.65,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.3.0.dev0,16.15.0.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,1.59,77.61,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,54.87 ± 1.91 / 70.11 ± 1.39,63.59 ± 1.67 / 44.74 ± 2.74,47.52 ± 1.26 / 71.76 ± 1.08,78.34 ± 0.76 / 59.93 ± 0.68,36.58 ± 0.14 / 39.35 ± 0.23,68.81 ± 1.14 / 76.61 ± 0.85,79.93 ± 2.00 / 86.55 ± 1.34,70.04 ± 0.93 / 77.38 ± 0.71,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,16.3.0.dev0,16.15.0.dev0,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.60,N/A,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,56.67 ± 1.76 / 70.90 ± 1.34,63.33 ± 1.66 / 50.14 ± 2.88,53.52 ± 1.64 / 76.55 ± 0.83,81.28 ± 1.84 / 65.14 ± 2.57,33.07 ± 1.39 / 33.65 ± 1.66,81.90 ± 1.44 / 86.44 ± 1.09,92.17 ± 1.47 / 94.76 ± 0.99,57.79 ± 1.64 / 67.67 ± 1.45,16.5.0.dev0,15.9.1.dev0,16.5.0.dev0,16.3.0.dev0,16.15.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0
