<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.75,?,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,86.74 ± 1.42 / 93.21 ± 0.70,64.30 ± 0.73 / 53.03 ± 1.26,38.18 ± 3.55 / 68.58 ± 1.68,65.79 ± 0.59 / 54.38 ± 0.83,31.78 ± 0.11 / 34.48 ± 0.15,64.48 ± 1.65 / 73.40 ± 1.22,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.77,?,?,?,200000.0,✓,✗,✗,✓,92.17 ± 0.88 / 96.00 ± 0.45,64.29 ± 1.89 / 54.45 ± 2.10,16.39 ± 3.60 / 48.22 ± 1.85,66.69 ± 0.67 / 46.86 ± 0.93,31.85 ± 0.24 / 35.46 ± 0.26,88.15 ± 1.42 / 91.13 ± 1.06,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.15.0.dev0,16.3.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.77,74.58,?,?,1047576.0,✓,✗,✗,✓,88.72 ± 1.44 / 94.16 ± 0.75,53.11 ± 2.00 / 28.88 ± 1.64,41.78 ± 2.68 / 68.49 ± 1.58,58.07 ± 0.67 / 35.58 ± 0.91,32.16 ± 0.19 / 35.69 ± 0.20,77.62 ± 1.18 / 83.20 ± 0.89,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,16.15.0.dev0,15.9.2.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.78,?,?,256128.0,1048576.0,✓,✗,✗,✓,88.50 ± 1.21 / 94.03 ± 0.64,61.76 ± 2.58 / 38.94 ± 2.74,40.35 ± 2.11 / 69.97 ± 1.09,61.31 ± 1.24 / 40.71 ± 1.63,30.87 ± 0.21 / 35.17 ± 0.21,63.47 ± 2.22 / 72.42 ± 1.77,15.13.0,15.13.0,15.13.0,15.13.0,16.15.0.dev0,15.13.0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.78,43.97,?,?,131072.0,✓,✗,✗,✓,88.86 ± 0.61 / 94.23 ± 0.32,56.13 ± 1.03 / 43.43 ± 1.15,37.71 ± 1.64 / 68.49 ± 0.86,63.84 ± 0.37 / 47.80 ± 0.61,30.24 ± 0.10 / 33.72 ± 0.11,77.20 ± 0.74 / 83.05 ± 0.55,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.79,4.24,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,90.90 ± 0.68 / 95.39 ± 0.36,69.28 ± 1.52 / 45.66 ± 2.50,34.30 ± 1.41 / 63.36 ± 1.54,69.38 ± 0.83 / 51.14 ± 1.36,30.57 ± 0.13 / 32.72 ± 0.35,53.82 ± 1.02 / 65.11 ± 0.77,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,16.15.0.dev0,15.8.1.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.80,N/A,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,93.78 ± 0.68 / 96.88 ± 0.35,65.25 ± 1.02 / 47.69 ± 2.19,41.32 ± 3.61 / 67.76 ± 4.16,75.66 ± 1.52 / 58.64 ± 2.77,25.68 ± 2.00 / 25.95 ± 2.05,54.10 ± 2.37 / 65.27 ± 1.81,16.5.0.dev0,15.9.2.dev0,16.5.0.dev0,15.9.2.dev0,16.15.0.dev0,16.5.0.dev0
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.81,12.6,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,92.47 ± 0.69 / 96.21 ± 0.36,65.09 ± 1.24 / 36.56 ± 2.08,31.28 ± 2.50 / 63.69 ± 1.95,69.76 ± 0.78 / 50.61 ± 2.30,30.50 ± 0.08 / 34.12 ± 0.06,57.79 ± 1.10 / 67.91 ± 0.88,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,16.17.0.dev0,15.10.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.81,?,?,100256.0,272000.0,✓,✗,✗,✓,88.69 ± 1.14 / 94.20 ± 0.60,62.46 ± 2.52 / 37.59 ± 2.54,34.95 ± 2.61 / 65.75 ± 1.63,62.99 ± 0.66 / 46.61 ± 1.44,29.80 ± 0.21 / 33.91 ± 0.23,72.06 ± 2.31 / 79.10 ± 1.77,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,16.15.0.dev0,15.15.0.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.81,?,24259880960.0,131072.0,8192.0,✓,✗,(✓),✓,91.36 ± 0.83 / 95.61 ± 0.43,71.04 ± 1.15 / 52.81 ± 2.90,25.79 ± 3.00 / 54.53 ± 2.93,73.12 ± 1.88 / 58.46 ± 1.83,28.82 ± 0.73 / 30.08 ± 1.03,60.39 ± 0.86 / 70.06 ± 0.68,16.3.0.dev0,16.3.0.dev0,16.4.0.dev0,16.4.0.dev0,16.15.0.dev0,16.4.0.dev0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.84,3.28,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,92.18 ± 0.59 / 96.05 ± 0.30,52.70 ± 1.98 / 36.11 ± 2.02,39.12 ± 1.30 / 69.29 ± 0.70,69.09 ± 1.13 / 48.85 ± 1.15,30.75 ± 0.13 / 33.50 ± 0.20,56.13 ± 1.25 / 66.83 ± 0.96,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.15.0.dev0,16.2.2.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.85,N/A,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,92.64 ± 0.74 / 96.28 ± 0.39,73.64 ± 0.79 / 56.68 ± 3.59,38.56 ± 1.29 / 67.77 ± 1.51,76.96 ± 1.26 / 59.60 ± 2.49,26.22 ± 1.07 / 26.85 ± 1.24,40.28 ± 2.11 / 53.29 ± 1.60,16.5.0.dev0,15.7.2,16.5.0.dev0,15.7.2,16.15.0.dev0,16.5.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,1.85,67.41,?,?,400000.0,✓,✗,✗,✓,88.72 ± 0.73 / 94.16 ± 0.38,53.68 ± 1.08 / 29.07 ± 0.89,51.40 ± 1.68 / 75.10 ± 0.87,58.91 ± 0.35 / 34.66 ± 0.61,29.29 ± 0.07 / 33.85 ± 0.07,55.53 ± 1.18 / 66.91 ± 0.88,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.85,51.57,?,?,400000.0,✓,✗,✗,✓,88.98 ± 0.62 / 94.35 ± 0.32,52.18 ± 0.98 / 25.24 ± 0.55,39.03 ± 1.95 / 68.66 ± 0.97,62.29 ± 0.37 / 43.35 ± 0.50,31.53 ± 0.11 / 34.87 ± 0.11,62.32 ± 1.47 / 71.33 ± 1.13,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.86,7.97,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,92.37 ± 0.65 / 96.15 ± 0.34,69.08 ± 1.52 / 46.31 ± 2.82,35.90 ± 2.62 / 64.12 ± 2.65,53.60 ± 1.94 / 28.80 ± 2.26,30.37 ± 0.40 / 31.12 ± 0.49,59.07 ± 1.30 / 68.93 ± 1.03,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,16.17.0.dev0,15.10.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.87,20.48,?,100256.0,272000.0,✓,✗,✗,✓,87.63 ± 1.27 / 93.65 ± 0.66,65.77 ± 1.27 / 56.81 ± 1.65,41.20 ± 2.58 / 68.59 ± 1.51,64.78 ± 0.56 / 48.65 ± 0.70,28.24 ± 0.20 / 32.80 ± 0.21,52.96 ± 2.29 / 64.65 ± 1.71,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,16.15.0.dev0,15.15.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.88,N/A,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,92.80 ± 0.54 / 96.37 ± 0.28,67.16 ± 2.10 / 49.82 ± 2.42,34.77 ± 1.47 / 63.81 ± 1.94,76.86 ± 1.43 / 61.30 ± 2.09,27.09 ± 1.12 / 28.12 ± 1.18,42.56 ± 1.83 / 56.12 ± 1.40,16.5.0.dev0,15.9.1.dev0,16.5.0.dev0,15.9.1.dev0,16.15.0.dev0,16.5.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,1.90,?,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,90.23 ± 0.74 / 94.98 ± 0.39,53.66 ± 1.69 / 33.74 ± 0.91,31.04 ± 1.63 / 64.80 ± 0.85,71.48 ± 0.73 / 58.82 ± 0.70,31.36 ± 0.17 / 34.78 ± 0.21,52.57 ± 1.57 / 64.10 ± 1.18,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,1.90,?,31577934400.0,131072.0,262144.0,✓,✗,✗,✓,88.92 ± 0.91 / 94.32 ± 0.46,70.32 ± 1.20 / 60.38 ± 1.21,32.71 ± 2.20 / 59.77 ± 1.09,65.32 ± 0.54 / 55.73 ± 0.69,28.99 ± 0.17 / 33.42 ± 0.14,50.59 ± 1.91 / 62.62 ± 1.68,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.90,0.97,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,91.54 ± 0.71 / 95.70 ± 0.38,60.27 ± 1.09 / 33.56 ± 1.25,31.21 ± 2.06 / 61.91 ± 2.37,63.18 ± 1.23 / 44.41 ± 1.72,32.09 ± 0.13 / 34.64 ± 0.17,53.81 ± 0.97 / 65.39 ± 0.73,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,16.15.0.dev0,15.9.2.dev0
<a href='https://hf.co/nvidia/Nemotron-Cascade-2-30B-A3B'>nvidia/Nemotron-Cascade-2-30B-A3B (val)</a>,🤔,1.93,?,31577937344.0,131072.0,262144.0,✓,✗,(✓),✓,88.80 ± 0.69 / 94.28 ± 0.34,64.36 ± 2.21 / 48.82 ± 2.02,32.96 ± 1.93 / 62.78 ± 1.17,61.18 ± 1.10 / 48.13 ± 1.31,28.67 ± 0.20 / 33.03 ± 0.20,57.12 ± 1.14 / 67.93 ± 0.88,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.98,0.83,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,91.11 ± 0.77 / 95.49 ± 0.40,57.58 ± 1.62 / 35.47 ± 2.25,32.05 ± 1.37 / 65.67 ± 0.76,71.40 ± 0.88 / 53.13 ± 1.83,30.44 ± 0.14 / 33.10 ± 0.24,42.58 ± 1.33 / 56.74 ± 1.01,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.15.0.dev0,16.2.2.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,1.99,5.04,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,92.41 ± 0.55 / 96.18 ± 0.28,52.22 ± 2.29 / 30.09 ± 1.94,34.29 ± 1.04 / 67.04 ± 0.51,64.47 ± 0.87 / 46.43 ± 1.28,30.50 ± 0.11 / 34.05 ± 0.09,51.07 ± 0.71 / 63.36 ± 0.56,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,16.15.0.dev0,15.16.0.dev0
