<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.47,?,256128.0,1048576.0,✓,✗,✗,✓,1.44,1.54,1.44
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.48,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,1.44,1.55,1.46
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.48,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,1.45,1.57,1.41
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.49,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,1.45,1.63,1.40
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.49,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,1.44,1.68,1.36
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.51,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,1.48,1.70,1.36
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.51,?,?,1047576.0,✓,✗,✗,✓,1.37,1.65,1.49
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.52,?,256128.0,1048576.0,✓,✗,✗,✓,1.42,1.68,1.46
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.53,?,?,131072.0,✓,✗,✗,✓,1.46,1.71,1.42
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.55,?,100256.0,272000.0,✓,✗,✗,✓,1.54,1.63,1.47
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.55,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,1.46,1.68,1.52
<a href='https://hf.co/AI-Sweden-Models/roberta-large-1160k'>AI-Sweden-Models/roberta-large-1160k</a>,🔍,1.56,355412057.0,50265.0,512.0,✓,✗,(✓),✗,1.65,1.45,1.57
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.57,?,?,400000.0,✓,✗,✗,✓,1.42,1.68,1.60
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.58,?,256128.0,1048576.0,✓,✗,✗,✓,1.55,1.64,1.57
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.59,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,1.54,1.69,1.56
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E-Instruct'>meta-llama/Llama-4-Scout-17B-16E-Instruct</a>,📝,1.60,108641793536.0,200000.0,?,✓,✗,(✓),✓,1.57,1.68,1.55
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.60,?,100256.0,272000.0,✓,✗,✗,✓,1.49,1.77,1.55
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,1.61,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,1.65,1.68,1.50
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.63,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,1.68,1.69,1.53
<a href='https://hf.co/NbAiLab/borealis-27b-instruct-preview'>NbAiLab/borealis-27b-instruct-preview (val)</a>,📝,1.63,28842036848.0,262144.0,8192.0,✓,✗,(✓),✗,1.60,1.63,1.65
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,1.63,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,1.59,1.73,1.58
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,1.64,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,1.66,1.69,1.58
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.66,?,?,1047576.0,✓,✗,✗,✓,1.54,1.89,1.56
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.66,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,1.58,1.77,1.62
<a href='https://hf.co/NbAiLab/borealis-12b-instruct-preview'>NbAiLab/borealis-12b-instruct-preview (val)</a>,📝,1.67,13194203760.0,262144.0,8192.0,✓,✗,(✓),✗,1.64,1.71,1.65
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.67,?,?,200000.0,✓,✗,✗,✓,1.54,1.88,1.60
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,1.68,?,?,400000.0,✓,✗,✗,✓,1.62,1.80,1.60
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,1.68,31577934400.0,131072.0,262144.0,✓,✗,✗,✓,1.59,1.94,1.52
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,1.71,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,1.65,1.89,1.60
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,1.71,?,?,400000.0,✓,✗,✗,✓,1.68,1.86,1.59
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,1.72,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,1.65,1.88,1.63
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,1.73,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,1.74,1.79,1.66
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,🤔,1.76,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,1.63,2.05,1.61
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,1.77,?,?,400000.0,✓,✗,✗,✓,1.65,1.94,1.72
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,1.77,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,1.69,1.97,1.66
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,1.77,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,1.75,1.85,1.72
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,1.79,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,1.64,1.96,1.77
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,1.79,32207337984.0,100352.0,131072.0,✓,✗,(✓),✗,1.77,1.95,1.66
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,1.80,70599864480.0,131072.0,65536.0,✗,✗,(✓),✗,1.72,1.88,1.81
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,1.80,?,256128.0,1048576.0,✓,✗,✗,✓,1.77,2.00,1.64
<a href='https://hf.co/KennethEnevoldsen/dfm-sentence-encoder-large'>KennethEnevoldsen/dfm-sentence-encoder-large</a>,🔍,1.81,407389520.0,50000.0,512.0,✓,✗,(✓),✗,1.73,1.70,2.00
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,1.84,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,1.76,1.96,1.80
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,1.85,?,128000.0,4096.0,✓,✗,(✓),✓,1.87,2.08,1.60
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (val)</a>,📝,1.85,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,1.85,1.91,1.79
<a href='https://hf.co/vesteinn/ScandiBERT-no-faroese'>vesteinn/ScandiBERT-no-faroese</a>,🔍,1.86,124498007.0,50005.0,514.0,✓,✗,(✓),✓,2.04,1.71,1.84
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,1.86,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,1.82,1.93,1.82
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,1.86,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,1.84,1.98,1.77
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🧠,1.87,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,1.96,1.95,1.70
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Thinking'>Qwen/Qwen3-Next-80B-A3B-Thinking</a>,🤔,1.87,81324862720.0,151936.0,262144.0,✓,✗,✗,✓,1.81,2.05,1.76
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,1.88,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,1.82,2.12,1.70
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,1.90,70599864480.0,131072.0,65536.0,✓,✗,(✓),✗,1.69,2.36,1.64
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,1.90,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,1.84,1.96,1.88
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,1.90,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,1.76,2.13,1.80
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,1.92,22637328384.0,128000.0,4096.0,✓,✗,(✓),✓,1.76,2.25,1.76
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,1.92,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,1.83,2.14,1.78
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking</a>,📝,1.93,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,1.92,2.14,1.75
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,1.94,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,1.93,2.07,1.82
<a href='https://hf.co/vesteinn/FoBERT'>vesteinn/FoBERT</a>,🔍,1.94,124498007.0,50005.0,514.0,✓,✗,(✓),✓,2.08,1.86,1.86
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,1.94,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,1.85,2.05,1.92
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,1.96,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,1.87,2.12,1.89
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,1.97,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,1.91,2.13,1.86
<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it</a>,📝,1.97,5439438272.0,262400.0,8192.0,✓,✗,(✓),✓,1.84,2.06,2.02
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.01,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,1.84,2.46,1.74
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16 (val)</a>,🧠,2.01,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,2.01,2.14,1.88
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512</a>,🧠,2.01,4251743232.0,131072.0,8192.0,✓,✗,(✓),✓,2.01,2.16,1.85
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,2.03,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,2.01,2.08,2.01
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2</a>,🤔,2.03,8888227328.0,131072.0,131072.0,✓,✗,✗,✓,1.91,2.30,1.88
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,2.03,3849090048.0,131072.0,8192.0,✓,✗,(✓),✓,2.08,2.13,1.89
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.05,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,1.90,2.38,1.86
<a href='https://hf.co/google/gemma-4-31B'>google/gemma-4-31B (val)</a>,🧠,2.06,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,2.11,2.16,1.93
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.06,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,1.84,2.52,1.81
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,2.06,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,1.94,2.25,2.00
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,2.08,307532547.0,256000.0,8192.0,✓,✗,(✓),✓,2.29,1.95,2.00
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (val)</a>,📝,2.09,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,2.08,2.24,1.96
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,2.13,32234279936.0,100352.0,4096.0,✗,✗,(✓),✓,1.89,2.50,2.01
<a href='https://hf.co/bineric/lynx-instruct-30b'>bineric/lynx-instruct-30b#thinking</a>,🤔,2.13,30532122624.0,151936.0,262144.0,✓,✗,(✓),✗,2.13,2.33,1.94
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.13,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,2.13,2.29,1.96
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.15,9152319488.0,128000.0,4096.0,✓,✗,(✓),✓,2.10,2.41,1.94
<a href='https://hf.co/bineric/lynx-instruct-30b'>bineric/lynx-instruct-30b#no-thinking</a>,📝,2.15,30532122624.0,151936.0,262144.0,✓,✗,(✓),✗,2.14,2.35,1.98
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,2.16,?,?,?,✓,✗,(✓),✓,2.09,2.29,2.11
<a href='https://hf.co/norallm/normistral-11b-long'>norallm/normistral-11b-long</a>,🧠,2.18,11429893120.0,51200.0,32768.0,✓,✗,(✓),✗,2.17,2.35,2.03
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.18,?,?,1047576.0,✓,✗,✗,✓,1.94,2.39,2.20
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,2.19,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,2.17,2.38,2.02
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,2.19,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,2.21,2.32,2.06
<a href='https://hf.co/AI-Sweden-Models/ModernBERT-large'>AI-Sweden-Models/ModernBERT-large</a>,🔍,2.20,395881664.0,50368.0,8192.0,✓,✗,(✓),✗,2.30,2.08,2.24
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think (val)</a>,🤔,2.22,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,2.14,2.45,2.08
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini (val)</a>,🤔,2.24,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,1.99,2.55,2.20
<a href='https://hf.co/NbAiLab/borealis-4b-instruct-preview'>NbAiLab/borealis-4b-instruct-preview (val)</a>,📝,2.26,3880263168.0,262144.0,8192.0,✓,✗,(✓),✗,2.37,2.06,2.36
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,2.26,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,2.27,2.38,2.15
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E'>meta-llama/Llama-4-Scout-17B-16E</a>,📝,2.27,108641793536.0,200000.0,?,✓,✗,(✓),✓,2.22,2.38,2.20
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.27,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,2.03,2.52,2.26
<a href='https://hf.co/Qwen/Qwen3.5-4B-Base'>Qwen/Qwen3.5-4B-Base (val)</a>,🧠,2.28,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,2.41,2.30,2.13
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,2.28,3191396096.0,100352.0,131072.0,✓,✗,(✓),✗,2.32,2.43,2.09
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (zero-shot, val)</a>",🤔,2.28,?,?,400000.0,✓,✗,✗,✓,2.19,2.40,2.24
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.29,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,2.40,2.38,2.11
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think</a>,🤔,2.29,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,2.18,2.50,2.18
<a href='https://hf.co/KennethEnevoldsen/dfm-sentence-encoder-medium'>KennethEnevoldsen/dfm-sentence-encoder-medium</a>,🔍,2.31,124448259.0,50005.0,514.0,✓,✗,(✓),✗,1.83,2.43,2.66
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,2.31,40433885184.0,256000.0,32768.0,✓,✗,(✓),✓,2.37,2.64,1.93
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,2.31,21948655808.0,103424.0,131072.0,✓,✗,(✓),✗,2.34,2.49,2.11
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.33,32233522176.0,100278.0,65536.0,✓,✗,(✓),✓,2.48,2.54,1.99
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct</a>,📝,2.33,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,2.28,2.56,2.16
<a href='https://hf.co/jhu-clsp/mmBERT-small'>jhu-clsp/mmBERT-small</a>,🔍,2.35,140642691.0,256000.0,8192.0,✓,✗,(✓),✓,2.58,2.28,2.20
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,2.35,7298011136.0,100278.0,65536.0,✓,✗,(✓),✓,2.38,2.52,2.14
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (val)</a>,📝,2.36,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,2.35,2.52,2.22
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct</a>,📝,2.36,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,2.29,2.53,2.28
