<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.57,?,?,?,✓,✗,✗,✓,42.32 ± 1.37 / 62.15 ± 1.04,67.56 ± 1.81 / 58.40 ± 1.11,49.49 ± 1.25 / 73.76 ± 0.53,64.09 ± 0.31 / 38.11 ± 0.55,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.60,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,50.29 ± 1.67 / 66.31 ± 1.17,78.27 ± 2.61 / 70.24 ± 2.10,32.27 ± 1.66 / 65.92 ± 0.82,66.57 ± 0.55 / 38.66 ± 0.68,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.62,?,256128.0,1048576.0,✓,✗,✗,✓,53.10 ± 3.28 / 68.36 ± 2.23,49.39 ± 2.77 / 34.48 ± 2.19,55.05 ± 3.11 / 76.76 ± 1.76,60.10 ± 0.99 / 32.20 ± 1.44,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.64,?,256128.0,1048576.0,✓,✗,✗,✓,48.46 ± 3.02 / 63.62 ± 2.26,56.95 ± 3.40 / 45.00 ± 2.36,49.04 ± 3.88 / 74.28 ± 1.93,60.54 ± 1.41 / 32.53 ± 1.66,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.67,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,52.23 ± 1.25 / 67.86 ± 1.11,61.45 ± 1.80 / 39.20 ± 2.32,44.64 ± 1.94 / 71.05 ± 1.40,63.91 ± 1.34 / 41.55 ± 1.48,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.68,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,53.84 ± 0.83 / 66.98 ± 0.53,77.15 ± 1.13 / 61.76 ± 2.70,28.79 ± 1.89 / 56.26 ± 1.54,62.04 ± 1.14 / 38.91 ± 1.39,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.69,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,50.60 ± 1.66 / 65.52 ± 1.37,69.32 ± 1.61 / 51.84 ± 3.23,33.55 ± 1.44 / 63.42 ± 1.49,68.70 ± 1.14 / 46.59 ± 1.53,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.72,?,256128.0,1048576.0,✓,✗,✗,✓,45.96 ± 2.78 / 61.35 ± 1.81,62.24 ± 4.02 / 39.45 ± 2.83,47.78 ± 3.46 / 73.70 ± 1.73,60.10 ± 0.99 / 32.20 ± 1.44,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.74,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,50.73 ± 1.38 / 66.00 ± 0.95,49.89 ± 1.66 / 36.38 ± 2.21,43.82 ± 0.83 / 71.69 ± 0.40,69.85 ± 1.71 / 50.40 ± 2.04,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.76,?,100256.0,272000.0,✓,✗,✗,✓,53.12 ± 3.04 / 67.73 ± 2.01,57.49 ± 4.04 / 40.21 ± 2.67,41.23 ± 3.08 / 68.79 ± 1.77,61.03 ± 1.53 / 35.37 ± 1.13,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.77,?,?,?,✓,✗,✗,✓,41.69 ± 3.19 / 61.08 ± 2.23,71.39 ± 4.39 / 62.30 ± 3.10,34.88 ± 3.23 / 58.34 ± 2.36,64.67 ± 0.84 / 36.40 ± 1.36,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B</a>,🤔,1.77,30532122624.0,151936.0,40960.0,✓,✗,✗,✓,53.11 ± 1.40 / 69.39 ± 0.93,64.85 ± 2.18 / 49.99 ± 2.65,31.97 ± 2.09 / 64.97 ± 1.12,62.24 ± 1.49 / 39.38 ± 1.58,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.79,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,50.26 ± 1.71 / 67.40 ± 1.05,58.92 ± 1.45 / 38.67 ± 2.52,38.09 ± 1.17 / 68.70 ± 0.69,68.04 ± 1.74 / 42.27 ± 2.23,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.79,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,51.96 ± 1.53 / 68.51 ± 1.00,66.65 ± 0.94 / 57.68 ± 1.51,25.08 ± 1.61 / 60.50 ± 2.65,72.11 ± 2.61 / 53.74 ± 3.49,16.5.0.dev0,16.0.0.dev0,16.5.0.dev0,16.0.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.79,24011361280.0,131072.0,?,✓,✗,(✓),✓,51.25 ± 2.43 / 66.91 ± 1.79,61.71 ± 2.22 / 45.90 ± 1.87,30.29 ± 1.59 / 62.86 ± 1.43,72.50 ± 2.64 / 52.22 ± 3.67,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.80,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,52.86 ± 1.72 / 68.55 ± 1.19,59.80 ± 2.09 / 47.20 ± 1.82,29.64 ± 1.85 / 62.74 ± 1.83,69.20 ± 2.42 / 46.00 ± 2.94,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.81,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,51.58 ± 1.59 / 67.89 ± 0.98,62.80 ± 1.86 / 44.03 ± 2.07,30.16 ± 1.16 / 64.01 ± 0.79,67.65 ± 1.23 / 44.35 ± 1.62,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.82,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,48.11 ± 2.76 / 63.91 ± 2.63,64.05 ± 1.87 / 51.28 ± 2.11,29.20 ± 1.97 / 64.07 ± 1.26,68.76 ± 2.65 / 49.98 ± 3.42,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.83,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,50.68 ± 1.90 / 66.96 ± 1.35,57.00 ± 1.76 / 41.25 ± 1.89,29.41 ± 2.38 / 63.36 ± 1.50,71.87 ± 2.04 / 52.45 ± 2.61,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,1.86,81324862720.0,151936.0,262144.0,✓,✗,✗,✓,49.47 ± 1.18 / 65.42 ± 1.05,55.54 ± 1.64 / 36.84 ± 2.31,36.70 ± 1.79 / 67.92 ± 1.03,64.59 ± 0.94 / 41.92 ± 1.20,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.87,?,?,131072.0,✓,✗,✗,✓,41.86 ± 1.30 / 55.83 ± 1.02,57.57 ± 1.50 / 49.78 ± 1.12,39.24 ± 1.96 / 68.20 ± 1.07,65.00 ± 0.48 / 41.72 ± 0.68,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.87,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,50.87 ± 1.28 / 67.57 ± 0.81,61.65 ± 1.84 / 42.55 ± 2.45,29.49 ± 1.60 / 63.19 ± 1.30,65.62 ± 1.24 / 42.94 ± 1.50,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.87,?,100256.0,272000.0,✓,✗,✗,✓,49.03 ± 2.58 / 64.71 ± 1.52,61.44 ± 3.63 / 48.02 ± 3.21,31.25 ± 4.36 / 64.46 ± 2.32,63.14 ± 1.58 / 38.19 ± 1.31,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.89,27432406640.0,262144.0,?,✓,✗,(✓),✓,51.39 ± 1.16 / 68.30 ± 0.73,51.06 ± 2.50 / 43.07 ± 2.40,40.08 ± 1.70 / 69.72 ± 0.90,61.34 ± 1.52 / 36.85 ± 1.83,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.89,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,48.82 ± 1.87 / 65.60 ± 1.12,69.43 ± 2.80 / 61.35 ± 2.40,23.56 ± 1.83 / 60.92 ± 1.07,62.45 ± 0.64 / 36.49 ± 0.59,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.90,?,256128.0,1048576.0,✓,✗,✗,✓,47.64 ± 2.74 / 62.41 ± 1.95,55.70 ± 3.23 / 38.22 ± 2.40,36.12 ± 4.46 / 67.85 ± 2.24,64.00 ± 1.33 / 41.91 ± 1.23,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",📝,1.90,?,?,200000.0,✓,✗,✗,✓,47.79 ± 2.84 / 65.11 ± 1.84,40.56 ± 2.77 / 32.00 ± 2.47,50.94 ± 3.93 / 75.40 ± 1.95,62.73 ± 0.91 / 38.97 ± 1.42,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.91,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,45.54 ± 3.77 / 63.68 ± 2.69,59.46 ± 3.42 / 41.00 ± 3.22,31.96 ± 2.38 / 64.91 ± 0.84,65.86 ± 1.73 / 41.06 ± 1.89,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.91,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,46.59 ± 1.40 / 64.91 ± 0.86,57.99 ± 2.32 / 44.43 ± 2.04,37.94 ± 1.91 / 67.49 ± 0.97,59.95 ± 0.66 / 39.59 ± 0.63,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.93,12187325040.0,262144.0,?,✓,✗,(✓),✓,49.04 ± 1.45 / 66.65 ± 0.92,55.84 ± 2.28 / 34.19 ± 2.12,35.56 ± 1.68 / 67.29 ± 1.01,61.55 ± 1.52 / 39.04 ± 1.52,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.94,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,50.31 ± 1.48 / 66.39 ± 1.00,60.97 ± 1.96 / 41.47 ± 1.63,29.50 ± 1.84 / 62.17 ± 2.12,61.67 ± 1.11 / 37.02 ± 1.32,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B#no-thinking</a>,📝,1.94,30532122624.0,151936.0,40960.0,✓,✗,✗,✓,49.75 ± 1.27 / 66.73 ± 0.96,53.73 ± 1.89 / 35.40 ± 2.39,33.94 ± 1.42 / 66.55 ± 0.68,62.82 ± 1.53 / 40.96 ± 1.65,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,1.97,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,48.02 ± 1.58 / 64.21 ± 1.25,56.69 ± 1.58 / 38.91 ± 1.65,28.88 ± 0.97 / 63.57 ± 0.69,67.49 ± 1.21 / 46.04 ± 1.39,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.98,?,?,400000.0,✓,✗,✗,✓,45.55 ± 1.55 / 63.22 ± 1.10,44.15 ± 1.16 / 26.18 ± 0.80,41.95 ± 1.67 / 70.72 ± 0.86,63.81 ± 0.52 / 37.48 ± 0.82,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.99,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,46.69 ± 1.50 / 64.32 ± 0.95,47.65 ± 1.61 / 30.31 ± 1.88,33.50 ± 1.54 / 62.93 ± 1.51,72.18 ± 1.38 / 52.05 ± 1.49,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B</a>,🤔,1.99,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,45.98 ± 1.35 / 64.33 ± 0.87,53.13 ± 2.61 / 36.74 ± 2.89,33.15 ± 2.97 / 63.70 ± 3.47,67.91 ± 1.47 / 46.14 ± 1.42,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.99,?,?,1047576.0,✓,✗,✗,✓,44.90 ± 1.69 / 63.41 ± 1.22,42.67 ± 1.93 / 23.54 ± 1.39,46.08 ± 3.96 / 70.53 ± 2.18,59.21 ± 1.22 / 32.40 ± 1.62,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,2.00,?,?,400000.0,✓,✗,✗,✓,52.20 ± 1.19 / 66.74 ± 0.82,41.16 ± 1.22 / 27.11 ± 0.92,41.91 ± 2.18 / 70.07 ± 1.11,56.32 ± 0.54 / 30.14 ± 0.51,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/zai-org/GLM-4.7-Flash'>zai-org/GLM-4.7-Flash (val)</a>,🤔,2.00,31221485568.0,154880.0,202752.0,✓,✗,✗,✓,44.41 ± 1.68 / 61.51 ± 1.24,63.50 ± 2.28 / 49.24 ± 1.88,27.41 ± 2.73 / 61.86 ± 1.41,59.02 ± 0.79 / 36.39 ± 0.92,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,2.01,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,48.79 ± 1.22 / 64.14 ± 1.01,73.20 ± 1.46 / 58.31 ± 2.61,16.69 ± 1.78 / 48.57 ± 1.84,58.00 ± 2.37 / 34.03 ± 2.69,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.01,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,50.12 ± 1.51 / 67.10 ± 0.95,46.83 ± 1.84 / 30.20 ± 1.49,34.15 ± 1.88 / 66.43 ± 1.23,64.14 ± 1.30 / 41.96 ± 1.42,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,2.01,?,?,400000.0,✓,✗,✗,✓,51.16 ± 1.55 / 66.25 ± 1.02,40.19 ± 1.53 / 27.62 ± 1.15,42.54 ± 1.92 / 70.33 ± 0.97,58.45 ± 0.62 / 32.66 ± 0.60,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,2.02,?,?,400000.0,✓,✗,✗,✓,48.29 ± 1.06 / 65.47 ± 0.78,36.07 ± 1.29 / 22.72 ± 0.72,48.22 ± 1.47 / 73.46 ± 0.83,60.18 ± 0.41 / 32.32 ± 0.70,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,2.05,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,40.77 ± 1.98 / 57.11 ± 1.98,54.81 ± 2.65 / 37.47 ± 1.82,29.75 ± 2.32 / 62.77 ± 1.19,70.52 ± 1.62 / 50.59 ± 1.82,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.07,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,51.88 ± 1.43 / 67.81 ± 0.99,61.60 ± 2.21 / 50.81 ± 2.52,22.65 ± 1.73 / 58.54 ± 1.05,55.96 ± 1.12 / 30.35 ± 1.40,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#thinking</a>,🤔,2.08,110468824832.0,151552.0,131072.0,✓,✗,✗,✓,50.29 ± 1.33 / 67.20 ± 0.87,71.41 ± 2.46 / 62.00 ± 2.15,28.68 ± 1.37 / 63.73 ± 0.83,34.38 ± 1.49 / 0.00 ± 0.00,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,2.10,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,34.35 ± 3.80 / 43.31 ± 4.06,64.01 ± 1.73 / 54.69 ± 2.28,25.42 ± 3.07 / 59.53 ± 3.28,70.73 ± 2.92 / 51.27 ± 3.82,16.5.0.dev0,16.1.1.dev0,16.5.0.dev0,16.1.1.dev0
