<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,2.13,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,93.19 ± 1.16 / 96.51 ± 0.61,42.78 ± 0.73 / 32.00 ± 0.62,47.56 ± 1.20 / 72.95 ± 0.72,66.46 ± 0.84 / 42.60 ± 1.01,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,2.13,?,?,400000.0,✓,✗,✗,✓,92.36 ± 0.78 / 96.12 ± 0.40,39.25 ± 0.95 / 27.60 ± 0.65,55.81 ± 1.23 / 76.37 ± 0.73,62.08 ± 0.58 / 29.46 ± 0.58,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,2.14,?,?,400000.0,✓,✗,✗,✓,93.56 ± 0.73 / 96.75 ± 0.37,44.45 ± 0.70 / 32.40 ± 0.54,50.45 ± 1.57 / 71.58 ± 1.01,62.24 ± 0.71 / 32.13 ± 0.94,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,2.14,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,96.64 ± 0.62 / 98.31 ± 0.31,44.83 ± 0.75 / 41.18 ± 0.67,45.23 ± 1.68 / 69.15 ± 1.38,65.77 ± 0.80 / 34.28 ± 0.93,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,2.15,70599864480.0,131072.0,65536.0,✓,✗,(✓),✗,96.68 ± 0.52 / 98.33 ± 0.27,38.33 ± 1.15 / 36.43 ± 1.10,43.73 ± 3.49 / 70.63 ± 2.60,74.93 ± 1.23 / 56.16 ± 1.81,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,2.15,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,97.15 ± 0.40 / 98.57 ± 0.20,48.70 ± 1.67 / 40.45 ± 1.45,47.33 ± 2.39 / 73.43 ± 1.33,47.33 ± 10.75 / 27.45 ± 9.84,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,2.15,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,96.64 ± 0.97 / 98.29 ± 0.51,40.08 ± 2.04 / 38.21 ± 2.08,44.39 ± 2.45 / 71.24 ± 1.36,73.80 ± 1.82 / 56.24 ± 1.52,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,2.17,?,100256.0,272000.0,✓,✗,✗,✓,95.71 ± 0.96 / 97.84 ± 0.48,43.48 ± 1.36 / 33.76 ± 1.44,41.99 ± 5.26 / 66.05 ± 2.61,64.30 ± 1.15 / 35.09 ± 2.06,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,2.20,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,93.37 ± 0.74 / 96.62 ± 0.38,42.97 ± 0.81 / 33.19 ± 0.69,41.95 ± 2.42 / 69.28 ± 1.20,65.52 ± 0.91 / 42.59 ± 1.14,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🧠,2.22,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,62.35 ± 4.12 / 76.28 ± 3.21,45.69 ± 0.91 / 45.79 ± 0.81,47.05 ± 1.91 / 73.16 ± 0.94,74.57 ± 0.80 / 53.95 ± 1.06,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/zai-org/GLM-4.7-Flash'>zai-org/GLM-4.7-Flash (val)</a>,🤔,2.22,31221485568.0,154880.0,202752.0,✓,✗,✗,✓,94.25 ± 0.96 / 97.10 ± 0.48,43.12 ± 0.83 / 34.58 ± 0.67,42.02 ± 1.81 / 69.24 ± 1.02,62.41 ± 0.45 / 37.19 ± 0.63,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,2.23,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,94.16 ± 0.63 / 97.06 ± 0.32,42.98 ± 1.13 / 43.17 ± 1.05,38.21 ± 1.31 / 67.98 ± 0.69,70.85 ± 1.38 / 50.59 ± 1.41,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,2.23,?,100256.0,272000.0,✓,✗,✗,✓,98.51 ± 0.81 / 99.25 ± 0.40,40.25 ± 1.19 / 28.58 ± 0.94,45.66 ± 3.96 / 67.26 ± 2.05,63.10 ± 1.51 / 35.76 ± 1.57,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,2.24,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,96.50 ± 0.63 / 98.24 ± 0.32,43.06 ± 0.89 / 38.69 ± 0.42,31.03 ± 2.48 / 62.31 ± 1.58,76.93 ± 0.73 / 55.50 ± 1.09,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.26,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,95.97 ± 0.50 / 97.98 ± 0.25,44.09 ± 0.78 / 35.33 ± 1.19,36.07 ± 1.72 / 66.63 ± 0.96,67.73 ± 1.29 / 41.64 ± 2.03,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,2.26,278810882.0,251000.0,512.0,✓,✗,(✓),✓,72.09 ± 17.01 / 84.74 ± 10.75,71.57 ± 0.98 / 71.78 ± 1.03,52.70 ± 6.70 / 73.74 ± 5.14,9.39 ± 1.54 / 6.65 ± 1.00,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,2.26,?,?,200000.0,✓,✗,✗,✓,95.70 ± 1.32 / 97.85 ± 0.66,38.03 ± 1.59 / 31.09 ± 1.19,43.22 ± 2.58 / 68.68 ± 1.38,66.36 ± 0.89 / 34.94 ± 1.75,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,2.27,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,94.02 ± 0.47 / 96.98 ± 0.24,45.92 ± 0.64 / 41.60 ± 0.53,31.78 ± 1.46 / 59.84 ± 1.30,68.32 ± 0.79 / 48.86 ± 1.09,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,2.28,?,?,1047576.0,✓,✗,✗,✓,95.94 ± 0.85 / 97.92 ± 0.44,39.25 ± 1.00 / 28.89 ± 0.66,44.63 ± 3.17 / 71.97 ± 1.56,64.38 ± 1.20 / 34.21 ± 1.69,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,2.29,470927360.0,501153.0,512.0,✓,✗,(✓),✗,79.94 ± 1.43 / 89.82 ± 0.77,77.37 ± 0.92 / 77.24 ± 0.94,27.02 ± 12.05 / 62.22 ± 6.13,23.35 ± 1.52 / 16.66 ± 1.49,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.29,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,93.60 ± 0.57 / 96.78 ± 0.29,45.55 ± 0.71 / 37.24 ± 0.94,35.01 ± 1.12 / 61.41 ± 0.68,62.01 ± 1.12 / 34.86 ± 1.34,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
