<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=15 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.55,?,?,?,✓,✗,✗,✓,79.33 ± 3.36 / 89.61 ± 1.71,71.99 ± 1.53 / 57.02 ± 1.21,56.23 ± 1.84 / 77.15 ± 1.10,66.07 ± 0.88 / 31.66 ± 1.31,31.73 ± 0.23 / 34.26 ± 0.30,77.49 ± 2.01 / 83.09 ± 1.50,52.39 ± 3.20 / 75.16 ± 1.49,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.56,?,256128.0,1048576.0,✓,✗,✗,✓,77.72 ± 1.71 / 88.76 ± 0.88,78.88 ± 0.57 / 59.83 ± 0.65,50.91 ± 1.70 / 74.56 ± 0.92,60.75 ± 0.50 / 28.95 ± 0.56,32.85 ± 0.14 / 35.32 ± 0.18,79.00 ± 0.93 / 84.22 ± 0.69,54.05 ± 2.47 / 78.20 ± 1.20,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.58,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,70.69 ± 2.30 / 85.29 ± 1.16,73.87 ± 1.29 / 53.89 ± 1.61,55.39 ± 1.70 / 77.15 ± 0.84,65.53 ± 0.59 / 44.24 ± 0.80,33.33 ± 0.15 / 35.08 ± 0.21,80.36 ± 1.32 / 85.27 ± 0.98,50.21 ± 3.22 / 76.80 ± 1.45,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.59,?,?,400000.0,✓,✗,✗,✓,76.78 ± 1.83 / 88.29 ± 0.94,76.94 ± 0.87 / 56.64 ± 0.65,54.56 ± 1.05 / 75.88 ± 0.66,63.27 ± 0.54 / 34.76 ± 0.41,31.87 ± 0.18 / 33.55 ± 0.21,82.96 ± 0.72 / 87.23 ± 0.55,45.21 ± 2.31 / 73.98 ± 1.16,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.61,?,100256.0,272000.0,✓,✗,✗,✓,75.00 ± 3.17 / 87.39 ± 1.59,56.54 ± 1.59 / 41.95 ± 1.38,48.70 ± 3.47 / 71.46 ± 1.97,61.39 ± 0.88 / 36.02 ± 1.33,31.77 ± 0.22 / 34.29 ± 0.28,87.01 ± 1.41 / 90.27 ± 1.03,69.09 ± 2.19 / 85.00 ± 1.35,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.15.0.dev0,16.4.0.dev0,16.4.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.62,?,?,400000.0,✓,✗,✗,✓,74.60 ± 1.77 / 87.25 ± 0.90,79.92 ± 0.86 / 61.84 ± 0.69,50.72 ± 1.60 / 74.03 ± 0.95,63.38 ± 0.49 / 34.03 ± 0.60,31.73 ± 0.17 / 33.36 ± 0.20,88.26 ± 0.80 / 91.21 ± 0.60,37.44 ± 3.00 / 70.47 ± 1.45,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.65,?,?,1047576.0,✓,✗,✗,✓,80.50 ± 3.00 / 90.19 ± 1.55,55.46 ± 1.55 / 37.67 ± 1.23,57.62 ± 2.04 / 78.68 ± 1.02,60.56 ± 1.27 / 27.91 ± 0.97,32.49 ± 0.36 / 33.59 ± 0.41,71.57 ± 2.31 / 78.67 ± 1.71,62.95 ± 4.44 / 81.88 ± 2.27,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.15.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.69,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,81.08 ± 2.15 / 89.66 ± 1.30,70.21 ± 0.41 / 54.74 ± 2.82,54.48 ± 3.43 / 75.14 ± 1.85,74.20 ± 2.41 / 52.94 ± 2.06,31.25 ± 1.46 / 31.16 ± 1.56,61.06 ± 1.27 / 70.72 ± 0.99,43.27 ± 1.87 / 71.58 ± 0.89,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.74,?,256128.0,1048576.0,✓,✗,✗,✓,72.19 ± 2.91 / 86.00 ± 1.50,67.14 ± 1.00 / 47.43 ± 1.21,45.28 ± 2.27 / 71.67 ± 1.24,63.86 ± 1.14 / 37.41 ± 1.20,32.59 ± 0.28 / 35.46 ± 0.34,80.95 ± 1.67 / 85.70 ± 1.27,46.31 ± 4.33 / 74.53 ± 1.91,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.15.0.dev0,16.4.0.dev0,16.4.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.78,?,100256.0,272000.0,✓,✗,✗,✓,72.33 ± 3.76 / 86.10 ± 1.89,80.71 ± 2.03 / 55.52 ± 1.41,35.79 ± 2.61 / 64.74 ± 1.71,63.94 ± 1.72 / 35.68 ± 1.45,31.33 ± 0.16 / 34.64 ± 0.22,83.76 ± 1.75 / 87.81 ± 1.27,36.40 ± 4.33 / 68.52 ± 1.99,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.15.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.79,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,82.43 ± 1.81 / 90.80 ± 1.00,69.10 ± 0.82 / 56.57 ± 2.78,54.30 ± 3.90 / 75.99 ± 1.87,65.18 ± 1.46 / 40.38 ± 1.87,30.13 ± 0.18 / 30.92 ± 0.19,58.51 ± 1.16 / 68.71 ± 0.85,44.60 ± 2.03 / 72.29 ± 1.00,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.81,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,78.92 ± 1.96 / 89.41 ± 0.98,75.82 ± 0.84 / 63.65 ± 1.93,53.11 ± 1.56 / 76.00 ± 0.85,64.18 ± 0.60 / 31.87 ± 1.06,30.24 ± 0.23 / 31.25 ± 0.25,60.39 ± 1.45 / 70.27 ± 1.09,31.24 ± 2.97 / 66.56 ± 1.40,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.81,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,74.86 ± 2.09 / 85.87 ± 1.34,72.57 ± 0.64 / 57.28 ± 3.76,44.85 ± 3.65 / 71.70 ± 2.21,72.45 ± 2.04 / 50.43 ± 2.11,31.41 ± 0.16 / 32.27 ± 0.18,55.24 ± 0.87 / 66.15 ± 0.68,44.40 ± 1.73 / 72.19 ± 0.86,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,1.82,?,?,400000.0,✓,✗,✗,✓,71.40 ± 1.47 / 85.67 ± 0.73,57.87 ± 0.98 / 39.62 ± 0.63,43.71 ± 1.35 / 68.38 ± 0.64,58.36 ± 0.64 / 24.48 ± 0.48,31.13 ± 0.11 / 33.90 ± 0.13,83.47 ± 0.68 / 87.54 ± 0.51,48.27 ± 2.42 / 73.52 ± 1.22,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.83,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,83.74 ± 1.62 / 91.34 ± 0.92,74.21 ± 0.66 / 57.36 ± 2.50,46.55 ± 4.78 / 69.15 ± 2.62,26.21 ± 3.43 / 7.19 ± 1.42,32.54 ± 0.32 / 33.12 ± 0.34,64.33 ± 0.98 / 73.08 ± 0.73,52.85 ± 2.21 / 76.34 ± 1.11,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.17.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.85,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,75.38 ± 1.86 / 86.11 ± 1.18,72.89 ± 0.88 / 58.27 ± 2.92,40.33 ± 3.77 / 69.72 ± 1.84,69.77 ± 2.04 / 49.04 ± 2.00,29.99 ± 0.42 / 30.58 ± 0.48,56.32 ± 1.29 / 67.11 ± 0.96,47.16 ± 1.79 / 73.50 ± 0.92,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.85,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,76.35 ± 2.10 / 86.86 ± 1.29,71.21 ± 1.02 / 56.49 ± 4.02,42.21 ± 3.21 / 69.56 ± 2.68,68.73 ± 1.87 / 43.15 ± 2.16,31.37 ± 0.14 / 32.24 ± 0.15,54.45 ± 0.99 / 65.61 ± 0.82,45.14 ± 2.36 / 72.52 ± 1.21,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.85,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,83.42 ± 1.58 / 91.35 ± 0.88,70.09 ± 1.23 / 55.36 ± 3.10,23.73 ± 4.89 / 52.15 ± 4.30,73.27 ± 2.54 / 50.71 ± 2.37,35.20 ± 0.99 / 36.01 ± 1.05,57.14 ± 0.72 / 67.50 ± 0.63,43.02 ± 2.26 / 71.47 ± 1.10,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,1.87,?,?,400000.0,✓,✗,✗,✓,72.76 ± 1.50 / 86.34 ± 0.75,62.58 ± 0.52 / 41.55 ± 0.62,41.13 ± 1.12 / 67.24 ± 0.65,57.96 ± 0.55 / 26.42 ± 0.70,31.27 ± 0.13 / 34.08 ± 0.15,84.83 ± 0.79 / 88.63 ± 0.57,41.61 ± 2.37 / 69.53 ± 1.23,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.89,?,?,200000.0,✓,✗,✗,✓,76.86 ± 2.53 / 88.15 ± 1.35,68.04 ± 1.85 / 44.17 ± 1.30,30.54 ± 3.26 / 56.29 ± 2.05,62.97 ± 0.93 / 29.62 ± 0.99,26.19 ± 0.39 / 26.38 ± 0.41,65.08 ± 1.58 / 72.46 ± 1.26,66.68 ± 2.96 / 80.94 ± 1.99,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.15.0.dev0,16.4.0.dev0,16.4.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,1.91,?,?,400000.0,✓,✗,✗,✓,71.98 ± 1.57 / 85.95 ± 0.78,57.48 ± 0.68 / 35.83 ± 0.54,40.56 ± 1.59 / 67.34 ± 0.78,60.68 ± 0.62 / 26.76 ± 0.60,31.43 ± 0.10 / 34.24 ± 0.13,79.34 ± 1.04 / 84.53 ± 0.76,38.46 ± 2.99 / 68.59 ± 1.40,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.91,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,82.79 ± 1.70 / 90.78 ± 0.97,72.66 ± 1.27 / 59.19 ± 2.51,44.16 ± 4.45 / 62.88 ± 3.91,17.99 ± 1.39 / 0.24 ± 0.13,30.68 ± 0.32 / 31.38 ± 0.39,72.61 ± 0.64 / 79.33 ± 0.48,54.37 ± 2.42 / 77.20 ± 1.21,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🧠,1.91,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,71.16 ± 4.93 / 84.95 ± 2.80,72.15 ± 0.79 / 57.31 ± 1.99,55.04 ± 1.53 / 76.53 ± 0.96,75.64 ± 0.76 / 51.81 ± 0.85,29.89 ± 0.79 / 30.20 ± 0.88,54.25 ± 1.24 / 65.20 ± 0.94,20.78 ± 2.82 / 48.52 ± 1.48,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.93,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,80.58 ± 2.27 / 89.80 ± 1.32,70.15 ± 0.57 / 53.27 ± 2.51,47.93 ± 4.13 / 72.94 ± 2.09,64.08 ± 1.69 / 39.20 ± 2.08,29.98 ± 0.12 / 30.72 ± 0.14,48.61 ± 1.00 / 61.17 ± 0.77,33.82 ± 2.03 / 66.90 ± 1.02,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,1.93,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,68.32 ± 6.50 / 83.09 ± 3.98,68.52 ± 1.09 / 53.67 ± 1.96,38.62 ± 2.69 / 63.96 ± 2.29,76.33 ± 1.37 / 55.87 ± 1.78,34.32 ± 0.43 / 35.38 ± 0.44,54.06 ± 1.32 / 65.35 ± 1.01,28.22 ± 1.64 / 62.50 ± 0.84,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/zai-org/GLM-4.7-Flash'>zai-org/GLM-4.7-Flash (val)</a>,🤔,1.93,31221485568.0,154880.0,202752.0,✓,✗,✗,✓,73.44 ± 1.90 / 86.68 ± 0.95,68.60 ± 0.98 / 50.26 ± 1.34,36.85 ± 2.28 / 66.66 ± 1.06,59.49 ± 0.65 / 33.37 ± 0.86,30.22 ± 0.26 / 31.65 ± 0.33,69.86 ± 0.79 / 77.27 ± 0.59,43.55 ± 2.53 / 73.12 ± 1.37,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.93,?,?,400000.0,✓,✗,✗,✓,78.01 ± 1.47 / 88.94 ± 0.75,70.43 ± 0.58 / 50.81 ± 0.39,45.41 ± 1.03 / 72.39 ± 0.56,66.59 ± 0.39 / 38.07 ± 0.62,31.73 ± 0.14 / 33.29 ± 0.17,67.37 ± 0.91 / 75.55 ± 0.66,18.83 ± 3.43 / 60.70 ± 1.67,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.95,?,?,200000.0,✓,✗,✗,✓,72.70 ± 4.05 / 86.28 ± 2.02,67.16 ± 1.10 / 45.37 ± 1.16,37.02 ± 2.90 / 64.29 ± 1.46,62.12 ± 1.63 / 25.72 ± 0.85,32.52 ± 0.42 / 34.23 ± 0.47,66.95 ± 1.97 / 75.08 ± 1.41,36.83 ± 5.93 / 68.20 ± 2.92,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.15.0.dev0,16.4.0.dev0,16.4.0.dev0
