<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=15 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.74,?,?,?,✓,✗,✗,✓,51.97 ± 1.14 / 65.96 ± 1.08,68.71 ± 1.34 / 64.55 ± 1.11,63.91 ± 0.99 / 80.83 ± 0.56,61.04 ± 0.97 / 36.72 ± 1.39,31.99 ± 0.15 / 36.22 ± 0.15,75.24 ± 0.79 / 81.48 ± 0.59,52.99 ± 2.67 / 75.62 ± 1.34,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.74,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,51.21 ± 1.70 / 66.53 ± 1.46,61.90 ± 1.03 / 60.18 ± 1.49,57.63 ± 0.91 / 78.71 ± 0.45,63.48 ± 0.69 / 44.86 ± 0.99,32.97 ± 0.19 / 36.28 ± 0.16,70.77 ± 1.36 / 77.70 ± 1.05,61.61 ± 2.42 / 82.50 ± 1.18,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.75,?,?,1047576.0,✓,✗,✗,✓,47.97 ± 2.34 / 62.33 ± 1.81,51.30 ± 2.28 / 41.74 ± 1.95,70.50 ± 2.54 / 84.13 ± 1.43,62.61 ± 1.20 / 36.25 ± 1.79,34.80 ± 0.30 / 38.38 ± 0.30,71.99 ± 2.15 / 78.98 ± 1.58,63.03 ± 5.39 / 82.19 ± 2.53,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.77,?,?,131072.0,✓,✗,✗,✓,50.34 ± 0.90 / 62.65 ± 1.14,59.51 ± 1.22 / 58.52 ± 1.13,53.24 ± 1.74 / 75.09 ± 0.89,64.97 ± 0.53 / 46.07 ± 1.11,32.41 ± 0.19 / 36.02 ± 0.19,80.76 ± 0.94 / 85.62 ± 0.69,62.88 ± 1.57 / 81.56 ± 0.75,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.79,?,?,?,✓,✗,✗,✓,46.12 ± 2.95 / 61.65 ± 2.31,61.77 ± 2.27 / 48.17 ± 1.56,65.68 ± 2.37 / 81.64 ± 1.51,65.15 ± 1.19 / 39.07 ± 2.10,32.71 ± 0.28 / 37.05 ± 0.26,75.74 ± 2.14 / 81.84 ± 1.59,47.48 ± 2.36 / 74.30 ± 1.01,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.80,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,65.07 ± 1.36 / 74.11 ± 1.58,70.67 ± 0.95 / 67.19 ± 1.24,52.08 ± 2.57 / 75.54 ± 1.63,65.99 ± 2.06 / 45.07 ± 2.10,33.49 ± 0.14 / 36.11 ± 0.22,58.18 ± 0.63 / 68.63 ± 0.47,42.87 ± 2.93 / 71.43 ± 1.48,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.81,?,100256.0,272000.0,✓,✗,✗,✓,43.01 ± 1.89 / 57.89 ± 1.77,52.30 ± 2.03 / 34.67 ± 1.42,60.51 ± 2.09 / 78.92 ± 1.44,62.69 ± 1.04 / 40.20 ± 1.94,32.25 ± 0.29 / 36.34 ± 0.30,77.80 ± 1.42 / 83.24 ± 1.09,66.45 ± 5.34 / 83.75 ± 2.54,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.82,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,67.81 ± 1.07 / 76.55 ± 1.18,76.43 ± 1.28 / 70.92 ± 1.51,55.67 ± 2.16 / 75.81 ± 1.10,21.22 ± 0.56 / 0.52 ± 0.43,33.74 ± 0.25 / 36.05 ± 0.39,71.80 ± 0.70 / 78.83 ± 0.53,56.07 ± 2.42 / 77.90 ± 1.25,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.85,?,256128.0,1048576.0,✓,✗,✗,✓,49.94 ± 2.64 / 65.53 ± 2.15,62.41 ± 1.56 / 44.44 ± 1.22,58.78 ± 1.85 / 79.20 ± 0.99,61.46 ± 0.90 / 37.17 ± 1.09,32.51 ± 0.31 / 37.09 ± 0.30,74.15 ± 2.31 / 80.59 ± 1.78,49.85 ± 5.70 / 76.48 ± 2.73,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.88,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,66.43 ± 1.48 / 74.84 ± 1.47,74.46 ± 1.87 / 73.59 ± 1.57,48.86 ± 6.13 / 72.62 ± 4.72,73.61 ± 2.50 / 57.94 ± 2.90,24.75 ± 1.27 / 25.19 ± 1.40,58.34 ± 0.80 / 68.56 ± 0.59,50.21 ± 2.30 / 75.06 ± 1.17,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.17.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.89,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,60.95 ± 1.78 / 66.41 ± 2.92,74.03 ± 1.60 / 72.96 ± 1.54,41.25 ± 1.18 / 69.32 ± 0.75,65.45 ± 1.75 / 43.79 ± 1.35,33.66 ± 0.32 / 36.32 ± 0.54,53.60 ± 0.86 / 65.13 ± 0.64,45.45 ± 1.24 / 72.59 ± 0.64,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.89,?,100256.0,272000.0,✓,✗,✗,✓,49.13 ± 2.45 / 66.63 ± 1.50,72.84 ± 2.73 / 71.08 ± 2.60,49.31 ± 2.65 / 74.55 ± 1.31,62.33 ± 1.36 / 38.62 ± 2.09,29.60 ± 0.30 / 34.51 ± 0.33,70.46 ± 2.04 / 77.70 ± 1.52,51.24 ± 7.70 / 76.88 ± 3.55,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.90,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,60.01 ± 1.36 / 65.32 ± 2.83,73.26 ± 1.43 / 71.09 ± 1.45,41.39 ± 1.55 / 69.04 ± 1.03,69.98 ± 2.14 / 50.79 ± 2.66,33.46 ± 0.47 / 36.15 ± 0.74,53.92 ± 1.02 / 65.30 ± 0.79,44.34 ± 1.65 / 72.14 ± 0.82,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.91,?,?,200000.0,✓,✗,✗,✓,41.12 ± 2.32 / 56.55 ± 1.82,70.63 ± 1.75 / 70.00 ± 1.81,39.82 ± 2.77 / 63.70 ± 1.72,65.69 ± 1.01 / 43.63 ± 1.92,33.37 ± 0.28 / 36.54 ± 0.30,62.93 ± 2.19 / 70.66 ± 1.70,62.39 ± 3.42 / 77.81 ± 2.33,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.91,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,58.05 ± 1.70 / 63.05 ± 2.55,75.31 ± 1.74 / 75.40 ± 1.56,38.96 ± 3.10 / 62.83 ± 3.15,65.60 ± 2.36 / 47.93 ± 2.45,32.51 ± 0.77 / 34.50 ± 1.04,55.70 ± 0.65 / 66.63 ± 0.50,48.37 ± 1.71 / 74.18 ± 0.85,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.93,?,?,400000.0,✓,✗,✗,✓,55.35 ± 1.42 / 68.12 ± 1.02,58.89 ± 1.50 / 42.95 ± 1.11,59.61 ± 1.34 / 75.32 ± 0.95,64.40 ± 0.76 / 41.21 ± 1.17,33.46 ± 0.18 / 36.86 ± 0.17,66.75 ± 1.03 / 74.96 ± 0.76,33.02 ± 2.21 / 66.95 ± 0.90,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.95,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,62.53 ± 1.25 / 69.23 ± 2.20,68.11 ± 1.22 / 66.19 ± 1.53,31.33 ± 3.31 / 55.73 ± 3.03,70.37 ± 1.42 / 50.97 ± 1.68,33.20 ± 0.21 / 35.85 ± 0.26,60.48 ± 0.58 / 70.23 ± 0.47,42.92 ± 1.93 / 71.35 ± 0.97,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.99,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,65.96 ± 0.81 / 73.52 ± 1.23,79.97 ± 1.45 / 74.18 ± 1.40,53.84 ± 1.93 / 74.14 ± 1.66,20.17 ± 2.00 / 2.96 ± 0.95,31.63 ± 0.56 / 33.08 ± 0.71,65.24 ± 1.30 / 73.85 ± 1.01,45.67 ± 9.90 / 71.94 ± 5.65,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.17.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.99,?,?,200000.0,✓,✗,✗,✓,51.34 ± 2.61 / 63.23 ± 1.61,58.71 ± 1.85 / 53.18 ± 1.84,47.44 ± 4.28 / 72.67 ± 2.17,63.29 ± 1.43 / 37.80 ± 1.83,32.40 ± 0.21 / 36.29 ± 0.22,66.05 ± 2.25 / 74.61 ± 1.65,43.07 ± 5.45 / 71.95 ± 3.17,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,2.00,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,62.40 ± 0.89 / 72.34 ± 0.75,69.32 ± 1.47 / 62.22 ± 2.25,38.90 ± 3.42 / 65.52 ± 2.84,69.66 ± 1.39 / 49.74 ± 1.51,33.33 ± 0.16 / 36.01 ± 0.18,50.63 ± 0.95 / 62.87 ± 0.70,31.60 ± 1.86 / 65.66 ± 0.91,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,2.01,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,51.12 ± 1.49 / 67.33 ± 1.43,72.33 ± 1.36 / 73.62 ± 1.35,40.85 ± 3.40 / 69.40 ± 1.77,63.65 ± 0.61 / 40.03 ± 1.12,32.65 ± 0.15 / 35.36 ± 0.15,60.99 ± 1.19 / 70.78 ± 0.86,36.09 ± 3.23 / 67.73 ± 1.51,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,2.01,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,54.75 ± 1.29 / 62.47 ± 1.19,79.07 ± 1.42 / 79.93 ± 1.01,26.64 ± 2.29 / 58.45 ± 1.04,57.66 ± 2.18 / 39.28 ± 2.41,31.62 ± 0.31 / 34.00 ± 0.56,65.36 ± 0.55 / 74.07 ± 0.42,47.68 ± 2.07 / 73.78 ± 1.03,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.16.1.dev0,16.14.0.dev0,16.14.0.dev0
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,2.02,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,62.89 ± 1.25 / 72.96 ± 1.54,67.37 ± 1.73 / 53.94 ± 2.51,45.38 ± 2.03 / 71.36 ± 1.02,65.35 ± 2.16 / 44.31 ± 2.10,33.26 ± 0.14 / 35.74 ± 0.27,49.15 ± 0.87 / 61.73 ± 0.67,32.56 ± 1.29 / 66.27 ± 0.65,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,2.02,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,55.31 ± 3.41 / 70.23 ± 2.50,64.17 ± 3.06 / 61.30 ± 3.56,24.54 ± 4.20 / 48.70 ± 3.66,68.97 ± 1.27 / 48.37 ± 1.64,33.50 ± 0.19 / 36.17 ± 0.19,62.36 ± 2.16 / 71.64 ± 1.55,43.37 ± 4.67 / 73.91 ± 2.19,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,2.03,?,?,400000.0,✓,✗,✗,✓,44.52 ± 1.11 / 61.44 ± 0.90,51.80 ± 0.97 / 40.60 ± 0.82,56.56 ± 0.93 / 78.12 ± 0.51,60.78 ± 0.61 / 38.79 ± 0.90,30.89 ± 0.15 / 35.47 ± 0.15,72.68 ± 0.94 / 79.49 ± 0.71,50.55 ± 2.60 / 75.70 ± 1.26,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,2.05,?,?,400000.0,✓,✗,✗,✓,45.70 ± 1.27 / 63.39 ± 0.78,51.28 ± 0.84 / 41.20 ± 0.92,60.01 ± 1.00 / 79.78 ± 0.56,60.94 ± 0.71 / 38.98 ± 1.10,30.90 ± 0.10 / 35.55 ± 0.09,72.27 ± 1.04 / 79.18 ± 0.79,45.15 ± 2.41 / 73.20 ± 1.10,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,2.05,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,62.25 ± 1.40 / 67.42 ± 2.94,70.18 ± 2.02 / 70.48 ± 1.71,44.34 ± 6.62 / 68.83 ± 5.52,69.94 ± 3.82 / 52.98 ± 4.18,24.50 ± 2.52 / 24.91 ± 2.82,59.10 ± 0.92 / 69.34 ± 0.70,41.93 ± 1.70 / 70.84 ± 0.82,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,2.08,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,61.27 ± 1.36 / 69.13 ± 1.43,72.31 ± 2.45 / 72.00 ± 2.59,38.87 ± 3.42 / 65.90 ± 3.59,68.23 ± 3.80 / 51.55 ± 4.49,26.26 ± 3.09 / 27.16 ± 3.54,55.38 ± 0.89 / 66.50 ± 0.68,42.21 ± 2.10 / 71.09 ± 1.05,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
