<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.65,?,256128.0,1048576.0,✓,✗,✗,✓,40.64 ± 2.57 / 59.47 ± 1.61,66.69 ± 0.77 / 66.69 ± 0.77,64.98 ± 2.01 / 82.38 ± 1.02,60.28 ± 1.35 / 34.73 ± 2.08,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.66,?,?,?,✓,✗,✗,✓,37.99 ± 2.66 / 58.46 ± 1.63,61.59 ± 0.81 / 61.59 ± 0.81,69.29 ± 2.30 / 84.54 ± 1.18,67.02 ± 1.23 / 36.71 ± 2.02,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.66,?,?,400000.0,✓,✗,✗,✓,40.39 ± 1.67 / 59.27 ± 0.97,66.38 ± 0.30 / 66.38 ± 0.30,61.55 ± 1.48 / 79.43 ± 0.75,66.25 ± 0.67 / 40.63 ± 1.11,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.68,?,256128.0,1048576.0,✓,✗,✗,✓,38.88 ± 3.73 / 59.09 ± 2.25,65.06 ± 0.72 / 65.06 ± 0.72,66.97 ± 2.24 / 83.03 ± 1.07,62.14 ± 1.33 / 33.97 ± 1.85,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.69,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,48.59 ± 0.93 / 63.64 ± 1.33,67.53 ± 1.34 / 67.53 ± 1.34,43.90 ± 1.41 / 71.39 ± 0.91,66.70 ± 1.12 / 45.88 ± 1.14,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.70,?,256128.0,1048576.0,✓,✗,✗,✓,39.46 ± 2.57 / 58.39 ± 1.50,63.50 ± 0.94 / 63.50 ± 0.94,70.42 ± 2.46 / 85.03 ± 1.15,59.20 ± 1.42 / 32.14 ± 2.05,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.70,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,41.27 ± 1.15 / 60.77 ± 0.86,66.31 ± 1.06 / 66.31 ± 1.06,55.50 ± 1.19 / 77.24 ± 0.76,68.32 ± 1.13 / 46.44 ± 1.51,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.71,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,44.96 ± 1.46 / 62.83 ± 1.14,65.66 ± 1.03 / 65.66 ± 1.03,57.33 ± 1.58 / 78.35 ± 0.87,60.60 ± 1.27 / 37.27 ± 1.58,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.71,?,?,1047576.0,✓,✗,✗,✓,38.93 ± 2.24 / 57.99 ± 1.41,63.03 ± 1.07 / 63.03 ± 1.07,66.08 ± 2.88 / 81.97 ± 1.71,62.25 ± 0.83 / 34.81 ± 1.58,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.73,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,41.38 ± 0.99 / 60.68 ± 0.66,68.75 ± 1.02 / 68.75 ± 1.02,47.57 ± 1.27 / 73.12 ± 0.67,68.62 ± 1.32 / 47.57 ± 1.23,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.74,?,100256.0,272000.0,✓,✗,✗,✓,40.65 ± 2.46 / 58.99 ± 1.46,65.12 ± 0.45 / 65.12 ± 0.45,58.82 ± 1.92 / 78.23 ± 1.03,61.21 ± 0.97 / 39.00 ± 1.74,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.76,?,?,131072.0,✓,✗,✗,✓,43.54 ± 1.58 / 59.99 ± 0.87,63.04 ± 0.45 / 63.04 ± 0.45,52.48 ± 1.88 / 73.30 ± 1.12,64.34 ± 0.53 / 42.06 ± 0.94,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.77,?,256128.0,1048576.0,✓,✗,✗,✓,38.76 ± 3.77 / 58.15 ± 2.45,58.87 ± 1.30 / 58.87 ± 1.30,62.06 ± 3.73 / 80.76 ± 1.95,65.06 ± 1.01 / 42.76 ± 1.48,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.77,?,?,200000.0,✓,✗,✗,✓,46.99 ± 2.49 / 62.42 ± 1.65,59.56 ± 1.20 / 59.56 ± 1.20,52.64 ± 1.87 / 75.80 ± 0.79,64.50 ± 0.86 / 36.80 ± 1.57,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.78,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,42.48 ± 1.32 / 61.35 ± 0.90,67.69 ± 0.94 / 67.69 ± 0.94,47.04 ± 1.99 / 72.53 ± 1.50,64.97 ± 0.97 / 40.51 ± 0.80,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.79,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,39.13 ± 3.52 / 57.09 ± 3.35,66.66 ± 2.02 / 66.66 ± 2.02,50.93 ± 4.54 / 73.53 ± 4.43,64.31 ± 1.54 / 43.09 ± 1.20,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,1.80,?,?,400000.0,✓,✗,✗,✓,45.59 ± 1.42 / 62.63 ± 0.81,61.86 ± 0.85 / 61.86 ± 0.85,50.61 ± 1.54 / 75.19 ± 0.77,61.10 ± 0.49 / 32.90 ± 0.88,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.81,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,44.13 ± 2.13 / 61.29 ± 2.03,67.70 ± 2.80 / 67.70 ± 2.80,38.26 ± 3.86 / 65.20 ± 3.51,66.18 ± 1.80 / 42.81 ± 2.21,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.81,?,100256.0,272000.0,✓,✗,✗,✓,37.01 ± 2.96 / 56.49 ± 1.77,62.94 ± 0.68 / 62.94 ± 0.68,58.28 ± 3.06 / 77.44 ± 1.32,63.57 ± 1.27 / 40.29 ± 1.95,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-27B-FP8'>Qwen/Qwen3.5-27B-FP8 (val)</a>,🤔,1.83,24699207680.0,248044.0,8192.0,✓,✗,(✓),✓,37.06 ± 2.41 / 57.02 ± 1.57,70.40 ± 0.67 / 70.40 ± 0.67,54.99 ± 2.14 / 75.52 ± 1.08,55.54 ± 0.96 / 37.75 ± 1.18,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,1.84,?,?,400000.0,✓,✗,✗,✓,42.73 ± 1.93 / 59.91 ± 1.12,61.76 ± 0.45 / 61.76 ± 0.45,50.93 ± 1.46 / 74.36 ± 0.71,61.15 ± 0.62 / 31.73 ± 1.06,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.84,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,40.36 ± 1.72 / 59.62 ± 1.23,67.95 ± 1.39 / 67.95 ± 1.39,44.13 ± 2.26 / 70.99 ± 1.73,66.49 ± 1.19 / 46.34 ± 1.30,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.84,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,39.36 ± 4.49 / 59.31 ± 2.76,65.87 ± 1.30 / 65.87 ± 1.30,44.22 ± 3.44 / 70.85 ± 2.11,68.94 ± 1.95 / 49.01 ± 3.69,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.84,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,42.09 ± 0.79 / 61.64 ± 0.47,67.03 ± 0.69 / 67.03 ± 0.69,40.80 ± 2.39 / 65.11 ± 2.38,68.16 ± 0.60 / 46.70 ± 0.87,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.85,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,41.90 ± 1.65 / 60.70 ± 1.00,66.93 ± 0.62 / 66.93 ± 0.62,45.20 ± 1.37 / 70.39 ± 0.87,62.21 ± 0.74 / 35.40 ± 1.09,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.85,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,42.96 ± 0.97 / 61.74 ± 0.76,66.23 ± 0.95 / 66.23 ± 0.95,48.34 ± 1.39 / 73.84 ± 0.82,60.98 ± 0.68 / 37.60 ± 0.79,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.85,?,256128.0,1048576.0,✓,✗,✗,✓,36.17 ± 3.22 / 56.10 ± 1.92,64.88 ± 0.95 / 64.88 ± 0.95,55.13 ± 4.48 / 76.78 ± 2.37,62.34 ± 1.13 / 39.20 ± 1.81,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,1.86,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,45.98 ± 1.95 / 58.83 ± 1.79,66.30 ± 1.36 / 66.30 ± 1.36,32.09 ± 2.92 / 61.80 ± 2.50,69.62 ± 1.12 / 51.91 ± 1.56,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,1.87,?,?,400000.0,✓,✗,✗,✓,37.52 ± 1.40 / 55.74 ± 0.84,64.17 ± 0.49 / 64.17 ± 0.49,55.06 ± 1.60 / 76.35 ± 0.72,60.42 ± 0.79 / 30.82 ± 1.02,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-FP8'>Qwen/Qwen3.5-35B-A3B-FP8 (val)</a>,🤔,1.87,34453061632.0,248044.0,8192.0,✓,✗,(✓),✓,36.64 ± 2.64 / 56.38 ± 1.81,67.48 ± 0.87 / 67.48 ± 0.87,55.47 ± 1.70 / 76.29 ± 0.91,55.52 ± 0.75 / 39.72 ± 0.97,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.89,?,100256.0,272000.0,✓,✗,✗,✓,38.89 ± 3.19 / 58.93 ± 1.76,64.92 ± 0.81 / 64.92 ± 0.81,44.82 ± 2.24 / 72.05 ± 1.13,65.17 ± 0.92 / 38.15 ± 1.67,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,1.89,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,48.41 ± 1.28 / 63.80 ± 1.12,65.17 ± 1.74 / 65.17 ± 1.74,28.84 ± 3.13 / 57.03 ± 3.77,64.32 ± 0.94 / 44.49 ± 0.99,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.90,?,?,1047576.0,✓,✗,✗,✓,36.98 ± 2.62 / 57.69 ± 1.62,61.14 ± 1.51 / 61.14 ± 1.51,55.26 ± 3.60 / 74.12 ± 2.58,62.00 ± 1.11 / 36.58 ± 1.99,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,1.94,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,33.37 ± 1.17 / 50.72 ± 1.26,63.55 ± 1.21 / 63.55 ± 1.21,39.29 ± 1.98 / 68.46 ± 1.14,73.90 ± 1.20 / 54.26 ± 1.75,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.96,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,39.43 ± 1.90 / 58.32 ± 1.33,63.75 ± 1.97 / 63.75 ± 1.97,38.56 ± 5.48 / 65.88 ± 5.39,63.67 ± 2.35 / 45.31 ± 2.55,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,1.97,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,37.26 ± 2.07 / 57.96 ± 1.18,60.98 ± 1.09 / 60.98 ± 1.09,39.98 ± 1.74 / 65.27 ± 1.41,69.45 ± 0.60 / 47.63 ± 1.12,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct</a>,📝,1.97,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,42.19 ± 1.84 / 61.63 ± 1.13,61.82 ± 2.02 / 61.82 ± 2.02,35.24 ± 1.85 / 63.63 ± 1.66,69.25 ± 1.02 / 47.26 ± 1.56,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.00,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,42.37 ± 1.18 / 61.32 ± 0.76,66.11 ± 0.50 / 66.11 ± 0.50,36.08 ± 1.48 / 65.80 ± 0.86,56.54 ± 0.92 / 34.68 ± 1.21,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.00,?,256128.0,1048576.0,✓,✗,✗,✓,43.50 ± 3.75 / 60.76 ± 2.32,58.15 ± 1.31 / 58.15 ± 1.31,42.04 ± 1.75 / 62.48 ± 1.52,61.63 ± 1.35 / 38.71 ± 2.27,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,2.02,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,36.13 ± 1.83 / 56.16 ± 1.00,62.63 ± 1.24 / 62.63 ± 1.24,40.33 ± 2.28 / 69.65 ± 1.14,62.45 ± 0.92 / 41.53 ± 0.90,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,2.04,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,27.48 ± 1.55 / 49.65 ± 1.08,65.82 ± 0.71 / 65.82 ± 0.71,51.94 ± 1.87 / 75.68 ± 0.90,61.84 ± 0.64 / 45.42 ± 0.96,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/zai-org/GLM-4.7-Flash'>zai-org/GLM-4.7-Flash (val)</a>,🤔,2.04,31221485568.0,154880.0,202752.0,✓,✗,✗,✓,34.00 ± 1.66 / 55.81 ± 1.01,65.16 ± 0.71 / 65.16 ± 0.71,39.77 ± 2.23 / 68.59 ± 1.27,63.37 ± 1.12 / 39.78 ± 1.41,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,2.04,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,33.37 ± 2.13 / 54.47 ± 1.28,60.92 ± 0.89 / 60.92 ± 0.89,41.94 ± 1.90 / 70.50 ± 0.89,67.67 ± 1.24 / 44.56 ± 1.45,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.04,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,43.48 ± 1.92 / 62.53 ± 1.31,65.79 ± 1.62 / 65.79 ± 1.62,32.54 ± 2.44 / 62.41 ± 3.02,56.24 ± 0.86 / 27.02 ± 1.47,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,2.05,70599864480.0,131072.0,65536.0,✓,✗,(✓),✗,36.58 ± 3.12 / 55.59 ± 3.21,59.19 ± 2.96 / 59.19 ± 2.96,39.30 ± 6.31 / 65.05 ± 6.39,64.45 ± 1.21 / 43.02 ± 1.36,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,2.06,32207337984.0,100352.0,131072.0,✓,✗,(✓),✗,43.29 ± 1.63 / 61.87 ± 1.01,63.87 ± 1.87 / 63.87 ± 1.87,29.30 ± 1.30 / 57.58 ± 2.43,59.32 ± 1.28 / 40.43 ± 1.10,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,2.07,?,?,200000.0,✓,✗,✗,✓,35.41 ± 2.58 / 55.81 ± 1.56,64.10 ± 0.80 / 64.10 ± 0.80,35.79 ± 2.76 / 56.52 ± 2.50,64.28 ± 1.01 / 38.00 ± 1.96,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
