<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-FP8'>Qwen/Qwen3.5-35B-A3B-FP8 (val)</a>,🤔,1.57,34453061632.0,248044.0,8192.0,✓,✗,(✓),✓,72.81 ± 2.17 / 68.61 ± 1.27,72.32 ± 1.33 / 72.32 ± 1.33,54.50 ± 2.17 / 73.68 ± 1.51,59.37 ± 0.83 / 36.90 ± 1.40,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.58,?,?,?,✓,✗,✗,✓,67.18 ± 3.34 / 56.93 ± 1.89,58.75 ± 1.91 / 58.75 ± 1.91,71.59 ± 2.41 / 85.52 ± 1.20,67.79 ± 1.52 / 35.50 ± 1.82,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.59,?,?,400000.0,✓,✗,✗,✓,76.13 ± 1.81 / 57.40 ± 0.93,67.66 ± 0.87 / 67.66 ± 0.87,51.68 ± 1.60 / 71.95 ± 0.88,67.10 ± 0.73 / 41.53 ± 1.23,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.59,?,?,400000.0,✓,✗,✗,✓,73.81 ± 1.55 / 56.44 ± 0.81,66.47 ± 0.92 / 66.47 ± 0.92,49.63 ± 1.38 / 69.64 ± 0.73,67.05 ± 0.79 / 41.30 ± 1.28,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.60,?,256128.0,1048576.0,✓,✗,✗,✓,68.55 ± 3.53 / 56.26 ± 1.91,57.73 ± 1.71 / 57.73 ± 1.71,63.33 ± 3.43 / 81.42 ± 1.81,68.26 ± 1.55 / 43.36 ± 2.30,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.61,?,256128.0,1048576.0,✓,✗,✗,✓,68.69 ± 3.30 / 57.94 ± 2.10,64.12 ± 1.67 / 64.12 ± 1.67,61.38 ± 4.37 / 80.04 ± 2.35,62.94 ± 1.01 / 26.72 ± 0.95,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.62,?,?,200000.0,✓,✗,✗,✓,63.29 ± 3.65 / 57.66 ± 2.10,71.77 ± 1.77 / 71.77 ± 1.77,52.35 ± 3.41 / 72.75 ± 1.96,69.50 ± 1.57 / 41.93 ± 1.86,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.64,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,63.42 ± 1.51 / 59.98 ± 1.61,71.47 ± 1.12 / 71.47 ± 1.12,55.52 ± 1.83 / 76.39 ± 0.99,64.25 ± 0.97 / 42.53 ± 0.93,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.65,?,?,400000.0,✓,✗,✗,✓,72.42 ± 1.80 / 56.38 ± 0.82,65.79 ± 0.91 / 65.79 ± 0.91,45.97 ± 1.39 / 69.35 ± 0.88,68.06 ± 0.73 / 41.87 ± 1.00,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.66,?,256128.0,1048576.0,✓,✗,✗,✓,66.04 ± 4.08 / 61.90 ± 3.14,63.47 ± 1.66 / 63.47 ± 1.66,66.37 ± 2.71 / 82.95 ± 1.38,61.14 ± 0.98 / 26.28 ± 1.34,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.66,?,256128.0,1048576.0,✓,✗,✗,✓,67.72 ± 1.64 / 57.90 ± 1.06,60.89 ± 1.06 / 60.89 ± 1.06,64.19 ± 1.31 / 81.75 ± 0.72,63.11 ± 0.77 / 32.88 ± 1.07,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.71,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,56.30 ± 1.59 / 60.32 ± 1.20,67.36 ± 2.79 / 67.36 ± 2.79,54.60 ± 2.07 / 76.00 ± 1.69,76.65 ± 0.81 / 54.04 ± 1.56,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.72,?,256128.0,1048576.0,✓,✗,✗,✓,66.04 ± 3.43 / 53.45 ± 1.68,63.08 ± 1.60 / 63.08 ± 1.60,53.59 ± 2.33 / 76.67 ± 1.16,67.71 ± 1.59 / 43.09 ± 2.38,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/zai-org/GLM-4.7-Flash'>zai-org/GLM-4.7-Flash (val)</a>,🤔,1.72,31221485568.0,154880.0,202752.0,✓,✗,✗,✓,76.04 ± 1.40 / 64.54 ± 1.90,69.24 ± 1.18 / 69.24 ± 1.18,38.69 ± 2.10 / 66.70 ± 1.16,62.52 ± 0.43 / 34.10 ± 0.78,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.74,?,256128.0,1048576.0,✓,✗,✗,✓,68.58 ± 3.44 / 57.00 ± 1.89,57.65 ± 2.14 / 57.65 ± 2.14,57.82 ± 3.30 / 77.53 ± 1.78,65.44 ± 1.18 / 35.64 ± 1.83,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.76,?,?,200000.0,✓,✗,✗,✓,68.14 ± 3.47 / 57.92 ± 2.08,64.14 ± 1.88 / 64.14 ± 1.88,45.13 ± 3.21 / 66.97 ± 2.44,70.49 ± 1.44 / 44.41 ± 1.76,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,1.77,?,?,400000.0,✓,✗,✗,✓,70.67 ± 2.01 / 57.24 ± 1.01,60.99 ± 1.04 / 60.99 ± 1.04,47.54 ± 1.83 / 68.04 ± 1.11,64.89 ± 0.62 / 33.43 ± 1.05,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.80,?,?,1047576.0,✓,✗,✗,✓,62.28 ± 3.68 / 56.66 ± 1.90,61.30 ± 2.21 / 61.30 ± 2.21,54.78 ± 3.28 / 77.05 ± 1.70,68.39 ± 1.48 / 41.45 ± 2.00,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct</a>,📝,1.80,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,60.87 ± 2.22 / 63.05 ± 1.28,69.22 ± 2.46 / 69.22 ± 2.46,37.41 ± 1.61 / 67.13 ± 1.04,76.56 ± 0.97 / 51.85 ± 1.95,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.80,?,?,131072.0,✓,✗,✗,✓,67.85 ± 1.69 / 55.91 ± 0.96,62.88 ± 0.98 / 62.88 ± 0.98,42.49 ± 1.46 / 65.67 ± 0.95,70.79 ± 0.72 / 45.19 ± 1.09,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.81,?,100256.0,272000.0,✓,✗,✗,✓,71.46 ± 3.42 / 57.13 ± 1.88,62.19 ± 1.60 / 62.19 ± 1.60,44.80 ± 1.97 / 64.91 ± 1.46,65.98 ± 1.23 / 39.18 ± 1.69,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.81,?,100256.0,272000.0,✓,✗,✗,✓,73.82 ± 4.17 / 57.22 ± 1.91,63.07 ± 1.55 / 63.07 ± 1.55,36.09 ± 2.61 / 55.58 ± 2.02,68.96 ± 1.17 / 43.92 ± 2.13,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,1.81,559890946.0,250002.0,512.0,✓,✗,(✓),✗,65.84 ± 3.07 / 60.59 ± 3.42,82.78 ± 1.39 / 82.78 ± 1.39,46.89 ± 13.86 / 72.09 ± 7.84,31.65 ± 1.73 / 23.34 ± 2.01,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,1.84,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,55.76 ± 2.83 / 59.58 ± 2.01,68.08 ± 2.58 / 68.08 ± 2.58,40.63 ± 2.72 / 65.02 ± 2.68,74.17 ± 0.69 / 51.80 ± 1.11,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,1.89,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,77.18 ± 2.49 / 68.00 ± 3.30,67.70 ± 1.83 / 67.70 ± 1.83,43.05 ± 2.59 / 70.52 ± 1.48,39.64 ± 0.71 / 25.10 ± 0.75,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.90,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,72.75 ± 2.20 / 67.63 ± 2.29,71.60 ± 1.70 / 71.60 ± 1.70,16.46 ± 2.76 / 42.53 ± 1.43,67.25 ± 0.71 / 31.41 ± 1.28,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,1.94,?,?,400000.0,✓,✗,✗,✓,69.33 ± 1.80 / 56.29 ± 0.98,61.54 ± 1.19 / 61.54 ± 1.19,34.52 ± 2.06 / 58.35 ± 1.15,62.07 ± 0.69 / 31.53 ± 0.99,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,1.94,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,72.22 ± 1.74 / 62.19 ± 1.81,78.90 ± 1.82 / 78.90 ± 1.82,0.00 ± 0.00 / 32.87 ± 0.49,74.48 ± 1.04 / 50.23 ± 2.31,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,1.94,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,58.41 ± 2.36 / 59.83 ± 1.45,64.30 ± 2.61 / 64.30 ± 2.61,37.53 ± 1.98 / 66.53 ± 1.78,71.87 ± 0.70 / 52.24 ± 0.72,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.95,?,?,200000.0,✓,✗,✗,✓,68.50 ± 3.86 / 56.98 ± 1.91,61.54 ± 2.32 / 61.54 ± 2.32,28.65 ± 3.04 / 52.47 ± 2.47,69.44 ± 1.42 / 40.16 ± 2.52,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,1.95,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,63.55 ± 2.30 / 57.18 ± 1.53,64.24 ± 2.56 / 64.24 ± 2.56,34.20 ± 2.95 / 60.14 ± 3.26,71.62 ± 0.84 / 49.29 ± 1.55,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,1.95,?,256128.0,1048576.0,✓,✗,✗,✓,61.08 ± 4.31 / 58.67 ± 3.12,59.92 ± 1.16 / 59.92 ± 1.16,42.24 ± 5.37 / 67.75 ± 3.18,64.08 ± 1.17 / 38.20 ± 2.08,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,1.95,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,66.68 ± 1.71 / 58.77 ± 1.37,60.57 ± 2.14 / 60.57 ± 2.14,33.25 ± 1.10 / 65.77 ± 1.12,72.81 ± 1.73 / 47.83 ± 3.08,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,1.96,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,71.92 ± 2.37 / 68.20 ± 2.71,77.83 ± 1.72 / 77.83 ± 1.72,0.00 ± 0.00 / 32.87 ± 0.49,73.01 ± 1.06 / 48.11 ± 2.34,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,🤔,1.97,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,66.16 ± 2.29 / 60.68 ± 1.61,68.83 ± 1.58 / 68.83 ± 1.58,26.63 ± 2.41 / 54.15 ± 1.59,61.70 ± 0.63 / 37.07 ± 0.89,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,2.00,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,62.08 ± 2.58 / 62.04 ± 2.22,75.06 ± 1.40 / 75.06 ± 1.40,16.33 ± 1.83 / 43.75 ± 1.02,66.59 ± 0.71 / 42.73 ± 1.13,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/nvidia/Nemotron-Cascade-2-30B-A3B'>nvidia/Nemotron-Cascade-2-30B-A3B (val)</a>,🤔,2.01,31577937344.0,131072.0,262144.0,✓,✗,(✓),✓,67.32 ± 2.36 / 61.08 ± 1.96,71.37 ± 2.08 / 71.37 ± 2.08,20.51 ± 2.50 / 59.55 ± 1.30,63.23 ± 0.85 / 33.86 ± 1.24,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,2.01,3849090048.0,131072.0,8192.0,✓,✗,(✓),✓,75.72 ± 2.17 / 59.53 ± 1.35,74.81 ± 1.64 / 74.81 ± 1.64,0.00 ± 0.00 / 32.87 ± 0.49,72.54 ± 0.74 / 51.29 ± 1.43,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,2.02,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,71.32 ± 2.58 / 64.36 ± 2.06,71.79 ± 1.65 / 71.79 ± 1.65,15.70 ± 2.69 / 40.05 ± 1.38,65.78 ± 0.66 / 31.32 ± 0.73,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.03,?,?,1047576.0,✓,✗,✗,✓,57.28 ± 3.48 / 55.55 ± 1.92,62.22 ± 1.67 / 62.22 ± 1.67,42.26 ± 3.67 / 68.95 ± 1.97,59.78 ± 1.53 / 32.45 ± 1.93,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,2.03,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,71.85 ± 1.55 / 60.88 ± 1.82,73.19 ± 2.03 / 73.19 ± 2.03,0.00 ± 0.00 / 33.74 ± 0.46,76.90 ± 0.87 / 58.62 ± 1.35,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,2.03,31577934400.0,131072.0,262144.0,✓,✗,✗,✓,66.88 ± 1.61 / 62.49 ± 1.69,64.62 ± 1.32 / 64.62 ± 1.32,30.16 ± 2.59 / 55.73 ± 1.85,62.92 ± 0.81 / 38.12 ± 1.33,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (val)</a>,📝,2.04,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,74.43 ± 4.61 / 58.68 ± 1.65,62.07 ± 2.51 / 62.07 ± 2.51,12.66 ± 4.07 / 55.43 ± 2.29,70.79 ± 1.90 / 48.60 ± 2.48,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,2.05,?,?,400000.0,✓,✗,✗,✓,67.01 ± 1.86 / 56.92 ± 0.97,60.60 ± 1.28 / 60.60 ± 1.28,32.88 ± 2.14 / 54.65 ± 1.33,61.84 ± 0.72 / 31.66 ± 1.19,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,2.05,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,57.28 ± 2.45 / 62.55 ± 1.89,71.78 ± 1.42 / 71.78 ± 1.42,23.07 ± 1.88 / 60.40 ± 1.01,69.90 ± 0.79 / 45.90 ± 0.81,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,2.06,307537161.0,256000.0,8192.0,✓,✗,(✓),✓,50.31 ± 5.31 / 52.90 ± 3.05,73.41 ± 1.64 / 73.41 ± 1.64,56.22 ± 5.91 / 77.59 ± 2.97,28.52 ± 0.98 / 20.45 ± 0.91,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,2.07,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,67.55 ± 2.90 / 65.89 ± 2.09,74.82 ± 2.23 / 74.82 ± 2.23,0.00 ± 0.00 / 33.36 ± 0.27,77.70 ± 0.95 / 58.41 ± 2.63,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
