<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.73,?,256128.0,1048576.0,✓,✗,✗,✓,45.86 ± 2.43 / 60.88 ± 2.13,64.76 ± 1.11 / 50.06 ± 1.04,72.72 ± 1.63 / 85.57 ± 1.01,65.03 ± 1.29 / 38.58 ± 1.83,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.74,?,?,400000.0,✓,✗,✗,✓,43.27 ± 1.15 / 58.29 ± 0.80,74.83 ± 1.33 / 62.01 ± 1.02,67.89 ± 1.34 / 83.75 ± 0.68,61.01 ± 0.74 / 41.47 ± 1.27,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.74,?,256128.0,1048576.0,✓,✗,✗,✓,49.65 ± 1.53 / 61.99 ± 1.22,65.36 ± 0.78 / 47.03 ± 0.72,69.59 ± 1.40 / 84.00 ± 0.78,62.79 ± 0.80 / 41.49 ± 1.24,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.75,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,62.25 ± 1.40 / 67.42 ± 2.94,70.18 ± 2.02 / 70.48 ± 1.71,44.34 ± 6.62 / 68.83 ± 5.52,69.94 ± 3.82 / 52.98 ± 4.18,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.77,?,?,?,✓,✗,✗,✓,51.97 ± 1.14 / 65.96 ± 1.08,68.71 ± 1.34 / 64.55 ± 1.11,63.91 ± 0.99 / 80.83 ± 0.56,61.04 ± 0.97 / 36.72 ± 1.39,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.78,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,60.95 ± 1.78 / 66.41 ± 2.92,74.03 ± 1.60 / 72.96 ± 1.54,41.25 ± 1.18 / 69.32 ± 0.75,65.45 ± 1.75 / 43.79 ± 1.35,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.79,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,61.27 ± 1.36 / 69.13 ± 1.43,72.31 ± 2.45 / 72.00 ± 2.59,38.87 ± 3.42 / 65.90 ± 3.59,68.23 ± 3.80 / 51.55 ± 4.49,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.80,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,62.40 ± 0.89 / 72.34 ± 0.75,69.32 ± 1.47 / 62.22 ± 2.25,38.90 ± 3.42 / 65.52 ± 2.84,69.66 ± 1.39 / 49.74 ± 1.51,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.80,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,60.01 ± 1.36 / 65.32 ± 2.83,73.26 ± 1.43 / 71.09 ± 1.45,41.39 ± 1.55 / 69.04 ± 1.03,69.98 ± 2.14 / 50.79 ± 2.66,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.81,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,62.89 ± 1.25 / 72.96 ± 1.54,67.37 ± 1.73 / 53.94 ± 2.51,45.38 ± 2.03 / 71.36 ± 1.02,65.35 ± 2.16 / 44.31 ± 2.10,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.82,?,256128.0,1048576.0,✓,✗,✗,✓,41.84 ± 1.88 / 56.77 ± 1.77,70.85 ± 1.20 / 66.21 ± 1.46,67.25 ± 1.58 / 82.81 ± 0.88,63.91 ± 1.82 / 43.73 ± 2.61,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.83,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,58.05 ± 1.70 / 63.05 ± 2.55,75.31 ± 1.74 / 75.40 ± 1.56,38.96 ± 3.10 / 62.83 ± 3.15,65.60 ± 2.36 / 47.93 ± 2.45,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.84,?,?,400000.0,✓,✗,✗,✓,55.35 ± 1.42 / 68.12 ± 1.02,58.89 ± 1.50 / 42.95 ± 1.11,59.61 ± 1.34 / 75.32 ± 0.95,64.40 ± 0.76 / 41.21 ± 1.17,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.84,?,?,?,✓,✗,✗,✓,46.12 ± 2.95 / 61.65 ± 2.31,61.77 ± 2.27 / 48.17 ± 1.56,65.68 ± 2.37 / 81.64 ± 1.51,65.15 ± 1.19 / 39.07 ± 2.10,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.87,?,100256.0,272000.0,✓,✗,✗,✓,41.06 ± 3.04 / 57.11 ± 2.29,73.13 ± 1.61 / 63.07 ± 1.61,64.00 ± 2.26 / 81.74 ± 1.12,60.75 ± 1.17 / 41.07 ± 1.69,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.89,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,51.21 ± 1.70 / 66.53 ± 1.46,61.90 ± 1.03 / 60.18 ± 1.49,57.63 ± 0.91 / 78.71 ± 0.45,63.48 ± 0.69 / 44.86 ± 0.99,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.90,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,62.53 ± 1.25 / 69.23 ± 2.20,68.11 ± 1.22 / 66.19 ± 1.53,31.33 ± 3.31 / 55.73 ± 3.03,70.37 ± 1.42 / 50.97 ± 1.68,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.90,?,100256.0,272000.0,✓,✗,✗,✓,49.13 ± 2.45 / 66.63 ± 1.50,72.84 ± 2.73 / 71.08 ± 2.60,49.31 ± 2.65 / 74.55 ± 1.31,62.33 ± 1.36 / 38.62 ± 2.09,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.92,?,256128.0,1048576.0,✓,✗,✗,✓,49.94 ± 2.64 / 65.53 ± 2.15,62.41 ± 1.56 / 44.44 ± 1.22,58.78 ± 1.85 / 79.20 ± 0.99,61.46 ± 0.90 / 37.17 ± 1.09,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.95,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,61.52 ± 0.92 / 68.94 ± 1.92,61.20 ± 2.69 / 58.61 ± 2.62,40.79 ± 2.39 / 64.29 ± 2.31,63.81 ± 4.48 / 46.26 ± 5.37,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.95,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,51.12 ± 1.49 / 67.33 ± 1.43,72.33 ± 1.36 / 73.62 ± 1.35,40.85 ± 3.40 / 69.40 ± 1.77,63.65 ± 0.61 / 40.03 ± 1.12,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.97,?,?,1047576.0,✓,✗,✗,✓,47.97 ± 2.34 / 62.33 ± 1.81,51.30 ± 2.28 / 41.74 ± 1.95,70.50 ± 2.54 / 84.13 ± 1.43,62.61 ± 1.20 / 36.25 ± 1.79,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.97,?,?,131072.0,✓,✗,✗,✓,50.34 ± 0.90 / 62.65 ± 1.14,59.51 ± 1.22 / 58.52 ± 1.13,53.24 ± 1.74 / 75.09 ± 0.89,64.97 ± 0.53 / 46.07 ± 1.11,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.98,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,67.81 ± 1.07 / 76.55 ± 1.18,76.43 ± 1.28 / 70.92 ± 1.51,55.67 ± 2.16 / 75.81 ± 1.10,21.22 ± 0.56 / 0.52 ± 0.43,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct</a>,📝,2.01,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,54.89 ± 0.55 / 52.06 ± 0.29,68.85 ± 1.71 / 64.48 ± 1.83,32.25 ± 2.45 / 61.79 ± 1.91,68.38 ± 1.21 / 47.69 ± 1.62,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,2.02,32207337984.0,100352.0,131072.0,✓,✗,(✓),✗,62.31 ± 0.67 / 72.66 ± 1.07,67.61 ± 1.52 / 66.31 ± 1.66,27.71 ± 5.57 / 58.77 ± 6.00,64.94 ± 2.18 / 48.08 ± 2.69,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,2.03,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,66.96 ± 0.98 / 76.58 ± 1.03,76.06 ± 1.51 / 69.60 ± 1.23,52.64 ± 2.21 / 73.68 ± 1.71,20.43 ± 0.92 / 1.10 ± 0.30,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,2.03,?,256128.0,1048576.0,✓,✗,✗,✓,43.63 ± 2.69 / 56.64 ± 2.49,66.14 ± 1.75 / 57.51 ± 1.74,51.30 ± 2.82 / 74.55 ± 1.41,61.70 ± 1.11 / 39.03 ± 2.38,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.03,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,55.02 ± 1.02 / 65.51 ± 0.46,71.00 ± 0.62 / 69.78 ± 0.66,36.59 ± 2.14 / 66.12 ± 1.31,59.75 ± 1.36 / 36.62 ± 1.44,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,2.03,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,65.96 ± 0.81 / 73.52 ± 1.23,79.97 ± 1.45 / 74.18 ± 1.40,53.84 ± 1.93 / 74.14 ± 1.66,20.17 ± 2.00 / 2.96 ± 0.95,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,2.04,?,?,200000.0,✓,✗,✗,✓,51.34 ± 2.61 / 63.23 ± 1.61,58.71 ± 1.85 / 53.18 ± 1.84,47.44 ± 4.28 / 72.67 ± 2.17,63.29 ± 1.43 / 37.80 ± 1.83,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,2.05,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,54.75 ± 1.29 / 62.47 ± 1.19,79.07 ± 1.42 / 79.93 ± 1.01,26.64 ± 2.29 / 58.45 ± 1.04,57.66 ± 2.18 / 39.28 ± 2.41,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.05,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,56.94 ± 1.29 / 70.37 ± 1.07,64.60 ± 1.67 / 54.04 ± 3.61,31.55 ± 2.29 / 62.26 ± 2.21,65.53 ± 1.63 / 46.84 ± 2.08,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,2.05,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,49.42 ± 1.53 / 63.76 ± 0.97,65.74 ± 1.48 / 58.84 ± 1.99,39.52 ± 2.46 / 63.08 ± 1.82,64.64 ± 1.67 / 46.50 ± 1.96,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,2.05,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,46.51 ± 1.96 / 59.26 ± 1.03,63.98 ± 1.28 / 64.09 ± 1.37,33.81 ± 1.76 / 60.75 ± 1.40,71.83 ± 1.46 / 53.28 ± 2.29,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,2.06,?,?,1047576.0,✓,✗,✗,✓,51.06 ± 2.52 / 68.13 ± 1.60,49.68 ± 2.34 / 32.96 ± 1.72,52.22 ± 3.13 / 73.97 ± 1.72,65.11 ± 1.15 / 40.57 ± 2.29,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.08,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,60.00 ± 1.31 / 70.63 ± 1.16,69.81 ± 1.25 / 62.44 ± 2.56,23.93 ± 2.70 / 54.82 ± 2.09,61.28 ± 1.25 / 37.30 ± 1.59,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,2.08,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,45.81 ± 1.70 / 57.83 ± 1.40,66.88 ± 1.19 / 62.35 ± 1.75,40.81 ± 2.44 / 69.52 ± 1.34,65.28 ± 1.07 / 46.60 ± 1.40,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,2.09,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,47.74 ± 2.75 / 64.83 ± 2.32,62.59 ± 1.81 / 65.55 ± 1.60,40.71 ± 2.60 / 69.08 ± 1.29,67.04 ± 1.62 / 50.48 ± 2.17,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,2.09,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,55.31 ± 3.41 / 70.23 ± 2.50,64.17 ± 3.06 / 61.30 ± 3.56,24.54 ± 4.20 / 48.70 ± 3.66,68.97 ± 1.27 / 48.37 ± 1.64,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,2.09,?,?,200000.0,✓,✗,✗,✓,41.12 ± 2.32 / 56.55 ± 1.82,70.63 ± 1.75 / 70.00 ± 1.81,39.82 ± 2.77 / 63.70 ± 1.72,65.69 ± 1.01 / 43.63 ± 1.92,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,2.10,?,100256.0,272000.0,✓,✗,✗,✓,43.01 ± 1.89 / 57.89 ± 1.77,52.30 ± 2.03 / 34.67 ± 1.42,60.51 ± 2.09 / 78.92 ± 1.44,62.69 ± 1.04 / 40.20 ± 1.94,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.10,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,52.79 ± 1.35 / 64.28 ± 0.77,73.76 ± 1.60 / 73.38 ± 1.35,33.35 ± 2.42 / 63.27 ± 1.66,56.31 ± 1.09 / 32.48 ± 1.93,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,2.12,?,?,400000.0,✓,✗,✗,✓,45.70 ± 1.27 / 63.39 ± 0.78,51.28 ± 0.84 / 41.20 ± 0.92,60.01 ± 1.00 / 79.78 ± 0.56,60.94 ± 0.71 / 38.98 ± 1.10,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.14,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,55.76 ± 1.49 / 67.76 ± 1.16,63.32 ± 1.55 / 49.69 ± 3.59,31.35 ± 1.16 / 64.96 ± 0.72,60.81 ± 2.11 / 43.04 ± 2.65,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,2.15,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,55.08 ± 0.47 / 51.97 ± 0.27,71.94 ± 1.25 / 67.84 ± 1.75,50.14 ± 3.23 / 72.68 ± 2.23,32.52 ± 1.37 / 0.02 ± 0.04,16.10.0,16.10.0,16.10.0,16.10.0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,2.15,?,?,400000.0,✓,✗,✗,✓,44.52 ± 1.11 / 61.44 ± 0.90,51.80 ± 0.97 / 40.60 ± 0.82,56.56 ± 0.93 / 78.12 ± 0.51,60.78 ± 0.61 / 38.79 ± 0.90,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
