<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=15 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.53,?,?,400000.0,✓,✗,✗,✓,49.62 ± 1.00 / 64.51 ± 0.69,75.67 ± 1.06 / 64.73 ± 1.49,64.04 ± 1.54 / 81.86 ± 0.73,59.65 ± 0.75 / 36.97 ± 1.13,77.51 ± 0.61 / 83.20 ± 0.49,56.60 ± 1.94 / 79.06 ± 0.97,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.56,?,?,400000.0,✓,✗,✗,✓,50.35 ± 1.48 / 64.86 ± 1.05,83.51 ± 0.87 / 73.01 ± 1.22,58.72 ± 1.20 / 79.07 ± 0.53,59.62 ± 0.72 / 38.56 ± 1.12,77.46 ± 0.70 / 83.16 ± 0.54,49.26 ± 3.36 / 76.25 ± 1.55,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.57,?,?,?,✓,✗,✗,✓,55.02 ± 1.25 / 68.13 ± 0.87,69.54 ± 1.28 / 58.75 ± 0.94,59.72 ± 1.16 / 77.35 ± 0.64,58.36 ± 0.62 / 31.50 ± 0.87,76.02 ± 0.62 / 82.27 ± 0.47,57.87 ± 2.14 / 78.98 ± 1.07,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.60,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,58.61 ± 1.50 / 70.14 ± 1.06,73.49 ± 1.15 / 69.09 ± 1.06,51.75 ± 1.25 / 75.63 ± 0.65,59.17 ± 0.68 / 33.69 ± 1.08,69.96 ± 1.04 / 77.58 ± 0.78,58.68 ± 2.34 / 79.84 ± 1.22,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.62,?,?,131072.0,✓,✗,✗,✓,55.07 ± 1.14 / 68.69 ± 0.84,71.13 ± 1.13 / 64.40 ± 1.21,40.50 ± 2.22 / 68.67 ± 1.07,62.04 ± 0.56 / 40.79 ± 1.16,77.85 ± 1.16 / 83.55 ± 0.88,63.13 ± 2.69 / 82.34 ± 1.34,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.63,?,?,?,✓,✗,✗,✓,47.67 ± 2.40 / 63.43 ± 1.76,67.42 ± 2.62 / 47.76 ± 2.97,56.59 ± 2.90 / 78.21 ± 1.47,64.90 ± 1.06 / 37.47 ± 1.61,77.22 ± 1.63 / 83.05 ± 1.25,52.83 ± 6.27 / 76.17 ± 3.07,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,1.69,?,?,400000.0,✓,✗,✗,✓,53.12 ± 1.24 / 66.47 ± 0.85,66.80 ± 1.00 / 47.39 ± 1.39,53.89 ± 1.88 / 76.50 ± 0.91,55.00 ± 0.65 / 26.83 ± 1.11,78.40 ± 0.49 / 83.67 ± 0.40,53.80 ± 2.17 / 76.80 ± 1.15,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.69,?,100256.0,272000.0,✓,✗,✗,✓,48.49 ± 2.26 / 64.30 ± 1.54,61.45 ± 4.30 / 46.10 ± 4.28,51.87 ± 4.58 / 74.92 ± 2.37,60.54 ± 1.15 / 40.11 ± 1.88,75.50 ± 2.00 / 81.60 ± 1.57,65.54 ± 3.20 / 83.75 ± 1.37,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.75,?,256128.0,1048576.0,✓,✗,✗,✓,48.93 ± 2.06 / 64.06 ± 1.40,65.62 ± 2.86 / 52.78 ± 2.36,58.26 ± 2.73 / 78.80 ± 1.42,59.83 ± 1.40 / 37.61 ± 2.26,71.32 ± 2.08 / 78.40 ± 1.51,50.12 ± 4.59 / 76.80 ± 2.15,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.79,?,256128.0,1048576.0,✓,✗,✗,✓,48.90 ± 2.63 / 64.27 ± 1.99,71.18 ± 2.99 / 51.82 ± 2.43,51.77 ± 2.99 / 75.66 ± 1.55,59.70 ± 1.49 / 36.42 ± 1.89,70.98 ± 1.44 / 78.24 ± 1.12,48.76 ± 5.77 / 75.78 ± 2.80,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.87,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,49.04 ± 1.36 / 64.67 ± 0.91,62.97 ± 0.94 / 59.65 ± 1.13,48.42 ± 4.55 / 72.36 ± 4.25,72.95 ± 2.55 / 54.88 ± 2.72,59.58 ± 0.57 / 69.63 ± 0.41,45.93 ± 2.08 / 72.90 ± 1.03,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,1.89,?,?,400000.0,✓,✗,✗,✓,51.37 ± 1.09 / 65.45 ± 0.87,61.07 ± 0.80 / 44.85 ± 1.17,51.14 ± 1.44 / 74.66 ± 0.68,54.18 ± 0.51 / 25.28 ± 0.79,70.91 ± 1.12 / 78.20 ± 0.87,45.99 ± 2.55 / 73.05 ± 1.18,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.90,?,?,1047576.0,✓,✗,✗,✓,54.00 ± 1.91 / 67.85 ± 1.35,46.24 ± 2.82 / 30.06 ± 1.73,48.91 ± 2.14 / 70.55 ± 1.32,56.63 ± 1.01 / 28.87 ± 1.63,71.33 ± 1.92 / 78.36 ± 1.44,59.48 ± 4.19 / 80.47 ± 2.08,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.93,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,50.92 ± 0.93 / 62.29 ± 1.33,65.39 ± 1.87 / 60.92 ± 1.60,38.76 ± 1.70 / 68.85 ± 0.91,71.36 ± 2.37 / 55.24 ± 2.60,55.71 ± 0.48 / 66.64 ± 0.35,46.74 ± 2.06 / 73.35 ± 1.05,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.95,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,49.78 ± 1.11 / 59.39 ± 1.85,66.84 ± 1.04 / 61.15 ± 1.56,41.00 ± 3.19 / 69.44 ± 1.92,74.14 ± 1.89 / 56.36 ± 1.93,55.30 ± 0.86 / 66.09 ± 0.62,44.81 ± 2.65 / 72.35 ± 1.29,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.95,?,?,200000.0,✓,✗,✗,✓,46.69 ± 3.41 / 60.97 ± 2.39,74.26 ± 2.46 / 66.04 ± 3.15,33.36 ± 3.31 / 56.97 ± 1.83,61.38 ± 1.35 / 35.29 ± 2.17,61.33 ± 1.83 / 69.30 ± 1.50,46.64 ± 4.58 / 68.05 ± 2.68,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.97,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,50.63 ± 1.16 / 62.77 ± 1.38,65.11 ± 1.02 / 56.29 ± 1.84,39.39 ± 2.02 / 68.12 ± 1.39,76.44 ± 2.36 / 60.16 ± 2.66,55.45 ± 0.97 / 66.36 ± 0.72,41.10 ± 1.90 / 70.52 ± 0.97,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,1.98,?,?,400000.0,✓,✗,✗,✓,50.23 ± 0.91 / 64.63 ± 0.69,58.20 ± 0.92 / 36.83 ± 1.04,54.08 ± 1.95 / 76.70 ± 0.99,57.40 ± 0.48 / 25.98 ± 0.99,66.70 ± 1.08 / 75.16 ± 0.81,40.46 ± 3.04 / 69.14 ± 1.67,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.98,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,50.48 ± 1.24 / 65.31 ± 0.79,64.38 ± 0.90 / 55.40 ± 1.75,42.26 ± 1.51 / 70.94 ± 0.79,73.22 ± 2.27 / 55.34 ± 2.25,55.79 ± 0.91 / 66.70 ± 0.70,42.66 ± 1.38 / 71.24 ± 0.73,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,2.00,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,50.26 ± 1.27 / 66.58 ± 0.81,57.98 ± 1.11 / 47.94 ± 1.12,50.53 ± 1.20 / 74.94 ± 0.68,64.41 ± 0.94 / 41.63 ± 2.14,56.45 ± 0.75 / 67.20 ± 0.57,45.08 ± 1.33 / 72.53 ± 0.66,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,2.02,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,57.76 ± 2.16 / 69.09 ± 1.77,63.88 ± 4.08 / 55.09 ± 3.61,35.53 ± 2.33 / 67.14 ± 1.11,68.66 ± 1.57 / 47.11 ± 3.12,63.51 ± 1.98 / 72.27 ± 1.66,33.11 ± 4.86 / 68.75 ± 1.94,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,2.03,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,54.04 ± 1.46 / 67.02 ± 1.00,72.70 ± 1.51 / 64.17 ± 1.25,34.61 ± 1.93 / 66.53 ± 0.96,58.76 ± 0.69 / 33.35 ± 0.92,62.10 ± 1.23 / 71.56 ± 0.95,35.24 ± 3.40 / 67.73 ± 1.41,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,2.04,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,50.35 ± 1.48 / 66.20 ± 0.90,54.19 ± 1.32 / 40.59 ± 1.06,45.93 ± 1.66 / 72.68 ± 0.91,71.61 ± 0.84 / 48.30 ± 1.24,61.03 ± 1.00 / 70.61 ± 0.78,40.22 ± 1.51 / 70.06 ± 0.74,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,2.04,?,?,400000.0,✓,✗,✗,✓,50.59 ± 1.29 / 64.81 ± 0.96,63.90 ± 1.15 / 41.36 ± 1.20,56.06 ± 1.11 / 77.15 ± 0.65,61.41 ± 0.74 / 38.84 ± 1.03,62.18 ± 1.01 / 71.29 ± 0.81,26.82 ± 3.13 / 64.06 ± 1.44,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,2.05,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,43.43 ± 1.28 / 60.56 ± 0.99,68.21 ± 2.40 / 63.25 ± 2.39,47.25 ± 2.62 / 72.81 ± 1.37,62.35 ± 0.53 / 44.43 ± 0.76,70.70 ± 0.72 / 77.97 ± 0.49,23.29 ± 4.60 / 60.16 ± 3.65,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,2.07,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,49.31 ± 0.92 / 62.56 ± 1.96,63.83 ± 1.47 / 59.01 ± 1.23,35.30 ± 2.25 / 65.51 ± 1.94,74.96 ± 1.50 / 55.32 ± 2.12,56.50 ± 0.77 / 67.27 ± 0.56,40.45 ± 2.33 / 70.18 ± 1.19,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,2.11,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,50.50 ± 1.18 / 65.35 ± 0.82,53.76 ± 1.70 / 49.55 ± 1.39,35.50 ± 3.27 / 67.11 ± 1.74,38.61 ± 0.99 / 27.46 ± 0.84,73.24 ± 1.37 / 79.88 ± 1.03,61.81 ± 1.78 / 82.42 ± 0.86,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,2.15,?,100256.0,272000.0,✓,✗,✗,✓,47.84 ± 2.39 / 63.74 ± 1.56,75.39 ± 1.47 / 64.93 ± 2.16,37.35 ± 2.25 / 67.21 ± 1.09,59.04 ± 1.10 / 38.19 ± 1.92,66.49 ± 2.19 / 74.84 ± 1.67,17.83 ± 5.03 / 61.56 ± 2.19,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,2.19,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,44.36 ± 0.94 / 62.73 ± 0.69,74.20 ± 0.99 / 66.59 ± 1.40,17.13 ± 1.93 / 48.09 ± 1.90,68.17 ± 1.30 / 50.31 ± 1.28,62.05 ± 0.84 / 71.52 ± 0.63,40.55 ± 1.69 / 70.20 ± 0.85,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,2.20,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,54.21 ± 1.28 / 66.59 ± 1.11,51.48 ± 1.37 / 33.91 ± 1.47,41.85 ± 2.12 / 70.49 ± 1.21,66.88 ± 1.49 / 50.36 ± 1.40,56.34 ± 0.97 / 67.34 ± 0.77,27.51 ± 2.24 / 63.12 ± 1.13,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,2.21,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,53.90 ± 1.66 / 65.40 ± 1.15,62.65 ± 1.58 / 57.40 ± 1.42,28.95 ± 2.38 / 62.69 ± 1.56,68.51 ± 1.35 / 50.31 ± 1.49,57.72 ± 1.10 / 68.16 ± 0.89,26.59 ± 2.91 / 62.97 ± 1.44,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,2.22,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,54.37 ± 0.95 / 63.51 ± 1.15,56.06 ± 2.07 / 44.31 ± 1.85,38.16 ± 1.65 / 67.08 ± 1.25,72.64 ± 0.94 / 56.84 ± 0.90,53.48 ± 1.09 / 65.27 ± 0.95,22.04 ± 2.68 / 61.48 ± 1.37,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,2.22,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,51.09 ± 1.00 / 66.29 ± 0.61,65.65 ± 1.47 / 50.36 ± 1.79,41.76 ± 1.92 / 70.35 ± 1.01,16.77 ± 1.70 / 0.44 ± 0.21,66.67 ± 0.92 / 74.82 ± 0.69,47.88 ± 1.86 / 73.92 ± 0.95,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
