<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.44,?,100256.0,272000.0,✓,✗,✗,✓,78.16 ± 3.20 / 89.02 ± 1.63,74.59 ± 1.87 / 58.76 ± 1.40,51.07 ± 3.74 / 73.51 ± 2.10,62.55 ± 1.08 / 38.21 ± 0.84,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.45,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,70.69 ± 2.30 / 85.29 ± 1.16,73.87 ± 1.29 / 53.89 ± 1.61,55.39 ± 1.70 / 77.15 ± 0.84,65.53 ± 0.59 / 44.24 ± 0.80,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.45,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,82.43 ± 1.81 / 90.80 ± 1.00,69.10 ± 0.82 / 56.57 ± 2.78,54.30 ± 3.90 / 75.99 ± 1.87,65.18 ± 1.46 / 40.38 ± 1.87,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.46,?,256128.0,1048576.0,✓,✗,✗,✓,77.72 ± 1.71 / 88.76 ± 0.88,78.88 ± 0.57 / 59.83 ± 0.65,50.91 ± 1.70 / 74.56 ± 0.92,60.75 ± 0.50 / 28.95 ± 0.56,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.50,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,80.58 ± 2.27 / 89.80 ± 1.32,70.15 ± 0.57 / 53.27 ± 2.51,47.93 ± 4.13 / 72.94 ± 2.09,64.08 ± 1.69 / 39.20 ± 2.08,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.50,?,256128.0,1048576.0,✓,✗,✗,✓,77.69 ± 2.93 / 88.78 ± 1.50,72.71 ± 1.43 / 55.59 ± 1.30,53.31 ± 3.44 / 76.55 ± 1.74,58.88 ± 1.38 / 25.60 ± 1.31,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.50,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,74.86 ± 2.09 / 85.87 ± 1.34,72.57 ± 0.64 / 57.28 ± 3.76,44.85 ± 3.65 / 71.70 ± 2.21,72.45 ± 2.04 / 50.43 ± 2.11,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.52,?,256128.0,1048576.0,✓,✗,✗,✓,74.58 ± 3.63 / 87.21 ± 1.85,72.51 ± 1.81 / 50.59 ± 1.19,46.74 ± 3.43 / 72.79 ± 1.86,65.08 ± 1.10 / 43.36 ± 1.00,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.54,?,?,400000.0,✓,✗,✗,✓,78.01 ± 1.47 / 88.94 ± 0.75,70.43 ± 0.58 / 50.81 ± 0.39,45.41 ± 1.03 / 72.39 ± 0.56,66.59 ± 0.39 / 38.07 ± 0.62,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.55,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,75.38 ± 1.86 / 86.11 ± 1.18,72.89 ± 0.88 / 58.27 ± 2.92,40.33 ± 3.77 / 69.72 ± 1.84,69.77 ± 2.04 / 49.04 ± 2.00,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,1.55,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,67.88 ± 2.49 / 81.50 ± 1.85,68.70 ± 0.94 / 54.46 ± 2.02,47.49 ± 1.19 / 72.53 ± 0.82,73.81 ± 0.94 / 52.72 ± 1.07,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.55,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,80.07 ± 1.44 / 89.46 ± 0.79,58.53 ± 1.14 / 49.83 ± 1.89,53.33 ± 2.40 / 76.20 ± 1.15,68.46 ± 0.87 / 42.22 ± 2.19,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.59,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,76.35 ± 2.10 / 86.86 ± 1.29,71.21 ± 1.02 / 56.49 ± 4.02,42.21 ± 3.21 / 69.56 ± 2.68,68.73 ± 1.87 / 43.15 ± 2.16,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,1.59,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,81.91 ± 1.30 / 90.54 ± 0.66,58.10 ± 1.23 / 43.20 ± 3.06,45.28 ± 3.05 / 70.33 ± 3.07,72.99 ± 2.15 / 50.13 ± 2.24,16.10.0,16.10.0,16.10.0,16.10.0
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,1.59,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,71.68 ± 1.83 / 84.63 ± 1.07,65.28 ± 1.19 / 51.71 ± 2.13,47.23 ± 1.74 / 70.02 ± 1.80,66.45 ± 0.96 / 45.56 ± 1.20,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.60,?,100256.0,272000.0,✓,✗,✗,✓,72.33 ± 3.76 / 86.10 ± 1.89,80.71 ± 2.03 / 55.52 ± 1.41,35.79 ± 2.61 / 64.74 ± 1.71,63.94 ± 1.72 / 35.68 ± 1.45,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.61,?,?,1047576.0,✓,✗,✗,✓,80.50 ± 3.00 / 90.19 ± 1.55,55.46 ± 1.55 / 37.67 ± 1.23,57.62 ± 2.04 / 78.68 ± 1.02,60.56 ± 1.27 / 27.91 ± 0.97,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,1.62,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,78.10 ± 2.02 / 88.31 ± 1.23,62.21 ± 0.93 / 49.34 ± 1.37,45.52 ± 2.27 / 71.18 ± 1.22,68.79 ± 0.89 / 46.87 ± 1.37,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,1.63,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,68.32 ± 6.50 / 83.09 ± 3.98,68.52 ± 1.09 / 53.67 ± 1.96,38.62 ± 2.69 / 63.96 ± 2.29,76.33 ± 1.37 / 55.87 ± 1.78,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.66,?,?,1047576.0,✓,✗,✗,✓,76.01 ± 3.55 / 87.95 ± 1.77,60.71 ± 1.36 / 38.86 ± 0.72,48.90 ± 1.60 / 74.36 ± 0.80,64.19 ± 0.96 / 36.29 ± 1.02,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.68,?,256128.0,1048576.0,✓,✗,✗,✓,72.19 ± 2.91 / 86.00 ± 1.50,67.14 ± 1.00 / 47.43 ± 1.21,45.28 ± 2.27 / 71.67 ± 1.24,63.86 ± 1.14 / 37.41 ± 1.20,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,1.68,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,76.74 ± 2.01 / 87.79 ± 1.12,69.70 ± 0.98 / 52.83 ± 2.37,40.89 ± 2.99 / 68.02 ± 2.36,60.25 ± 1.80 / 30.55 ± 2.12,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,1.69,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,75.74 ± 2.57 / 87.30 ± 1.46,64.53 ± 0.95 / 50.10 ± 1.84,37.00 ± 1.58 / 64.55 ± 1.94,73.21 ± 1.13 / 52.50 ± 1.55,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.70,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,83.42 ± 1.58 / 91.35 ± 0.88,70.09 ± 1.23 / 55.36 ± 3.10,23.73 ± 4.89 / 52.15 ± 4.30,73.27 ± 2.54 / 50.71 ± 2.37,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,1.72,470927360.0,501153.0,512.0,✓,✗,(✓),✗,71.45 ± 4.84 / 84.64 ± 2.64,83.22 ± 0.97 / 83.32 ± 0.87,59.86 ± 2.76 / 78.67 ± 1.61,23.59 ± 1.26 / 16.31 ± 1.50,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.73,?,100256.0,272000.0,✓,✗,✗,✓,75.00 ± 3.17 / 87.39 ± 1.59,56.54 ± 1.59 / 41.95 ± 1.38,48.70 ± 3.47 / 71.46 ± 1.97,61.39 ± 0.88 / 36.02 ± 1.33,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-4B-Base'>Qwen/Qwen3.5-4B-Base (val)</a>,🧠,1.73,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,59.20 ± 5.46 / 78.10 ± 3.36,64.18 ± 1.17 / 51.62 ± 1.94,44.84 ± 1.62 / 67.88 ± 1.21,72.82 ± 0.76 / 48.54 ± 1.23,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.74,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,78.75 ± 1.79 / 88.87 ± 1.02,59.71 ± 1.47 / 49.30 ± 2.23,35.80 ± 2.63 / 65.30 ± 1.88,70.12 ± 1.11 / 44.06 ± 2.28,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,1.75,?,256128.0,1048576.0,✓,✗,✗,✓,74.64 ± 3.71 / 87.29 ± 1.86,52.71 ± 2.14 / 31.37 ± 1.42,50.38 ± 4.38 / 75.11 ± 2.21,64.16 ± 1.01 / 35.72 ± 1.14,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,1.75,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,76.71 ± 2.57 / 87.72 ± 1.40,51.18 ± 2.24 / 40.41 ± 1.74,45.36 ± 6.05 / 68.29 ± 5.43,69.32 ± 2.30 / 47.14 ± 2.04,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,1.77,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,78.65 ± 1.86 / 88.96 ± 0.94,58.63 ± 1.16 / 44.05 ± 2.25,57.12 ± 4.13 / 76.88 ± 3.18,42.01 ± 2.85 / 21.08 ± 2.05,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,1.77,?,128000.0,4096.0,✓,✗,(✓),✓,77.90 ± 1.04 / 87.95 ± 0.69,49.13 ± 1.72 / 36.65 ± 2.08,43.09 ± 3.71 / 67.79 ± 3.53,71.02 ± 2.30 / 51.28 ± 1.94,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,1.78,559890946.0,250002.0,512.0,✓,✗,(✓),✗,79.36 ± 1.30 / 88.92 ± 0.83,83.55 ± 0.79 / 83.09 ± 0.89,42.33 ± 17.26 / 68.94 ± 8.99,29.71 ± 1.19 / 20.93 ± 1.23,16.6.0.dev0,16.7.0.dev0,16.6.0.dev0,16.7.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.79,?,?,200000.0,✓,✗,✗,✓,72.70 ± 4.05 / 86.28 ± 2.02,67.16 ± 1.10 / 45.37 ± 1.16,37.02 ± 2.90 / 64.29 ± 1.46,62.12 ± 1.63 / 25.72 ± 0.85,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.80,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,84.00 ± 1.24 / 91.50 ± 0.71,60.68 ± 1.54 / 45.27 ± 2.68,25.95 ± 9.23 / 48.36 ± 7.17,73.15 ± 2.71 / 53.01 ± 2.70,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.80,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,83.74 ± 1.62 / 91.34 ± 0.92,74.21 ± 0.66 / 57.36 ± 2.50,46.55 ± 4.78 / 69.15 ± 2.62,26.21 ± 3.43 / 7.19 ± 1.42,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/zai-org/GLM-4.7-Flash'>zai-org/GLM-4.7-Flash (val)</a>,🤔,1.81,31221485568.0,154880.0,202752.0,✓,✗,✗,✓,73.44 ± 1.90 / 86.68 ± 0.95,68.60 ± 0.98 / 50.26 ± 1.34,36.85 ± 2.28 / 66.66 ± 1.06,59.49 ± 0.65 / 33.37 ± 0.86,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,1.81,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,80.84 ± 1.94 / 90.32 ± 1.02,63.68 ± 1.22 / 48.87 ± 2.80,49.53 ± 2.68 / 73.45 ± 1.23,39.84 ± 1.23 / 0.65 ± 0.18,16.10.0,16.10.0,16.10.0,16.10.0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.83,?,?,200000.0,✓,✗,✗,✓,76.86 ± 2.53 / 88.15 ± 1.35,68.04 ± 1.85 / 44.17 ± 1.30,30.54 ± 3.26 / 56.29 ± 2.05,62.97 ± 0.93 / 29.62 ± 0.99,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.83,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,81.30 ± 1.43 / 90.22 ± 0.76,67.79 ± 1.34 / 53.14 ± 2.53,43.58 ± 2.19 / 70.69 ± 1.73,37.95 ± 0.80 / 0.48 ± 0.12,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
