<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.68,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,62.19 ± 1.37 / 71.46 ± 1.05,58.07 ± 1.77 / 51.81 ± 1.39,42.69 ± 1.51 / 71.15 ± 0.74,67.21 ± 0.44 / 34.48 ± 0.54,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.72,?,?,?,✓,✗,✗,✓,63.06 ± 2.73 / 70.40 ± 2.24,50.51 ± 3.34 / 34.76 ± 2.02,46.89 ± 2.35 / 72.16 ± 1.33,68.04 ± 1.15 / 36.70 ± 1.81,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.73,?,?,?,✓,✗,✗,✓,63.49 ± 2.87 / 72.39 ± 2.21,56.74 ± 2.79 / 52.92 ± 2.74,41.51 ± 2.15 / 70.68 ± 1.07,64.40 ± 1.21 / 34.18 ± 1.67,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.75,?,256128.0,1048576.0,✓,✗,✗,✓,58.57 ± 3.37 / 68.62 ± 2.72,47.93 ± 3.68 / 36.08 ± 2.83,56.00 ± 2.02 / 75.69 ± 1.13,65.71 ± 1.42 / 43.80 ± 1.81,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.80,27432406640.0,262144.0,?,✓,✗,(✓),✓,64.43 ± 0.98 / 73.95 ± 0.59,50.42 ± 2.22 / 39.16 ± 1.91,44.41 ± 1.71 / 71.52 ± 0.83,64.78 ± 1.14 / 39.61 ± 2.01,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.80,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,64.41 ± 1.39 / 73.79 ± 1.02,53.87 ± 1.51 / 32.68 ± 2.35,41.93 ± 1.63 / 69.15 ± 1.11,65.54 ± 1.46 / 42.34 ± 2.32,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.82,?,?,400000.0,✓,✗,✗,✓,57.49 ± 0.85 / 68.03 ± 0.77,50.81 ± 1.83 / 37.75 ± 1.48,46.55 ± 1.46 / 73.09 ± 0.73,64.33 ± 0.65 / 37.08 ± 0.72,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.82,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,54.26 ± 2.79 / 66.06 ± 2.08,57.31 ± 1.92 / 42.46 ± 3.31,35.51 ± 4.50 / 63.52 ± 4.43,74.74 ± 1.59 / 54.03 ± 2.48,16.5.0.dev0,15.16.0.dev0,16.5.0.dev0,15.16.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.83,?,?,400000.0,✓,✗,✗,✓,58.12 ± 1.04 / 69.07 ± 0.84,46.43 ± 1.74 / 23.23 ± 0.71,48.19 ± 1.73 / 73.23 ± 1.02,67.55 ± 0.68 / 39.98 ± 0.66,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.85,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,62.78 ± 1.58 / 71.90 ± 1.22,52.40 ± 1.68 / 48.17 ± 1.67,36.51 ± 2.11 / 68.02 ± 1.05,65.98 ± 0.56 / 33.46 ± 0.58,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.85,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,58.27 ± 2.69 / 69.19 ± 2.03,57.15 ± 2.38 / 43.60 ± 3.10,29.96 ± 1.37 / 59.16 ± 2.32,74.85 ± 1.11 / 54.77 ± 2.24,16.5.0.dev0,16.0.0.dev0,16.5.0.dev0,16.0.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.87,24011361280.0,131072.0,?,✓,✗,(✓),✓,61.82 ± 1.32 / 71.64 ± 1.11,56.26 ± 1.45 / 38.80 ± 1.86,26.67 ± 1.60 / 55.63 ± 2.07,74.85 ± 1.40 / 54.46 ± 2.10,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.88,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,58.05 ± 1.68 / 68.65 ± 1.53,56.59 ± 1.50 / 35.38 ± 2.32,28.99 ± 1.98 / 62.03 ± 1.43,74.15 ± 1.60 / 54.37 ± 2.34,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,1.89,81324862720.0,151936.0,262144.0,✓,✗,✗,✓,63.01 ± 1.42 / 73.03 ± 1.06,53.76 ± 1.98 / 32.19 ± 1.94,34.74 ± 1.71 / 65.81 ± 1.02,66.17 ± 1.24 / 41.61 ± 2.11,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.89,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,63.88 ± 1.06 / 73.68 ± 0.92,56.56 ± 1.75 / 33.85 ± 2.22,29.43 ± 1.54 / 63.63 ± 0.84,66.23 ± 0.78 / 40.25 ± 1.57,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.90,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,63.79 ± 1.29 / 73.48 ± 0.96,56.17 ± 1.81 / 37.25 ± 3.73,31.41 ± 1.42 / 61.63 ± 0.72,65.07 ± 1.11 / 42.27 ± 2.02,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.92,12187325040.0,262144.0,?,✓,✗,(✓),✓,63.17 ± 0.93 / 73.20 ± 0.56,51.33 ± 1.65 / 28.36 ± 1.61,39.08 ± 1.39 / 68.07 ± 1.41,63.22 ± 1.10 / 38.58 ± 1.97,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.92,?,?,1047576.0,✓,✗,✗,✓,60.25 ± 2.28 / 69.60 ± 2.11,41.56 ± 3.00 / 28.07 ± 1.90,52.89 ± 3.84 / 75.61 ± 1.97,58.63 ± 1.74 / 24.70 ± 1.76,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.94,?,256128.0,1048576.0,✓,✗,✗,✓,58.15 ± 2.20 / 67.93 ± 1.55,44.20 ± 3.00 / 29.01 ± 1.47,46.21 ± 2.52 / 71.82 ± 1.19,64.50 ± 1.44 / 36.78 ± 1.63,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.95,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,56.02 ± 1.31 / 66.97 ± 1.10,53.27 ± 1.34 / 48.58 ± 0.93,37.22 ± 2.28 / 66.71 ± 1.06,61.50 ± 0.96 / 38.76 ± 1.06,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.95,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,55.93 ± 2.29 / 66.82 ± 1.95,57.89 ± 1.94 / 42.41 ± 2.68,24.57 ± 1.74 / 49.77 ± 2.20,72.28 ± 2.11 / 51.70 ± 2.55,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.95,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,62.92 ± 0.65 / 72.99 ± 0.57,55.77 ± 1.59 / 34.31 ± 2.09,26.94 ± 2.29 / 62.49 ± 1.74,66.49 ± 0.79 / 40.17 ± 1.32,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.95,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,61.69 ± 1.27 / 72.22 ± 0.96,48.25 ± 0.99 / 33.71 ± 1.18,35.49 ± 1.59 / 67.50 ± 0.82,70.94 ± 1.44 / 50.15 ± 2.04,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.95,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,63.89 ± 1.00 / 73.56 ± 0.75,55.71 ± 1.68 / 34.06 ± 2.48,30.35 ± 1.21 / 59.00 ± 2.17,61.29 ± 1.26 / 33.66 ± 1.38,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",🤔,1.96,?,?,200000.0,✓,✗,✗,✓,63.05 ± 1.96 / 72.28 ± 1.73,42.81 ± 3.11 / 34.02 ± 2.54,43.56 ± 3.31 / 69.89 ± 1.68,63.01 ± 1.56 / 31.84 ± 1.89,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.97,?,?,131072.0,✓,✗,✗,✓,60.38 ± 1.49 / 69.86 ± 1.14,45.84 ± 1.88 / 37.84 ± 1.58,39.60 ± 1.32 / 69.13 ± 0.68,63.26 ± 0.78 / 36.87 ± 0.82,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.97,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,51.10 ± 1.98 / 63.99 ± 1.54,53.41 ± 1.76 / 31.55 ± 2.66,32.25 ± 5.99 / 62.57 ± 4.39,72.46 ± 1.40 / 53.38 ± 2.27,16.5.0.dev0,15.16.0.dev0,16.5.0.dev0,15.16.0.dev0
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,1.99,40433885184.0,256000.0,32768.0,✓,✗,(✓),✓,39.05 ± 5.45 / 53.83 ± 4.69,49.21 ± 1.83 / 32.92 ± 1.66,45.27 ± 3.10 / 72.06 ± 1.92,69.89 ± 1.79 / 50.02 ± 2.32,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.99,?,100256.0,272000.0,✓,✗,✗,✓,54.26 ± 2.22 / 65.39 ± 2.04,55.07 ± 3.37 / 52.33 ± 3.27,35.97 ± 3.03 / 67.90 ± 1.50,61.78 ± 1.93 / 34.16 ± 2.28,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,1.99,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,62.13 ± 0.87 / 71.49 ± 0.64,51.31 ± 1.40 / 27.86 ± 1.30,51.64 ± 2.74 / 74.59 ± 2.57,34.11 ± 2.60 / 16.43 ± 2.14,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,2.00,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,61.60 ± 0.74 / 72.36 ± 0.53,56.67 ± 1.46 / 40.05 ± 2.08,23.81 ± 1.62 / 61.75 ± 0.85,70.56 ± 1.43 / 47.79 ± 1.73,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,2.00,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,54.77 ± 2.70 / 66.38 ± 1.90,54.97 ± 2.35 / 43.30 ± 2.85,23.83 ± 2.68 / 51.14 ± 2.64,74.58 ± 1.45 / 54.87 ± 2.56,16.5.0.dev0,16.0.1.dev0,16.5.0.dev0,16.0.1.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,2.01,22637328384.0,128000.0,4096.0,✓,✗,(✓),✓,58.38 ± 1.42 / 69.73 ± 0.96,48.51 ± 1.82 / 27.43 ± 1.70,34.97 ± 6.51 / 55.76 ± 5.74,66.32 ± 0.97 / 44.28 ± 1.28,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B#no-thinking</a>,📝,2.02,30532122624.0,151936.0,40960.0,✓,✗,✗,✓,60.24 ± 1.30 / 71.24 ± 0.93,51.15 ± 1.35 / 33.51 ± 2.73,29.74 ± 1.25 / 64.11 ± 0.64,65.71 ± 1.71 / 41.01 ± 1.85,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,2.02,?,100256.0,272000.0,✓,✗,✗,✓,58.65 ± 2.98 / 68.66 ± 2.01,39.27 ± 3.39 / 25.95 ± 1.63,46.35 ± 4.02 / 72.34 ± 1.99,62.52 ± 1.17 / 36.06 ± 1.21,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,2.03,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,57.23 ± 1.14 / 68.92 ± 0.95,53.88 ± 1.76 / 33.03 ± 2.59,25.15 ± 1.90 / 62.11 ± 1.09,72.35 ± 1.21 / 48.79 ± 2.66,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/tartuNLP/Llama-3.1-EstLLM-8B-Instruct-1125'>tartuNLP/Llama-3.1-EstLLM-8B-Instruct-1125</a>,📝,2.03,8030261248.0,128256.0,131072.0,✗,✓,(✓),✗,55.69 ± 1.55 / 66.67 ± 0.92,48.39 ± 1.75 / 29.79 ± 1.29,35.01 ± 2.15 / 62.73 ± 1.78,64.62 ± 1.24 / 42.73 ± 1.40,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.06,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,48.08 ± 3.11 / 60.13 ± 3.26,48.08 ± 2.24 / 26.79 ± 1.97,36.52 ± 5.59 / 56.51 ± 4.97,71.81 ± 1.34 / 52.99 ± 2.05,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,2.06,70599864480.0,131072.0,65536.0,✗,✗,(✓),✗,52.68 ± 1.62 / 65.11 ± 1.49,45.77 ± 1.65 / 21.74 ± 1.14,40.19 ± 1.82 / 63.98 ± 1.63,63.96 ± 0.96 / 38.59 ± 1.39,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-SFT'>LumiOpen/Llama-Poro-2-70B-SFT</a>,📝,2.07,70553706496.0,128256.0,?,✓,✗,(✓),✗,57.48 ± 1.84 / 68.72 ± 1.45,54.70 ± 1.82 / 33.36 ± 2.38,23.03 ± 1.90 / 60.58 ± 1.45,67.30 ± 0.95 / 41.08 ± 1.05,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,2.07,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,57.94 ± 1.40 / 69.44 ± 1.01,49.90 ± 1.24 / 26.08 ± 1.39,27.28 ± 2.06 / 63.33 ± 1.15,70.89 ± 1.19 / 48.77 ± 1.47,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,2.08,?,?,400000.0,✓,✗,✗,✓,57.55 ± 1.11 / 67.18 ± 0.82,35.37 ± 1.15 / 25.14 ± 0.90,48.69 ± 1.58 / 73.44 ± 0.78,60.02 ± 0.88 / 28.11 ± 0.85,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/tartuNLP/Apertus-EstLLM-8B-1125'>tartuNLP/Apertus-EstLLM-8B-1125</a>,🧠,2.09,8053338176.0,131072.0,65536.0,✓,✗,(✓),✗,56.61 ± 1.89 / 67.47 ± 1.21,43.96 ± 1.53 / 25.27 ± 1.59,31.47 ± 2.64 / 56.27 ± 2.94,74.23 ± 1.52 / 53.84 ± 2.52,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,2.09,?,?,1047576.0,✓,✗,✗,✓,60.28 ± 2.90 / 70.24 ± 2.22,40.82 ± 2.90 / 22.78 ± 1.11,38.48 ± 1.67 / 67.19 ± 1.31,62.40 ± 1.37 / 31.06 ± 1.33,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.09,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,60.68 ± 1.20 / 71.50 ± 0.90,47.11 ± 1.57 / 27.07 ± 1.79,28.73 ± 2.23 / 64.13 ± 1.11,64.54 ± 1.61 / 40.39 ± 1.88,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,2.10,?,256128.0,1048576.0,✓,✗,✗,✓,58.46 ± 2.87 / 69.64 ± 1.80,41.92 ± 3.28 / 29.22 ± 1.85,41.01 ± 3.79 / 70.28 ± 1.88,60.82 ± 1.51 / 30.32 ± 1.58,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/google/gemma-4-31B'>google/gemma-4-31B (val)</a>,🧠,2.10,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,48.13 ± 2.74 / 61.98 ± 2.03,52.17 ± 1.86 / 36.24 ± 1.94,27.65 ± 2.17 / 62.85 ± 1.32,71.88 ± 1.04 / 45.60 ± 1.65,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
